"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LIBICKI Jan Filip - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NIJAKA Danuta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"OSZMIAN Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
31;"Świetlica wiejska w Świerkówkach, Świerkówki 1B, 64-605 Świerkówki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;55;42;29
32;"Świetlica wiejska w Urbaniu, Urbanie 6, 64-606 Urbanie";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;45;70;21
33;"Świetlica wiejska w Uścikówcu, Uścikówiec 11, 64-600 Uścikówiec";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;63;15;19
34;"Wiejski Dom Kultury w Wargowie, Wargowo 4, 64-605 Wargowo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;198;87;44
35;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Obornikach, ul. Szpitalna 2, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;14;18;3
36;"Szpital Rehabilitacyjno-Kardiologiczny w Kowanówku, ul. Sanatoryjna 34, 64-600 Kowanówko";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;59;50;6
1;"Rodzinny Ogród Działkowy im. J. Słowackiego (świetlica), ul. Działkowa 20, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;382;188;89
2;"Szkoła Podstawowa Nr 3, ul. Kościuszki 28, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;329;147;91
3;"Ośrodek Kultury, ul. Wojska Polskiego 4, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;501;205;114
4;"Przedszkole Samorządowe Nr 2, ul. Seminarialna 11, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;316;173;51
5;"Szkoła Podstawowa Nr 3, ul. Seminarialna 16, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;445;211;71
6;"Centrum Integracji Społecznej, ul. Kościuszki 41, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;354;115;69
7;"Liceum Ogólnokształcące (pawilon), ul. Wielka Poznańska 61, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;490;162;102
8;"Szkoła Podstawowa Nr 2 (budynek po przedszkolu), ul. Wielka Poznańska 36, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;327;176;84
9;"Dom Katechetyczny im. Św. Jana Bosko, ul. Kościelna 10, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;326;143;94
10;"Remiza /Świetlica OSP, Pruśce 29, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;208;126;50
11;"Świetlica Wiejska, Studzieniec 25, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;244;170;70
12;"Szkoła Podstawowa, Parkowo 6, 64-608 Parkowo";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;349;222;95
13;"Świetlica Wiejska, Grudna 25, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;122;83;23
14;"Świetlica Wiejska, Ruda 20A, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;79;36;21
15;"Świetlica Wiejska, Gościejewo 80b, 64-611 Gościejewo";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;268;146;84
16;"Świetlica wiejska, Owczegłowy 3A, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;182;71;40
17;"Szkoła Podstawowa, Budziszewko 57a, 64-612 Budziszewko";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;91;97;25
18;"Świetlica wiejska, Słomowo 6, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;46;57;17
19;"Świetlica wiejska, Jaracz 21, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;122;55;36
20;"Świetlica wiejska, Garbatka 3, 64-610 Rogoźno";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;94;66;20
21;"Świetlica wiejska, Tarnowo 21A, 64-611 Gościejewo";301602;"gm. Rogoźno";"obornicki";"wielkopolskie";1;1;80;58;29
1;"Gminny Ośrodek Kultury, ul. Nowa 1, 64-630 Ryczywół";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;827;359;177
2;"Remiza OSP Skrzetusz, Skrzetusz 80B, 64-630 Ryczywół";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;123;138;28
3;"Zespół Szkolno-Przedszkolny w Ludomach, Ludomy 25, 64-603 Ludomy";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;287;162;61
4;"Świetlica wiejska w Radomiu, Radom 33, 64-630 Ryczywół";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;64;58;19
5;"Świetlica wiejska w Gorzewie, Gorzewo 12, 64-630 Ryczywół";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;148;109;43
6;"Świetlica wiejska w Lipie, Lipa 74a, 64-603 Ludomy";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;255;144;54
7;"Warsztaty Terapii Zajęciowej w Wiardunkach, Wiardunki 64, 64-630 Ryczywół";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;112;76;18
8;"Świetlica wiejska w Nininie, Ninino 36A, 64-630 Ryczywół";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;83;55;26
9;"Świetlica wiejska w Tłukawach, Tłukawy 15, 64-630 Ryczywół";301603;"gm. Ryczywół";"obornicki";"wielkopolskie";1;1;87;76;35
1;"Zespół Szkół w Mieście Obrzycko, ul. Plac Lipowy 12, 64-520 Obrzycko";302401;"m. Obrzycko";"szamotulski";"wielkopolskie";1;1;811;423;205
1;"Szkoła Podstawowa, ul. Broniewskiego 3, 64-550 Duszniki";302402;"gm. Duszniki";"szamotulski";"wielkopolskie";1;1;421;272;125
2;"Przedszkole w Dusznikach, ul. Kolejowa 7a, 64-550 Duszniki";302402;"gm. Duszniki";"szamotulski";"wielkopolskie";1;1;712;345;174
3;"Świetlica Wiejska, ul. Stawna 3, 64-541 Podrzewie";302402;"gm. Duszniki";"szamotulski";"wielkopolskie";1;1;509;409;130
4;"Szkoła Podstawowa, ul. Szkolna 16, 64-553 Grzebienisko";302402;"gm. Duszniki";"szamotulski";"wielkopolskie";1;1;914;521;263
5;"Szkoła Podstawowa, Sędzinko ul. Szkolna 9, 64-552 Sędziny";302402;"gm. Duszniki";"szamotulski";"wielkopolskie";1;1;297;198;96
1;"Szkoła Podstawowa w Kaźmierzu, ul. Gimnazjalna 3, 64-530 Kaźmierz";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;609;239;159
2;"Zespół Szkolno-Przedszkolny w Bytyniu, ul. Szkolna 55, 64-542 Bytyń";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;325;146;76
3;"Świetlica wiejska w Sokolnikach Małych, Sokolniki Małe 27a, 64-530 Kaźmierz";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;238;122;58
4;"Publiczne Przedszkole w Gaju Wielkim, Gaj Wielki ul. Kościelna 1, 64-530 Kaźmierz";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;221;183;88
5;"Biblioteka Publiczna i Centrum Kultury w Kaźmierzu, ul. Nowowiejska 15, 64-530 Kaźmierz";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;590;212;138
6;"Szkoła Podstawowa w Kaźmierzu, ul. Gimnazjalna 3, 64-530 Kaźmierz";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;847;242;160
7;"Świetlica wiejska w Kiączynie, Kiączyn ul. Wąska 1, 64-530 Kaźmierz";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;198;79;60
8;"Świetlica wiejska w Radzynach, Radzyny ul. Główna 40, 64-530 Kaźmierz";302403;"gm. Kaźmierz";"szamotulski";"wielkopolskie";1;1;259;53;53
1;"Świetlica Wiejska w Zielonejgórze, Zielonagóra ul. Szkolna 4a, 64-520 Obrzycko";302404;"gm. Obrzycko";"szamotulski";"wielkopolskie";1;1;579;322;166
2;"Szkoła Podstawowa im. Juliana Tuwima w Gaju Małym, Gaj Mały 32, 64-520 Obrzycko";302404;"gm. Obrzycko";"szamotulski";"wielkopolskie";1;1;486;291;116
3;"Świetlica Wiejska w Słopanowie, Słopanowo 8, 64-520 Obrzycko";302404;"gm. Obrzycko";"szamotulski";"wielkopolskie";1;1;215;132;57
1;"Szkoła Podstawowa, ul. Jana Ostroroga 14, 64-560 Ostroróg";302405;"gm. Ostroróg";"szamotulski";"wielkopolskie";1;1;757;342;139
2;"Urząd Miasta i Gminy, ul. Wroniecka 14, 64-560 Ostroróg";302405;"gm. Ostroróg";"szamotulski";"wielkopolskie";1;1;822;440;189
1;"Liceum Ogólnokształcące, ul. św. Ducha 10, 62-045 Pniewy";302406;"gm. Pniewy";"szamotulski";"wielkopolskie";1;1;850;395;165
2;"Szkoła Podstawowa, ul. Strzelecka 11A, 62-045 Pniewy";302406;"gm. Pniewy";"szamotulski";"wielkopolskie";1;1;888;385;131
3;"Szkoła Podstawowa, Chełmno 26, 62-045 Pniewy";302406;"gm. Pniewy";"szamotulski";"wielkopolskie";1;1;163;94;59
4;"Szkoła Podstawowa, Nojewo 41, 62-045 Pniewy";302406;"gm. Pniewy";"szamotulski";"wielkopolskie";1;1;423;279;82
5;"Świetlica Wiejska, Przystanki 4A, 62-045 Pniewy";302406;"gm. Pniewy";"szamotulski";"wielkopolskie";1;1;163;89;41
6;"Zespół Szkół, ul. Wolności 10, 62-045 Pniewy";302406;"gm. Pniewy";"szamotulski";"wielkopolskie";1;1;970;486;220
7;"Szkoła Podstawowa, ul. Strzelecka 11A, 62-045 Pniewy";302406;"gm. Pniewy";"szamotulski";"wielkopolskie";1;1;394;277;131
1;"Świetlica wiejska w Kąsinowie, Kąsinowo 54, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;867;351;204
2;"Szkoła Podstawowa w Pamiątkowie, ul. Szkolna 13, 64-514 Pamiątkowo";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;556;241;129
3;"Szkoła Podstawowa w Otorowie, ul. Łąkowa 3, 64-551 Otorowo";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;682;449;163
4;"PRH ""Gałopol"" Sp. z o. o., Gałowo ul. Wierzbowa 10, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;428;258;109
5;"Zespół Szkół Nr 2 w Szamotułach, ul. Szczuczyńska 3, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;413;175;113
6;"Muzeum Zamek Górków, ul. Wroniecka 30, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;908;370;135
7;"Szkoła Podstawowa Nr 3 w Szamotułach, ul. Szczuczyńska 5, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;950;313;146
8;"Szkoła Podstawowa Nr 3 w Szamotułach, ul. Szczuczyńska 5, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;767;330;148
9;"Zespół Szkół Nr 3 w Szamotułach, ul. Adama Mickiewicza 4, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;518;216;110
10;"I Liceum Ogólnokształcące im. ks. Piotra Skargi w Szamotułach, ul. Adama Mickiewicza 9, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;613;256;71
11;"Zespół Szkół Specjalnych w Szamotułach, ul. Hugona Kołłątaja 1, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;765;225;142
12;"Ośrodek Pomocy Społecznej w Szamotułach, ul. Rynek 16/17, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;444;180;105
13;"Szamotulski Ośrodek Kultury, ul. Dworcowa 43, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;505;197;95
14;"Hotel Maraton, ul. Sportowa 6, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;684;271;105
15;"Centrum Sportu Sp. z o. o., ul. Sportowa 6, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;831;186;136
16;"Szkoła Podstawowa w Brodziszewie, ul. Szkolna 1, 64-500 Brodziszewo";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;211;126;49
17;"Świetlica wiejska w Przecławiu, ul. Długa 28, 64-514 Przecław";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;561;173;169
18;"Oddział Zewnętrzny w Szamotułach Zakładu Karnego we Wronkach, al. 1 Maja 5, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;63;25;40
19;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Szamotułach, ul. Sukiennicza 13, 64-500 Szamotuły";302407;"gm. Szamotuły";"szamotulski";"wielkopolskie";1;1;8;5;4
1;"Wroniecki Ośrodek Kultury, ul. Poznańska 59, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;842;234;136
2;"Szkoła Podstawowa nr 1 im. Janusza Korczaka, ul. Mickiewicza 5, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;389;154;66
3;"Szkoła Podstawowa nr 1 im. Janusza Korczaka, ul. Mickiewicza 5, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;356;146;72
4;"Szkoła Podstawowa nr 3 im. Zbigniewa Herberta, ul. Polna 5, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;510;128;74
5;"Przedszkole nr 1 ""Bajkowy Świat"", os. Osiedle Borek 20, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;457;165;70
6;"Przedszkole nr 1 ""Bajkowy Świat"", os. Osiedle Borek 20, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;639;246;109
7;"Budynek kulturalno-socjalny, ul. Topolowa 7, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;842;315;136
8;"Świetlica wiejska, Samołęż 47, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;317;128;85
9;"Szkoła Podstawowa im. Arkadego Fiedlera, Nowa Wieś ul. Szkolna 5, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;487;196;101
10;"Zespół Szkół nr 1 im. Powstańców Wielkopolskich, ul. Leśna 17, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;470;179;88
11;"Szkoła Podstawowa im. Wincentego Witosa, Biezdrowo 9, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;556;289;141
12;"Biblioteka Publiczna Miasta i Gminy Wronki, Chojno-Wieś 10, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;204;136;55
13;"Świetlica wiejska, Ćmachowo 63B, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;431;162;92
14;"Świetlica wiejska, Wierzchocin 11A, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;231;88;60
15;"Zakład Karny we Wronkach, ul. Partyzantów 1, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;629;121;186
16;"Dom Pomocy Społecznej w Nowej Wsi, Nowa Wieś ul. Szamotulska 9, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;3;6;2
17;"Dom Pomocy Społecznej w Chojnie, Chojno-Wieś 41a, 64-510 Wronki";302408;"gm. Wronki";"szamotulski";"wielkopolskie";1;1;5;10;0
1;"Szkoła Podstawowa im. Edwarda Tomińskiego w Buczu, Bucz ul. Kasztanowa 8, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;497;416;150
2;"Sala wiejska w Poświętnie, Poświętno 3, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;184;214;68
3;"Zespół Szkolno-Przedszkolny w Kluczewie, Kluczewo ul. Szkolna 19, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;239;253;59
4;"Zespół Szkół w Przemęcie, ul. Szkolna 1, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;636;550;169
5;"Szkoła Podstawowa im. Jana Pawła II w Mochach, Mochy ul. Wolsztyńska 4, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;428;323;130
6;"Zespół Szkoła Podstawowa i Przedszkole Samorządowe z Oddziałem Integracyjnym w Kaszczorze, Kaszczor ul. Cysterska 9, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;331;247;77
7;"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi w Radomierzu, Radomierz ul. Słoneczna 8, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;464;354;141
8;"Przedszkole Samorządowe w Nowej Wsi, Nowa Wieś ul. Przemęcka 22, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;219;130;102
9;"Zespół Szkoła Podstawowa i Przedszkole Samorządowe z Oddziałem Integracyjnym w Kaszczorze, Oddział Osłonin, Osłonin ul. Parkowa 6, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;343;228;67
10;"Sala wiejska w Solcu, Solec ul. Szkolna 2, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;233;189;87
11;"Wojewódzki Szpital Neuropsychiatryczny im. Oskara Bielawskiego w Kościanie, Oddział Psychiatryczny w Siekowie, Siekowo 80, 64-234 Przemęt";302901;"gm. Przemęt";"wolsztyński";"wielkopolskie";1;1;12;14;4
1;"Gminny Ośrodek Kultury, ul. Zbąszyńska 19, 64-212 Siedlec";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;624;262;162
2;"Świetlica Wiejska, Jaromierz 9, 64-225 Kopanica";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;255;231;77
3;"Świetlica Wiejska, Żodyń ul. Główna 43A, 64-212 Siedlec";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;298;159;80
4;"Świetlica Ochotniczej Straży Pożarnej, ul. Zbąszyńska 29, 64-225 Kopanica";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;426;263;122
5;"Zespół Szkoły Podstawowej i Przedszkola, Chobienice 145, 64-214 Chobienice";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;657;334;160
6;"Świetlica Wiejska, ul. Kasztanowa 23, 64-232 Tuchorza";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;555;330;172
7;"Świetlica Ochotniczej Straży Pożarnej, Boruja 14, 64-232 Tuchorza";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;170;95;40
8;"Świetlica Wiejska, Belęcin 106, 64-231 Belęcin";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;350;202;123
9;"Świetlica Wiejska, Reklin 37A, 64-212 Siedlec";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;159;172;67
10;"Świetlica Wiejska, Kiełpiny 79, 64-232 Tuchorza";302902;"gm. Siedlec";"wolsztyński";"wielkopolskie";1;1;181;106;45
1;"Przedszkole nr 5 ""Słoneczna Piątka"" w Wolsztynie, ul. Komorowska 4, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;581;209;97
2;"Zespół Szkół Specjalnych w Wolsztynie, ul. 5 Stycznia 14, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;495;167;101
3;"Zespół Szkół Ogólnokształcących w Wolsztynie, ul. Poniatowskiego 7, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;612;272;125
4;"Szkoła Podstawowa nr 5 z Oddziałami Integracyjnymi w Wolsztynie, ul. Żegockiego 26, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;623;256;122
5;"Przedszkole nr 3 z Oddziałami Integracyjnymi w Wolsztynie, ul. Kusocińskiego 2, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;624;218;110
6;"Zespół Szkół Zawodowych w Wolsztynie, ul. Kusocińskiego 1, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;637;278;102
7;"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi Pomnik Tysiąclecia Państwa Polskiego im. Michała Drzymały w Wolsztynie, ul. Konopnickiej 1, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;533;169;100
8;"Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki w Wolsztynie, ul. Wschowska 15, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;700;191;140
9;"Zespół Szkolno-Przedszkolny w Obrze, ul. Szkolna 19, 64-211 Obra";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;643;426;157
10;"Świetlica Wiejska w Świętnie, ul. Poprzeczna 2, 64-224 Świętno";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;349;232;85
11;"Dom Kultury w Kębłowie, ul. Nowa 8, 64-223 Kębłowo";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;582;321;158
12;"Szkoła Podstawowa we Wroniawach, Wroniawy ul. Dworcowa 33, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;353;221;68
13;"Szkoła Podstawowa im. Stanisława Mikołajczyka w Starym Widzimiu, Stary Widzim 24, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;417;165;91
14;"Świetlica Wiejska w Niałku Wielkim, Niałek Wielki 30, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;298;112;70
15;"Zespół Szkół Rolniczych i Technicznych im. Hipolita Cegielskiego w Powodowie, Powodowo 1, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;178;63;31
16;"Świetlica Wiejska w Chorzeminie, Chorzemin 55Z, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;359;109;82
17;"Szkoła Filialna w Adamowie Szkoły Podstawowej im. Stanisława Mikołajczyka w Starym Widzimiu, Adamowo 56, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;444;159;104
18;"Świetlica Wiejska w Nowych Tłokach, Nowe Tłoki 28c, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;304;125;69
19;"Szkoła Filialna w Tłokach Szkoły Podstawowej nr 1 z Oddziałami Dwujęzycznymi im. Powstańców Wielkopolskich w Wolsztynie, Tłoki 43, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;217;158;58
20;"Świetlica Wiejska w Starej Dąbrowie, Stara Dąbrowa 20, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;230;176;72
21;"Szkoła Podstawowa w Karpicku, Karpicko ul. Wczasowa 72, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;699;302;138
22;"Przedsiębiorstwo Gospodarki Komunalnej Sp. z o. o. w Wolsztynie, Berzyna 6, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;151;35;32
23;"Świetlica Wiejska w Nowej Dąbrowie, Nowa Dąbrowa 29B, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;116;132;22
24;"Świetlica Wiejska w Nowym Widzimiu, Nowy Widzim 36A, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;81;57;19
25;"Dom Pomocy Społecznej w Wolsztynie prowadzony przez Zgromadzenie Sióstr Miłosierdzia św. Wincentego a Paulo, ul. Poznańska 29, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;2;11;1
26;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Wolsztynie, ul. Wschowska 3, 64-200 Wolsztyn";302903;"gm. Wolsztyn";"wolsztyński";"wielkopolskie";1;1;33;23;8
