"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"AŚCIUKIEWICZ Barbara Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"NAGÓRSKI Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GROMEK Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Rejon Dróg Wojewódzkich w Białogardzie, ul. Szosa Połczyńska 57, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;247;111;551
2;"Szkoła Podstawowa Nr 3 im. Bolesława Krzywoustego w Białogardzie, ul. Chopina 8, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;205;76;460
3;"Szkoła Podstawowa Nr 3 im. Bolesława Krzywoustego w Białogardzie, ul. Chopina 8, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;204;91;475
4;"Szkoła Podstawowa Nr 4 im. Mikołaja Kopernika w Białogardzie, ul. Grunwaldzka 53, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;261;80;563
5;"Przedszkole Miejskie Nr 3 ""Niezapominajka"" w Białogardzie, ul. Kochanowskiego 19, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;269;76;541
6;"Centrum Kultury i Spotkań Europejskich w Białogardzie, ul. 1 Maja 15, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;289;76;545
7;"Zespół Szkół Ponadpodstawowych w Białogardzie, ul. Stefana Kardynała Wyszyńskiego 14, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;348;104;671
8;"Białogardzka Biblioteka Publiczna im. Karola Estreichera w Białogardzie, ul. Kościelna 1, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;123;50;220
9;"Białogardzka Biblioteka Publiczna im. Karola Estreichera w Białogardzie, ul. Kościelna 1, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;188;83;384
10;"Szkoła Podstawowa nr 1 im. Marii Skłodowskiej-Curie w Białogardzie, ul. Świdwińska 7, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;238;57;476
