"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZOTOWSKI Tomasz - KW BEZPARTYJNI SAMORZĄDOWCY";"GRABOWSKI Arkadiusz Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŻELAZNY Krystian Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MAŁECKA-LIBERA Beata Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
27;"Centrum Kształcenie Zawodowego i Ustawicznego, ul. Aleja Józefa Piłsudskiego 5, 41-300 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;79;239;66;607
28;"Centrum Kształcenie Zawodowego i Ustawicznego, ul. Aleja Józefa Piłsudskiego 5, 41-300 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;119;423;80;962
29;"Szkoła Podstawowa nr 8, ul. Wyspiańskiego 1, 41-300 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;93;341;81;690
30;"Szkoła Podstawowa nr 8, ul. Krasińskiego 34, 41-300 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;109;312;84;605
31;"Przedszkole nr 11, ul. Krasińskiego 35, 41-300 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;54;214;35;535
32;"Szkoła Podstawowa nr 13, ul. Aleja Józefa Piłsudskiego 24, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;99;383;84;766
33;"Szkoła Podstawowa nr 13, ul. Aleja Józefa Piłsudskiego 24, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;70;248;41;425
34;"Szkoła Podstawowa nr 13, ul. Aleja Józefa Piłsudskiego 24, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;51;201;40;430
35;"Szkoła Podstawowa nr 29 z Oddziałami Sportowymi, ul. Gustawa Morcinka 4, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;84;306;96;708
36;"Szkoła Podstawowa nr 29 z Oddziałami Sportowymi, ul. Gustawa Morcinka 4, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;89;318;79;740
37;"Przedszkole nr 14, ul. Tysiąclecia 25a, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;95;367;110;700
38;"Klub ""Unikat"", ul. Kasprzaka 46, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;105;400;97;746
39;"Szkoła Podstawowa nr 12, ul. Tysiąclecia 25, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;65;203;32;325
40;"Szkoła Podstawowa nr 12, ul. Tysiąclecia 25, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;97;312;63;645
41;"Przedszkole nr 12, ul. Ignacego Krasickiego 1, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;58;174;55;427
42;"III LO, ul. Prusa 3, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;94;213;70;456
43;"III LO, ul. Prusa 3, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;46;119;34;289
44;"Szkoła Podstawowa nr 18, ul. Aleja Józefa Piłsudskiego 73, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;78;399;93;620
45;"Szkoła Podstawowa nr 18, ul. Aleja Józefa Piłsudskiego 73, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;118;335;122;719
46;"Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci i Młodzieży Niepełnosprawnej, ul. Swobodna 59, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;129;422;130;988
47;"Liceum Sztuk Plastycznych, ul. Kosmonautów 8, 41-303 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;79;230;74;574
48;"Zespół Szkolno-Przedszkolny nr 2, Ujejsce, ul. Mieszka I 20, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;123;368;96;757
49;"Szkoła Podstawowa nr 35 z Oddziałami Przedszkolnymi, Trzebiesławice, ul. Uczniowska 24, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;35;238;51;307
50;"Szkoła Podstawowa nr 21, Ząbkowice, ul. Gospodarcza 1, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;77;259;64;498
51;"Dom Kultury, Ząbkowice, ul. Chemiczna 2, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;88;286;74;585
52;"Dom Kultury, Ząbkowice, ul. Chemiczna 2, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;35;131;40;228
53;"Szkoła Podstawowa nr 22, Ząbkowice, ul. Aleja Zwycięstwa 44, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;126;468;128;1124
54;"Zespół Szkolno-Przedszkolny nr 7, Ząbkowice, ul. Aleja Zwycięstwa 77, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;53;210;65;269
55;"Zespół Szkolno-Przedszkolny nr 7, Ząbkowice, ul. Aleja Zwycięstwa 77, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;79;296;97;373
56;"Zespół Szkolno-Przedszkolny nr 6, Tucznawa, ul. Idzikowskiego 139, 42-520 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;122;401;109;846
57;"Świetlica Klub, Łęka, ul. Przelotowa 185a, 42-523 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;42;171;34;171
58;"Szkoła Podstawowa nr 28 z Oddziałami Przedszkolnymi, Okradzionów, ul. Górna 1, 42-524 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;49;243;56;387
59;"Zespół Szkolno-Przedszkolny nr 1, Błędów, ul. Żołnierska 188, 42-525 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;110;403;80;533
60;"Zespół Szkolno-Przedszkolny nr 3, Strzemieszyce, ul. Sportowa 16, 42-530 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;134;368;116;932
61;"Filia nr 8 Miejskiej Biblioteki Publicznej, Strzemieszyce, ul. Ofiar Katynia 93, 42-530 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;127;349;109;647
62;"Filia nr 8 Miejskiej Biblioteki Publicznej, Strzemieszyce, ul. Ofiar Katynia 93, 42-530 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;68;232;96;441
63;"Zespół Szkolno-Przedszkolny nr 5, Strzemieszyce, ul. Strzemieszycka 390, 42-530 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;83;466;79;493
64;"Świetlica Środowiskowa, Strzemieszyce, ul. Główna 61, 42-530 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;53;220;42;340
65;"Szkoła Podstawowa nr 26 z Oddziałami Przedszkolnymi, Łosień, ul. Gołonoska 23, 42-523 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;78;236;51;456
66;"Zagłębiowskie Centrum Onkologii Szpital Specjalistyczny im. Sz. Starkiewicza, ul. Szpitalna 13, 41-300 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;10;37;7;47
67;"Dom Pomocy Społecznej ""Pod Dębem '', ul. Norwida 1, 41-300 Dąbrowa Górnicza";246501;"m. Dąbrowa Górnicza";"Dąbrowa Górnicza";"śląskie";1;1;1;17;1;14
