"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻEBROWSKA Alicja - KW PRAWO I SPRAWIEDLIWOŚĆ";"BODNAR Adam Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
883;"Szkoła Podstawowa nr 154, ul. Leśnej Polanki 63/65, 03-142 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;468;1651
884;"Szkoła Podstawowa Nr 366, ul. Strumykowa 21, 03-138 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;312;1027
885;"Filia Szkoły Podstawowej nr 154, ul. Sprawna 35A, 03-147 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;532;1360
886;"Szkoła Podstawowa Nr 257, ul. Podróżnicza 11, 03-111 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;226;565
887;"Szkoła Podstawowa nr 231, ul. Juranda ze Spychowa 10, 03-257 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;577;1390
888;"Szkoła Podstawowa Nr 356, ul. Głębocka 66, 03-287 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;414;1683
889;"Szkoła Podstawowa Nr 356, ul. Głębocka 66, 03-287 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;288;1221
890;"Szkoła Podstawowa Nr 366, ul. Strumykowa 21, 03-138 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;296;1022
891;"Szkoła Podstawowa nr 154, ul. Leśnej Polanki 63/65, 03-142 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;281;898
892;"Szkoła Podstawowa Nr 344, ul. Erazma z Zakroczymia 15, 03-185 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;435;1163
893;"Szkoła Podstawowa Nr 154, ul. Leśnej Polanki 63/65, 03-142 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;451;1592
894;"Szkoła Podstawowa Nr 112, ul. Zaułek 34, 03-289 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;422;1455
895;"Szkoła Podstawowa Nr 31, ul. Kobiałka 49, 03-044 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;520;1468
896;"CLXV LICEUM OGÓLNOKSZTAŁCĄCE, ul. Ostródzka 175, 03-289 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;219;881
897;"Szkoła Podstawowa Nr 366, ul. Strumykowa 21, 03-138 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;253;928
898;"Filia Szkoły Podstawowej Nr 342, ul. Topolowa 15, 03-138 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;291;897
899;"Szkoła Podstawowa Nr 112, ul. Zaułek 34, 03-289 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;439;1318
900;"Poradnia Psychologiczno-Pedagogiczna Nr 21, ul. Marywilska 44, 03-042 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;403;1209
1148;"Areszt Śledczy, ul. Ciupagi 1, 03-016 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;119;1101
1149;"Stołeczne Centrum Opiekuńczo-Lecznicze sp. z o. o., ul. Józefa Mehoffera 72/74, 03-131 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;84;38
1150;"Dom Pomocy Społecznej ""Pod Brzozami"", ul. Bohaterów 46/48, 03-007 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;23;17
1151;"Zakład Opiekuńczo-Leczniczy Dąbrówka, ul. Czeremchowa 40F, 03-159 Warszawa";146503;"Białołęka";"Warszawa";"mazowieckie";1;1;19;31
771;"XCIV Liceum Ogólnokształcące, ul. Gwiaździsta 35, 01-651 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;388;968
772;"Szkoła Podstawowa nr 53, ul. Rudzka 6, 01-689 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;420;900
773;"XLI Liceum Ogólnokształcące, ul. Kiwerska 3, 01-682 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;424;1008
774;"Szkoła Podstawowa nr 53, ul. Rudzka 6, 01-689 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;606;1905
775;"Przedszkole nr 240, ul. Marymoncka 34, 01-813 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;212;565
776;"Przedszkole Specjalne nr 245 dla Dzieci Słabowidzących, ul. Ksawerego Pruszyńskiego 1, 01-870 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;420;965
777;"XXXIX Liceum Ogólnokształcące, ul. Bogumiła Zuga 16, 01-806 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;592;1354
778;"Zespół Szkół nr 35, ul. Stefana Żeromskiego 22/28, 01-831 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;633;1390
779;"Ośrodek Pomocy Społecznej, ul. Stanisława Przybyszewskiego 80/82, 01-824 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;549;1555
780;"CXXII Liceum Ogólnokształcące, ul. Leopolda Staffa 3/5, 01-891 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;667;1714
781;"CXXII Liceum Ogólnokształcące, ul. Leopolda Staffa 3/5, 01-891 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;334;821
782;"Biblioteka Publiczna im. St. Staszica, ul. Zbigniewa Romaszewskiego 19, 01-874 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;207;476
783;"Zespół Szkół nr 10, ul. Włodzimierza Perzyńskiego 10, 01-883 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;519;1075
784;"XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Leopolda Staffa 111, 01-884 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;359;822
785;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 214, ul. Antoniego Fontany 1, 01-835 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;346;645
786;"Szkoła Podstawowa nr 369, ul. Stanisława Przybyszewskiego 45, 01-849 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;604;1566
787;"Szkoła Podstawowa nr 293, ul. Jana Kochanowskiego 8, 01-864 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;653;1473
788;"Szkoła Podstawowa nr 293, ul. Jana Kochanowskiego 8, 01-864 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;508;978
789;"Szkoła Podstawowa nr 293, ul. Jana Kochanowskiego 8, 01-864 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;538;1275
790;"Szkoła Podstawowa nr 289, ul. Władysława Broniewskiego 99A, 01-876 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;614;1313
791;"Szkoła Podstawowa nr 289, ul. Władysława Broniewskiego 99A, 01-876 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;584;1373
792;"S. B. M. ""WARDOM"", ul. Jana Kochanowskiego 49, 01-864 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;485;1500
793;"Szkoła Podstawowa nr 80, ul. Aspekt 48, 01-904 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;770;1512
794;"Szkoła Podstawowa nr 352, ul. Josepha Conrada 6, 01-922 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;512;986
795;"Klub WSBM ""Chomiczówka"", ul. Pabla Nerudy 1, 01-926 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;675;1708
796;"Szkoła Podstawowa nr 352, ul. Josepha Conrada 6, 01-922 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;264;651
797;"Szkoła Podstawowa nr 352, ul. Josepha Conrada 6, 01-922 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;380;1086
798;"Przedszkole nr 328, ul. Marii Dąbrowskiej 5A, 01-903 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;648;1636
799;"Szkoła Podstawowa nr 263, ul. Szegedyńska 11, 01-957 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;431;723
800;"Szkoła Podstawowa nr 263, ul. Szegedyńska 11, 01-957 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;415;874
801;"LIX Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Samuela Bogumiła Lindego 20, 01-952 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;365;896
802;"LIX Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Samuela Bogumiła Lindego 20, 01-952 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;376;1622
803;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 247, ul. Wrzeciono 9, 01-951 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;461;705
804;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 247, ul. Wrzeciono 24, 01-963 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;752;1332
805;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 247, ul. Wrzeciono 24, 01-963 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;756;1377
806;"Szkoła Podstawowa nr 273, ul. Józefa Balcerzaka 1, 01-944 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;375;679
