"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BARCZYK Kamil Sebastian - KW BEZPARTYJNI SAMORZĄDOWCY";"WITKOWSKI Waldemar Włodzimierz - KW NOWA LEWICA";"ŚLUSARZ Rafał Józef - KW PRAWO I SPRAWIEDLIWOŚĆ"
1;"Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;388;443;329
2;"Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;291;426;257
3;"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;346;400;282
4;"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;369;404;250
5;"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;330;385;193
6;"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;221;293;193
7;"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;315;440;251
8;"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;362;296;266
9;"Miejskie Przedszkole Publiczne Nr 6, ul. Piotra i Pawła 2, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;322;391;225
10;"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;259;317;242
11;"Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;264;391;218
12;"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;276;355;203
13;"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;249;371;198
14;"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;362;486;243
15;"Miejskie Przedszkole Publiczne Nr 5, ul. Zygmunta Augusta 16b, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;297;415;219
16;"Przedsiębiorstwo Wodociągów i Kanalizacji, al. Aleja Wojska Polskiego 6/1a, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;347;479;246
17;"Pałac Ślubów Ratusz, rynek Rynek 41, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;272;327;192
18;"Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;259;328;202
19;"Miejskie Przedszkole Publiczne Nr 2, ul. Mikołaja Brody 17, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;335;538;215
20;"Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;498;519;256
21;"Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;318;403;248
22;"Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Bolesławcu, al. Aleja Tysiąclecia 30, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;26;31;36
23;"Dom Pomocy Społecznej w Bolesławcu, ul. Piastów 17, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;9;6;10
24;"Zespół Opieki Zdrowotnej w Bolesławcu pod marką „Szpital św. Łukasza w Bolesławcu”, ul. Jeleniogórska 4, 59-700 Bolesławiec";20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;13;19;17
1;"Dom Ludowy, Żeliszów 102A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;88;81;101
2;"Dom Ludowy, Bożejowice 1A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;222;275;157
3;"Dom Ludowy, Otok 44C, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;103;102;78
4;"Dom Ludowy, Brzeźnik 37, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;200;126;174
5;"Dom Ludowy, Dobra 94, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;235;239;117
6;"Dom Ludowy, Dąbrowa Bolesławiecka 7B, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;104;81;75
7;"Dom Ludowy, Trzebień ul. Lipowa 5, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;266;218;230
8;"Dom Ludowy, Kraśnik Dolny 24C, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;200;140;133
9;"Centrum Administracyjno-Kulturalne, Kruszyn ul. Kasztanowa 1B, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;351;502;253
10;"Dom Ludowy, Łaziska 30A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;194;233;154
11;"Dom Ludowy, Ocice 54B, 59-730 Nowogrodziec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;173;97;232
12;"Dom Ludowy, Nowe Jaroszowice 32A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;53;37;36
13;"Dom Ludowy, Suszki 46A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;47;46;48
14;"Dom Ludowy, Kraszowice 23Z, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;74;93;99
15;"Dom Ludowy, Mierzwin 14B, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;52;56;30
16;"Dom Ludowy, Krępnica 29A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;48;31;36
17;"Dom Ludowy, Bolesławice 258E, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;192;149;107
18;"Dom Ludowy, Łąka 11Z, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;62;64;57
19;"Dom Ludowy, Nowa Wieś 3A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;62;70;76
20;"Dom Ludowy, Kraśnik Górny 22Z, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;123;83;78
21;"Dom Ludowy, Stare Jaroszowice 30A, 59-700 Bolesławiec";20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";1;1;58;46;35
1;"Szkoła Podstawowa w Gromadce, ul. gen. Wł. Sikorskiego 19, 59-706 Gromadka";20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";1;1;303;367;431
2;"Gminny Ośrodek Pomocy Społecznej w Gromadce z siedzibą w Wierzbowej, Wierzbowa 19, 59-706 Gromadka";20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";1;1;116;119;231
