"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BODNAR Włodzimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"GOLBA Mieczysław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"LASEK Dariusz Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WOŚ Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"DRAPAK Maria Halina - KWW RDIP"
1;"Gminny Dom Kultury w Czarnej, Czarna Górna 113, 38-710 Czarna";180103;"gm. Czarna";"bieszczadzki";"podkarpackie";1;1;99;244;47;161;7
2;"Świetlica wiejska w Czarnej Dolnej, Czarna Dolna 32, 38-710 Czarna";180103;"gm. Czarna";"bieszczadzki";"podkarpackie";1;1;27;64;17;32;2
3;"Świetlica wiejska w Polanie, Polana 33, 38-710 Czarna";180103;"gm. Czarna";"bieszczadzki";"podkarpackie";1;1;23;116;23;51;3
4;"Remizo-świetlica w Michniowcu, Michniowiec 4, 38-710 Czarna";180103;"gm. Czarna";"bieszczadzki";"podkarpackie";1;1;14;48;7;31;2
5;"Remizo-świetlica w Lipiu, Lipie 24b, 38-710 Lipie";180103;"gm. Czarna";"bieszczadzki";"podkarpackie";1;1;17;43;8;20;2
1;"Gminny Ośrodek Kultury w Lutowiskach, Lutowiska 74A, 38-713 Lutowiska";180105;"gm. Lutowiska";"bieszczadzki";"podkarpackie";1;1;86;178;69;237;19
2;"Szkolne Schronisko Młodzieżowe w Stuposianach, Stuposiany 9, 38-713 Lutowiska";180105;"gm. Lutowiska";"bieszczadzki";"podkarpackie";1;1;64;156;58;248;10
3;"Remiza Strażacka w Dwerniku, Dwernik 34, 38-713 Lutowiska";180105;"gm. Lutowiska";"bieszczadzki";"podkarpackie";1;1;36;53;27;152;12
4;"Świetlica wiejska w Chmielu, Chmiel 16A, 38-713 Lutowiska";180105;"gm. Lutowiska";"bieszczadzki";"podkarpackie";1;1;43;71;20;97;6
1;"Przedszkole nr 2, ul. 29 Listopada 49, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;71;185;51;155;8
2;"Hala Sportowa OSiR, ul. 29 Listopada 19 A, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;64;206;50;203;10
3;"Świetlica Nadleśnictwa Ustrzyki Dolne, ul. Rynek 6, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;94;181;44;225;13
4;"Szkoła Podstawowa nr 2, ul. Dobra 6, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;84;220;52;264;8
5;"Ośrodek Sportu i Rekreacji, ul. Witolda Gombrowicza 49, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;122;197;56;264;12
6;"Budynek byłego Internatu przy SP nr 2, ul. Dobra 8, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;74;146;23;115;3
7;"Żłobek Miejski, ul. Pionierska 8, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;122;255;77;291;12
8;"Bieszczadzki Zespół Placówek Szkolno-Wychowawczych, ul. Witolda Gombrowicza 37, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;66;200;25;118;8
9;"Świetlica wiejska w Łobozewie Górnym, Łobozew Górny 2D, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;31;107;30;83;5
10;"Szkoła Podstawowa w Ustjanowej Górnej, Ustjanowa Górna 84, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;71;188;57;114;3
11;"Świetlica wiejska w Równi, Równia 51 B, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;52;149;36;92;5
12;"Świetlica wiejska w Bandrowie Narodowym, Bandrów Narodowy 52, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;28;69;12;67;8
13;"Szkoła Podstawowa w Hoszowie, Hoszów 31, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;44;93;26;59;9
14;"Dom Pomocy Społecznej w Moczarach, Moczary 41, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;10;42;3;13;3
15;"Świetlica w Brzegach Dolnych, Brzegi Dolne 46, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;55;91;17;62;3
16;"Świetlica wiejska w Łodynie, Łodyna 38C, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;31;45;23;38;2
17;"Świetlica wiejska w Krościenku, Krościenko 74, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;34;93;21;75;7
18;"Świetlica wiejska w Jureczkowej, Jureczkowa 51, 38-712 Wojtkowa";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;52;87;35;67;3
19;"Szkoła Podstawowa w Wojtkowej, Wojtkowa 40, 38-712 Wojtkowa";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;63;104;26;80;3
20;"Szkoła Podstawowa w Ropience, Ropienka 111, 38-711 Ropienka";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;78;162;45;121;7
21;"Świetlica w Brelikowie, Brelików 38, 38-711 Ropienka";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;41;57;11;29;2
22;"Świetlica wiejska w Teleśnicy Oszwarowej, Teleśnica Oszwarowa 14B, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;14;49;17;19;0
23;"Świetlica wiejska w Ustjanowej Dolnej, Ustjanowa Dolna 18, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;15;76;11;23;2
24;"Świetlica wiejska w Jałowem, Jałowe 20C, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;48;36;10;43;3
