"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JODŁOWSKI Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAZUR Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KAŹMIERCZAK Jolanta Barbara - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"GUTKOWSKI Krzysztof - KWW PROFESORA KRZYSZTOFA GUTKOWSKIEGO"
29;"Zespół Szkolno-Przedszkolny nr 9, ul. Piotra Skargi 3, 35-202 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;378;122;475;140
30;"Zespół Szkolno-Przedszkolny nr 9, ul. Piotra Skargi 3, 35-202 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;413;134;455;126
31;"Szkoła Podstawowa nr 29, ul. Partyzantów 10a, 35-234 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;470;200;677;211
32;"Zespół Szkolno-Przedszkolny nr 2, ul. Lwowska 17, 35-301 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;342;101;415;141
33;"Rzeszowski Dom Kultury, ul. Konfederatów Barskich 43a, 35-321 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;386;160;543;180
34;"Szkoła Podstawowa nr 21, ul. Miodowa 6, 35-303 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;352;112;551;167
35;"Szkoła Podstawowa nr 21, ul. Miodowa 6, 35-303 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;330;124;654;148
36;"Szkoła Podstawowa nr 21, ul. Miodowa 6, 35-303 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;364;138;539;108
37;"Zespół Szkół nr 2, al. Tadeusza Rejtana 3, 35-310 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;396;128;607;174
38;"Uniwersytet Rzeszowski Budynek A1, al. Tadeusza Rejtana 16c, 35-310 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;251;126;515;137
39;"Zespół Szkół Ogólnokształcących nr 4, al. Tadeusza Rejtana 30, 35-310 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;345;75;411;119
40;"Przedszkole Publiczne nr 38, al. Tadeusza Rejtana 28, 35-310 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;372;115;455;140
41;"Zespół Szkolno-Przedszkolny nr 5, ul. bp. Józefa Sebastiana Pelczara 3, 35-312 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;343;122;273;136
42;"Zespół Szkolno-Przedszkolny nr 5, ul. bp. Józefa Sebastiana Pelczara 3, 35-312 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;410;99;380;126
43;"Szkoła Podstawowa nr 11, ul. Podwisłocze 14, 35-309 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;340;119;526;154
44;"Szkoła Podstawowa nr 11, ul. Podwisłocze 14, 35-309 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;431;137;610;183
45;"Przedszkole Publiczne Nr 9, ul. Podwisłocze 20, 35-309 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;397;125;503;137
46;"Rzeszowski Dom Kultury, ul. Jana Olbrachta 120, 35-614 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;715;284;956;332
47;"Przedszkole Publiczne nr 11, ul. Mazurska 19, 35-620 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;554;215;821;287
48;"Szkoła Podstawowa nr 5, ul. Słocińska 4, 35-330 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;626;209;737;258
49;"Szkoła Podstawowa nr 5, ul. Słocińska 4, 35-330 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;512;161;446;203
50;"Dom Pomocy Społecznej dla Kombatantów, ul. Powstańców Śląskich 4, 35-610 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;530;267;875;325
51;"Szkoła Podstawowa Nr 24, ul. Piotra Czajkowskiego 11, 35-602 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;568;321;1113;360
52;"Szkoła Podstawowa nr 24, ul. Piotra Czajkowskiego 11, 35-602 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;462;139;690;184
53;"Rzeszowski Dom Kultury, ul. Henryka Wieniawskiego 84, 35-601 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;457;124;668;202
54;"Szkoła Podstawowa nr 18, ul. bł. Karoliny 21, 35-119 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;270;232;599;191
55;"Rzeszowski Dom Kultury, ul. Dębicka 170, 35-213 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;445;226;708;248
56;"Zespół Szkolno-Przedszkolny nr 10, ul. Dębicka 288, 35-213 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;512;149;380;196
57;"Zespół Szkolno-Przedszkolny nr 10, ul. Dębicka 288, 35-213 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;449;90;286;118
58;"Przedszkole Publiczne nr 28, ul. Obrońców Poczty Gdańskiej 5, 35-509 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;457;184;691;236
59;"Szkoła Podstawowa nr 25, ul. Stefana Starzyńskiego 17, 35-508 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;295;121;439;174
60;"Szkoła Podstawowa Nr 25, ul. Stefana Starzyńskiego 17, 35-508 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;406;135;497;153
61;"Szkoła Podstawowa nr 25, ul. Stefana Starzyńskiego 17, 35-508 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;428;101;445;139
62;"Młodzieżowy Dom Kultury, ul. płk. Kazimierza Iranka-Osmeckiego 51, 35-506 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;329;94;393;114
63;"Szkoła Podstawowa nr 2, ul. Aleksandra Kamińskiego 12, 35-211 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;302;117;495;101
64;"Ogólnokształcąca Szkoła Muzyczna I stopnia w Zespole Szkół Muzycznych Nr 2, ul. Stanisława Wyspiańskiego 16a, 35-111 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;211;94;390;109
65;"VIII Liceum Ogólnokształcące, ul. Stanisława Wyspiańskiego 16a, 35-111 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;363;81;465;118
66;"Zespół Szkolno-Przedszkolny nr 6, al. prof. Adama Krzyżanowskiego 24, 35-329 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;405;135;518;139
67;"Zespół Szkolno-Przedszkolny nr 6, al. prof. Adama Krzyżanowskiego 24, 35-329 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;384;94;437;135
68;"Dom Studencki ""FILON"", ul. Cicha 4, 35-326 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;370;199;566;189
69;"Przedszkole Publiczne nr 43, ul. Cicha 5, 35-326 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;402;143;645;189
70;"Żłobek nr 7, ul. Zielona 7, 35-312 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;355;278;897;270
71;"Szkoła Podstawowa nr 9, ul. Miła 58, 35-314 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;436;302;689;248
72;"Szkoła Podstawowa nr 28, ul. Ignacego Solarza 12, 35-118 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;453;153;562;157
73;"Szkoła Podstawowa nr 28, ul. Ignacego Solarza 12, 35-118 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;404;126;475;152
74;"Szkoła Podstawowa nr 28, ul. Ignacego Solarza 12, 35-118 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;328;80;385;109
75;"Przedszkole Publiczne nr 40, ul. Macieja Rataja 14, 35-116 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;326;93;391;102
76;"Rzeszowski Dom Kultury, ul. Widokowa 1, 35-119 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;421;183;932;221
77;"Przedszkole Publiczne nr 3, ul. Krośnieńska 15a, 35-505 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;345;200;947;213
78;"Zespół Szkolno-Przedszkolny nr 1, ul. Rubinowa 4, 35-322 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;467;195;621;208
79;"Zespół Szkolno-Przedszkolny nr 11, ul. Beskidzka 5, 35-083 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;414;112;345;148
80;"Zespół Szkolno-Przedszkolny nr 11, ul. Beskidzka 5, 35-083 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;405;117;477;126
81;"Rzeszowski Dom Kultury, ul. kard. Karola Wojtyły 164, 35-313 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;568;244;741;367
82;"Zespół Szkół Agroprzedsiębiorczości, ul. Miłocińska 75, 35-232 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;134;75;378;87
83;"Ochotnicza Straż Pożarna Rzeszów-Dębina, ul. Jana Pawła II 29, 35-317 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;381;197;638;262
84;"Zespół Szkolno-Przedszkolny nr 7, ul. Budziwojska 154, 35-317 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;590;210;612;429
85;"Publiczna Szkoła Podstawowa Sióstr Nazaretanek, ul. św. Jakuba 2, 35-213 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;227;33;58;35
86;"Rzeszowski Dom Kultury, ul. Matysowska 99, 35-330 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;436;134;338;138
87;"Dom Ludowy, ul. Myśliwska 26, 35-212 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;183;67;219;48
88;"Szkoła Podstawowa nr 9, ul. Miła 58, 35-314 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;345;175;720;164
89;"Szkoła Podstawowa nr 37, ul. Eugeniusza Kwiatkowskiego 121a, 35-311 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;371;197;707;228
90;"Rzeszowski Dom Kultury Filia Country, ul. Herbowa 3, 35-317 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;347;201;666;356
91;"Ochotnicza Straż Pożarna Rzeszów-Pogwizdów Nowy, ul. Pogwizdowska 85, 35-212 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;281;108;331;99
92;"Szkoła Podstawowa nr 18, ul. bł. Karoliny 21, 35-119 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;332;268;837;272
93;"Przedszkole Publiczne nr 46, ul. Iwonicka 54, 35-505 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;330;114;393;141
94;"Uniwersytecki Szpital Kliniczny im. Fryderyka Chopina w Rzeszowie, ul. Fryderyka Szopena 2, 35-055 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;77;17;42;15
95;"Kliniczny Szpital Wojewódzki Nr 2 im. Św. Jadwigi Królowej w Rzeszowie, ul. Lwowska 60, 35-301 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;80;11;37;23
96;"Szpital Miejski im. Jana Pawła II w Rzeszowie, ul. Rycerska 4, 35-241 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;6;2;9;3
97;"Uniwersytecki Szpital Kliniczny im. Fryderyka Chopina w Rzeszowie-Podkarpackie Centrum Chorób Płuc, ul. Rycerska 2, 35-241 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;23;7;11;5
98;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji w Rzeszowie, ul. Krakowska 16, 35-111 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;34;5;14;6
99;"Szpital Specjalistyczny PRO-FAMILIA Tomasz Łoziński spółka komandytowa, ul. Witolda 6b, 35-302 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;2;4;14;5
100;"Dom Pomocy Społecznej dla Osób w Podeszłym Wieku oraz Osób Niepełnosprawnych Fizycznie w Rzeszowie, ul. mjr. Henryka Sucharskiego 1, 35-225 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;10;2;3;4
101;"Filia Domu Pomocy Społecznej dla Osób w Podeszłym Wieku oraz Osób Niepełnosprawnych Fizycznie w Rzeszowie, ul. Łabędzia 9, 35-207 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;7;1;2;3
102;"Zakład Karny w Rzeszowie, ul. Załęska 76, 35-322 Rzeszów";186301;"m. Rzeszów";"Rzeszów";"podkarpackie";1;1;136;159;555;42
