"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PAJĄK Andrzej Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŁUKAJCZYK Dawid - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRACZYK Piotr Paweł - KWW RDIP";"BURZYŃSKI Zbigniew Józef - KW WIS"
1;"Szkoła Podstawowa, Marcówka 120, 34-210 Zembrzyce";121509;"gm. Zembrzyce";"suski";"małopolskie";1;1;112;186;56;16;26
2;"Pawilon Centrum Rekreacji, Zembrzyce 584, 34-210 Zembrzyce";121509;"gm. Zembrzyce";"suski";"małopolskie";1;1;449;530;116;34;74
3;"Szkoła Podstawowa, Tarnawa Dolna 272, 34-210 Zembrzyce";121509;"gm. Zembrzyce";"suski";"małopolskie";1;1;256;373;86;37;25
4;"Szkoła Podstawowa, Śleszowice 166A, 34-210 Zembrzyce";121509;"gm. Zembrzyce";"suski";"małopolskie";1;1;125;257;36;16;23
5;"Świetlica, Tarnawa Górna 50, 34-210 Zembrzyce";121509;"gm. Zembrzyce";"suski";"małopolskie";1;1;68;102;26;6;9
1;"Andrychów, Urząd Miejski, rynek Rynek 16, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;517;447;105;27;56
2;"Andrychów, Szkoła Podstawowa Nr 2, Hala Sportowa, ul. Ignacego Daszyńskiego 14, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;584;401;128;23;58
3;"Andrychów, Szkoła Podstawowa Nr 2, ul. Jarosława Dąbrowskiego 2, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;588;452;118;29;38
4;"Andrychów, Hala sportowa, ul. 1-go Maja 4, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;559;408;95;37;68
5;"Andrychów, Miejski Dom Kultury, ul. Szewska 7, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;517;363;115;22;56
6;"Andrychów, Małopolski Inkubator Przedsiębiorczości, ul. Starowiejska 22b, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;391;345;105;34;53
7;"Andrychów, Szkoła Podstawowa Nr 4, ul. Włókniarzy 10a, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;434;400;74;33;59
8;"Andrychów, Klub Osiedlowy ASM, ul. Stanisława Lenartowicza 7, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;491;345;80;31;53
9;"Andrychów, Szkoła Podstawowa Nr 5, sala lekcyjna, ul. Stanisława Lenartowicza 26, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;425;351;107;30;32
10;"Andrychów, Szkoła Podstawowa Nr 5, Świetlica, ul. Stanisława Lenartowicza 26, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;455;337;78;23;38
11;"Roczyny, Zespół Szkół Samorządowych, sala lekcyjna /wejście boczne, ul. Szkolna 10, 34-120 Roczyny";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;565;528;139;20;48
12;"Roczyny, Zespół Szkół Samorządowych, sala lekcyjna /wejście główne, ul. Szkolna 10, 34-120 Roczyny";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;510;453;146;30;60
13;"Sułkowice, Zespół Szkół Samorządowych w Sułkowicach-Łęgu, ul. Centralna 2, 34-120 Sułkowice";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;533;488;144;22;49
14;"Sułkowice, Remiza OSP w Sułkowicach-Łęgu, ul. Beskidzka 124a, 34-120 Sułkowice";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;381;387;115;11;57
15;"Brzezinka, Publiczna Szkoła Podstawowa, ul. Słoneczna 5, 34-120 Brzezinka";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;248;280;74;17;35
16;"Targanice, Zespół Szkół Samorządowych, mała sala gimnastyczna, ul. Beskidzka 46, 34-120 Targanice";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;348;398;121;19;51
17;"Targanice, Zespół Szkół Samorządowych, pokój nauczycielski, ul. Beskidzka 46, 34-120 Targanice";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;333;358;99;15;25
18;"Sułkowice, Zespół Szkół Samorządowych w Sułkowicach-Bolęcinie, ul. Racławicka 188, 34-125 Sułkowice";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;429;617;133;24;45
19;"Rzyki, Dom Kultury, os. Os. Młocki Dolne 72, 34-125 Rzyki";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;303;421;83;21;41
20;"Rzyki, Zespół Szkół Samorządowych, os. Os. Szczęśniaki 1, 34-125 Rzyki";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;185;506;93;14;36
21;"Zagórnik, Zespół Szkół Samorządowych, ul. Szkolna 12, 34-120 Zagórnik";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;423;659;114;38;59
22;"Inwałd, Zespół Szkół Samorządowych, Stary Budynek, ul. Wadowicka 79, 34-120 Inwałd";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;390;411;94;25;43
23;"Inwałd, Zespół Szkół Samorządowych, Nowy Budynek, ul. Wadowicka 79, 34-120 Inwałd";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;343;462;96;26;45
24;"Wojewódzki Szpital Psychiatryczny w Andrychowie, ul. Jarosława Dąbrowskiego 19, 34-120 Andrychów";121801;"gm. Andrychów";"wadowicki";"małopolskie";1;1;13;33;10;8;15
1;"Zespół Szkolno-Przedszkolny im. Adama Gorczyńskiego, ul. Adama Gorczyńskiego 1, 34-114 Brzeźnica";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;403;320;76;17;38
2;"Szkoła Podstawowa im. Św. Jana Pawła II, ul. św. Floriana 19, 34-114 Marcyporęba";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;300;352;78;19;42
3;"Zespół Szkolno-Przedszkolny, ul. Szkolna 9, 34-114 Tłuczań";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;231;240;56;16;30
4;"Szkoła Podstawowa im. Antoniego Kucharczyka, ul. Wadowicka 38, 34-113 Paszkówka";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;230;273;75;4;28
5;"Zespół Szkolno-Przedszkolny, ul. Krakowska 87, 34-115 Łączany";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;331;393;86;20;34
6;"Szkoła Podstawowa im. Marii Konopnickiej, ul. Szkolna 1, 34-113 Sosnowice";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;271;315;91;21;32
7;"Dom Kultury w Chrząstowicach, ul. Długa 15, 34-114 Chrząstowice";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;87;130;25;3;13
8;"Dom Strażaka w Brzezince, ul. Dolna 73, 34-114 Brzezinka";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;90;110;22;11;17
9;"Wiejski Dom Kultury w Bęczynie, ul. Wspólna 13, 34-113 Bęczyn";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;118;141;38;6;17
10;"Pawilon Sportowy w Kossowej, ul. Zygmunta Jaworskiego 3, 34-114 Kossowa";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;99;136;41;18;12
11;"Wiejski Dom Kultury w Nowych Dworach, ul. Wadowicka 74, 34-114 Nowe Dwory";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;112;136;30;5;17
12;"Wiejski Dom Kultury w Wyźrale, ul. Wadowicka 119, 34-114 Wyźrał";121802;"gm. Brzeźnica";"wadowicki";"małopolskie";1;1;103;102;29;8;13
1;"""Stare Kino"" w Kalwarii Zebrzydowskiej, ul. Adama Mickiewicza 4, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;513;490;132;39;131
2;"Zespół Szkół i Placówek Oświatowych im. Mikołaja Kopernika w Kalwarii Zebrzydowskiej, ul. Adama Mickiewicza 9, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;559;497;143;36;92
3;"Szkoła Podstawowa im. Karola Wojtyły w Barwałdzie Górnym, Barwałd Górny 213, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;329;289;87;21;42
4;"Zespół Szkół nr 7 w Barwałdzie Średnim, Barwałd Średni 70, 34-124 Klecza Górna";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;246;285;96;19;51
5;"Szkoła Podstawowa im. Janusza Korczaka w Brodach, Brody 479, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;257;252;62;16;87
6;"Szkoła Podstawowa im. Janusza Korczaka w Brodach, Brody 479, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;259;297;95;19;68
7;"Dom Ludowy w Bugaju, Bugaj 74, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;98;116;35;6;29
8;"Zespół Szkół nr 6 im. Bohaterów Westerplatte w Leńczach, Leńcze 276, 34-142 Leńcze";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;344;398;101;15;90
9;"Zespół Szkół nr 3 w Przytkowicach, Przytkowice 542, 34-141 Przytkowice";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;496;671;195;29;104
10;"Szkoła Podstawowa nr 1 im. Jana Pawła II w Stanisławiu Dolnym, Stanisław Dolny 256, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;373;342;122;21;65
11;"Zespół Szkolno-Przedszkolny w Stanisławiu Dolnym-Dolany, Stanisław Dolny 73, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;208;256;59;12;33
12;"Szkoła Podstawowa im. Marii Konopnickiej w Zebrzydowicach, Zebrzydowice 193, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;337;397;83;25;50
13;"Zespół Szkolno-Przedszkolny w Zarzycach Wielkich, Zarzyce Wielkie 56, 34-142 Leńcze";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;102;160;35;12;30
14;"Świetlica Wiejska w Zarzycach Małych, Zarzyce Małe 9B, 34-142 Leńcze";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;34;32;10;1;18
15;"Zespół Szkół nr 6 im. Bohaterów Westerplatte w Leńczach-Przedszkole Publiczne w Podolanach, Podolany 21, 34-142 Leńcze";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;59;91;31;4;40
16;"Dom Pomocy Społecznej Zakonu Bonifratrów w Zebrzydowicach, Zebrzydowice 1, 34-130 Kalwaria Zebrzydowska";121803;"gm. Kalwaria Zebrzydowska";"wadowicki";"małopolskie";1;1;2;14;2;1;1
1;"Gminny Ośrodek Kultury w Lanckoronie, ul. Krakowska 8, 34-143 Lanckorona";121804;"gm. Lanckorona";"wadowicki";"małopolskie";1;1;368;563;145;21;162
2;"Zespół Szkół w Izdebniku, ul. Krakowska 1, 34-144 Izdebnik";121804;"gm. Lanckorona";"wadowicki";"małopolskie";1;1;418;480;141;37;133
3;"Szkoła Podstawowa w Skawinkach, Skawinki ul. Beskidzka 27, 34-143 Lanckorona";121804;"gm. Lanckorona";"wadowicki";"małopolskie";1;1;140;312;57;16;36
4;"Szkoła Podstawowa w Jastrzębi, Jastrzębia ul. Barska 134, 34-143 Lanckorona";121804;"gm. Lanckorona";"wadowicki";"małopolskie";1;1;101;221;36;11;55
1;"Szkoła Podstawowa w Mucharzu, Mucharz 238, 34-106 Mucharz";121805;"gm. Mucharz";"wadowicki";"małopolskie";1;1;278;251;59;13;36
2;"Dom Kultury w Świnnej Porębie, Świnna Poręba 111, 34-106 Mucharz";121805;"gm. Mucharz";"wadowicki";"małopolskie";1;1;203;233;60;9;36
3;"Świetlica w budynku komunalnym w Skawcach, Skawce 191, 34-106 Mucharz";121805;"gm. Mucharz";"wadowicki";"małopolskie";1;1;113;103;32;5;12
4;"Wiejski Dom Kultury w Kozińcu, Koziniec 218, 34-106 Mucharz";121805;"gm. Mucharz";"wadowicki";"małopolskie";1;1;117;200;36;8;25
5;"Dom Strażaka w Jaszczurowej, Jaszczurowa 351, 34-106 Mucharz";121805;"gm. Mucharz";"wadowicki";"małopolskie";1;1;177;252;51;15;31
1;"Zespół Szkolno-Przedszkolny w Bachowicach, Bachowice ul. Księdza Gołby 1, 34-116 Spytkowice";121806;"gm. Spytkowice";"wadowicki";"małopolskie";1;1;427;693;135;21;41
2;"Zespół Szkolno-Przedszkolny w Ryczowie, ul. Szkolna 18, 34-115 Ryczów";121806;"gm. Spytkowice";"wadowicki";"małopolskie";1;1;472;767;129;27;88
3;"Wiejski Dom Kultury w Miejscu, Miejsce ul. Piotra i Pawła 9, 34-116 Spytkowice";121806;"gm. Spytkowice";"wadowicki";"małopolskie";1;1;166;138;40;8;18
4;"Szkoła Podstawowa Nr 2 w Spytkowicach, ul. Wiślana 53, 34-116 Spytkowice";121806;"gm. Spytkowice";"wadowicki";"małopolskie";1;1;231;316;59;14;27
5;"Zespół Szkolno-Przedszkolny w Spytkowicach, ul. Szkolna 14, 34-116 Spytkowice";121806;"gm. Spytkowice";"wadowicki";"małopolskie";1;1;617;715;160;20;65
6;"Dom Strażaka w Półwsi, Półwieś ul. Świętego Floriana 28, 34-115 Ryczów";121806;"gm. Spytkowice";"wadowicki";"małopolskie";1;1;53;166;23;8;20
1;"Szkoła Podstawowa w Łękawicy, Łękawica 19, 34-124 Klecza Górna";121807;"gm. Stryszów";"wadowicki";"małopolskie";1;1;338;353;70;21;68
2;"Szkoła Podstawowa w Dąbrówce, Dąbrówka 43, 34-146 Stryszów";121807;"gm. Stryszów";"wadowicki";"małopolskie";1;1;101;167;60;13;25
3;"Szkoła Podstawowa w Stryszowie, Stryszów 90, 34-146 Stryszów";121807;"gm. Stryszów";"wadowicki";"małopolskie";1;1;400;454;137;25;75
4;"Szkoła Podstawowa w Zakrzowie, Zakrzów 131, 34-145 Stronie";121807;"gm. Stryszów";"wadowicki";"małopolskie";1;1;235;322;60;8;44
5;"Szkoła Podstawowa w Stroniu, Stronie 67, 34-145 Stronie";121807;"gm. Stryszów";"wadowicki";"małopolskie";1;1;202;312;83;23;41
6;"Świetlica Wiejska w Leśnicy, Leśnica 48, 34-145 Stronie";121807;"gm. Stryszów";"wadowicki";"małopolskie";1;1;38;96;24;3;17
1;"Ochotnicza Straż Pożarna w Lgocie, ul. Podgórska 94, 34-103 Lgota";121808;"gm. Tomice";"wadowicki";"małopolskie";1;1;75;133;29;7;8
2;"Zespół Szkolno-Przedszkolny w Witanowicach, ul. Jana Pawła II 107, 34-103 Witanowice";121808;"gm. Tomice";"wadowicki";"małopolskie";1;1;288;361;85;11;39
3;"Szkoła Podstawowa w Radoczy, ul. Dębowa 49, 34-100 Radocza";121808;"gm. Tomice";"wadowicki";"małopolskie";1;1;460;401;123;22;46
4;"Zespół Szkolno-Przedszkolny w Tomicach, ul. Floriańska 16, 34-100 Tomice";121808;"gm. Tomice";"wadowicki";"małopolskie";1;1;662;536;183;54;105
5;"Szkoła Podstawowa w Woźnikach, ul. Wadowicka 133, 34-103 Woźniki";121808;"gm. Tomice";"wadowicki";"małopolskie";1;1;213;317;57;14;38
6;"Ochotnicza Straż Pożarna w Zygodowicach, ul. Główna 59, 34-103 Zygodowice";121808;"gm. Tomice";"wadowicki";"małopolskie";1;1;66;130;22;3;14
1;"Przedszkole Publiczne Nr 1 w Wadowicach, ul. Gimnazjalna 10, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;523;386;112;22;66
2;"Wadowickie Centrum Kultury w Wadowicach, ul. Teatralna 1, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;572;368;100;41;82
3;"Szkoła Podstawowa Nr 4 w Wadowicach, ul. Juliusza Słowackiego 2, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;543;291;98;25;65
4;"Szkoła Podstawowa Nr 2 w Wadowicach, ul. Henryka Sienkiewicza 9, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;506;345;76;38;68
5;"Niepubliczne Przedszkole ""Słoneczko"" w Wadowicach, ul. Zygmunta I Starego 29, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;192;147;46;13;26
6;"Szkoła Podstawowa Nr 5 w Wadowicach, os. Osiedle Mikołaja Kopernika 11, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;533;395;77;24;64
7;"Szkoła Podstawowa Nr 5 w Wadowicach, os. Osiedle Mikołaja Kopernika 11, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;502;388;87;39;77
8;"Przedszkole Publiczne Nr 5 w Wadowicach, os. Osiedle Pod Skarpą 11, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;414;296;92;24;57
9;"Szkoła Podstawowa Nr 1 w Wadowicach, os. Osiedle Pod Skarpą 10, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;519;383;85;18;57
10;"Szkoła Podstawowa Nr 1 w Wadowicach, os. Osiedle Pod Skarpą 10, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;597;425;111;25;66
11;"Szkoła Podstawowa Nr 1 w Choczni, ul. Główna 1, 34-123 Chocznia";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;519;547;116;33;70
12;"Szkoła Podstawowa Nr 1 w Choczni, ul. Główna 1, 34-123 Chocznia";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;416;376;135;21;56
13;"Szkoła Podstawowa Nr 2 w Choczni, ul. Główna 65, 34-123 Chocznia";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;267;467;82;13;59
14;"Szkoła Podstawowa w Ponikwi, Ponikiew ul. św. Aleksego 1, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;164;259;57;9;30
15;"Zespół Szkół w Jaroszowicach, Jaroszowice ul. Wesoła 12, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;240;309;71;15;19
16;"Szkoła Podstawowa w Zawadce, Zawadka 90, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;454;349;92;30;47
17;"Zespół Szkół Publicznych w Kleczy Dolnej, Klecza Dolna ul. Krakowska 234, 34-124 Klecza Górna";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;594;622;177;31;64
18;"Zespół Szkół Publicznych w Kleczy Dolnej, Klecza Dolna ul. Krakowska 234, 34-124 Klecza Górna";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;151;243;50;6;30
19;"Szkoła Podstawowa w Barwałdzie Dolnym, Barwałd Dolny ul. Szkolna 1, 34-124 Klecza Górna";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;126;170;36;13;28
20;"Dom Ludowy w Babicy, Babica ul. Wiejska 47, 34-103 Witanowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;223;400;95;9;43
21;"Szkoła Podstawowa w Wysokiej, ul. Wadowicka 319, 34-105 Wysoka";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;376;493;128;34;62
22;"Szkoła Podstawowa w Stanisławiu Górnym, Stanisław Górny ul. ks. Zygmunta Kuźmy 76, 34-105 Wysoka";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;190;287;67;11;45
23;"Centrum Kultury Jaroszowice-Zbywaczówka, Jaroszowice ul. Różana 7, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;201;205;35;15;23
24;"Ochotnicza Straż Pożarna w Kaczynie, Kaczyna 61, 34-123 Kaczyna";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;35;104;20;4;10
25;"Dom Pomocy Społecznej im. św. Rafała Kalinowskiego w Wadowicach, ul. gen. Kazimierza Pułaskiego 5, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;6;28;2;1;4
26;"Szpital Powiatowy w Wadowicach, ul. Karmelicka 12, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;17;29;4;1;4
27;"Zakład Karny w Wadowicach, ul. Trybunalska 8, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;84;37;37;12;23
28;"Dom Pomocy Społecznej Nr 1 w Wadowicach, ul. Parkowa 1, 34-100 Wadowice";121809;"gm. Wadowice";"wadowicki";"małopolskie";1;1;8;13;0;3;5
1;"Gminny Ośrodek Kultury w Wieprzu, ul. Centralna 7, 34-122 Wieprz";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;405;404;79;25;43
2;"Zespół Szkolno-Przedszkolny nr 1 im. Jana Pawła II w Wieprzu, ul. Centralna 19, 34-122 Wieprz";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;428;484;118;41;54
3;"Zespół Szkolno-Przedszkolny nr 2 im. Kard. Stefana Wyszyńskiego w Wieprzu, ul. Beskidzka 324, 34-122 Wieprz";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;354;441;106;9;37
4;"Zespół Szkolno-Przedszkolny im. Jana Brzechwy we Frydrychowicach, ul. Wadowicka 77, 34-108 Frydrychowice";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;244;406;112;16;39
5;"Wiejski Dom Kultury we Frydrychowicach, ul. Floriańska 11, 34-108 Frydrychowice";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;250;403;113;25;36
6;"Wiejski Dom Kultury w Gierałtowicach, Gierałtowice ul. św. Marcina 8, 34-122 Wieprz";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;290;397;66;12;34
7;"Wiejski Dom Kultury w Nidku, Nidek ul. św. Jana Pawła II 34, 34-122 Wieprz";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;268;419;72;21;37
8;"Remiza Ochotniczej Straży Pożarnej w Przybradzu, Przybradz ul. Szkolna 36, 34-108 Frydrychowice";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;190;310;66;8;21
9;"Wiejski Dom Kultury w Gierałtowiczkach, Gierałtowiczki ul. Pogodna 35, 34-122 Wieprz";121810;"gm. Wieprz";"wadowicki";"małopolskie";1;1;106;144;35;2;14
