"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SPIECHOWICZ Mariusz Michał - KW BEZPARTYJNI SAMORZĄDOWCY";"SMELA Krzysztof - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAJER Ryszard Bogdan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FAJER Monika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LASECKI Jarosław Wacław - KWW PAKT OBYWATELSKI LASECKI"
2;"Szkoła Podstawowa im. Wł. Broniewskiego w Lusławicach, Lusławice 70, 42-253 Janów";240403;"gm. Janów";"częstochowski";"śląskie";1;1;4;40;108;21;67
3;"Szkoła Podstawowa im. Św. St. Kostki w Lgoczance, Lgoczanka 1, 42-253 Janów";240403;"gm. Janów";"częstochowski";"śląskie";1;1;25;114;209;60;97
4;"Szkoła Podstawowa w Piasku, Piasek ul. Żurawska 2, 42-253 Janów";240403;"gm. Janów";"częstochowski";"śląskie";1;1;34;81;238;49;83
5;"Szkolne Schronisko Młodzieżowe w Siedlcu, Siedlec ul. Szkolna 8, 42-253 Janów";240403;"gm. Janów";"częstochowski";"śląskie";1;1;15;64;124;26;50
6;"Zespół Placówek Oświatowych w Janowie, ul. Szkolna 1, 42-253 Janów";240403;"gm. Janów";"częstochowski";"śląskie";1;1;31;260;303;80;181
7;"Przedszkole w Złotym Potoku, Złoty Potok ul. Kościuszki 21 B, 42-253 Janów";240403;"gm. Janów";"częstochowski";"śląskie";1;1;41;179;254;55;122
8;"Świetlica Wiejska w Zagórzu, Zagórze 38A, 42-253 Janów";240403;"gm. Janów";"częstochowski";"śląskie";1;1;4;30;54;20;29
1;"Gminny Ośrodek Kultury Sportu i Rekreacji, ul. Marii Konopnickiej 135, 42-260 Kamienica Polska";240404;"gm. Kamienica Polska";"częstochowski";"śląskie";1;1;54;427;278;79;192
2;"Gminna Hala Sportowa, ul. Marii Konopnickiej 12B, 42-260 Kamienica Polska";240404;"gm. Kamienica Polska";"częstochowski";"śląskie";1;1;45;324;263;61;171
3;"Przedszkole, Rudnik Wielki ul. Słoneczna 186, 42-260 Kamienica Polska";240404;"gm. Kamienica Polska";"częstochowski";"śląskie";1;1;31;225;146;57;105
4;"Budynek Gminny, Osiny ul. Częstochowska 165, 42-260 Kamienica Polska";240404;"gm. Kamienica Polska";"częstochowski";"śląskie";1;1;32;183;119;37;79
5;"Przedszkole, Zawisna 69, 42-260 Kamienica Polska";240404;"gm. Kamienica Polska";"częstochowski";"śląskie";1;1;17;90;112;33;54
1;"Szkoła Kłomnice, ul. Szkolna 1, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;78;575;553;127;253
2;"Gminny Ośrodek Kultury Kłomnice, ul. Częstochowska 96, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;14;105;98;30;40
3;"Szkoła Witkowice, Witkowice ul. Częstochowska 22, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;37;203;160;44;68
4;"Strażnica OSP Nieznanice, Nieznanice ul. Sobieskiego 1a, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;10;80;121;25;50
5;"Świetlica OSP Zdrowa, Zdrowa ul. Kłomnicka 31, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;14;127;124;34;42
6;"Szkoła Skrzydlów, Skrzydlów ul. Główna 6a, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;39;167;272;51;94
7;"Przedszkole Rzeki Wielkie, Rzeki Wielkie ul. Główna 11, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;20;85;156;41;69
8;"Szkoła Rzerzęczyce, Rzerzęczyce ul. Skrzydlowska 91, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;80;304;428;85;177
9;"Szkoła Garnek, Garnek ul. Szkolna 18, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;41;176;182;65;88
10;"Szkoła Zawada, Zawada ul. Częstochowska 8, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;41;181;262;55;53
11;"Szkoła Konary, Konary ul. Szkolna 3, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;15;85;148;39;47
12;"Strażnica OSP, Pacierzów ul. Częstochowska 29, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;9;84;125;21;33
13;"OSP Chorzenice-Witkowice, Chorzenice ul. Główna 51, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;21;90;65;34;39
14;"OSP Karczewice-Garnek, Karczewice ul. Wolności 32, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;20;59;107;28;48
15;"Świetlica Wiejska, Lipicze ul. Stawowa 40, 42-270 Kłomnice";240405;"gm. Kłomnice";"częstochowski";"śląskie";1;1;8;37;91;10;15
1;"Zespół Szkół w Koniecpolu, ul. Armii Krajowej 26, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;39;156;219;46;93
2;"Szkoła Podstawowa Nr 1 w Koniecpolu, ul. Mickiewicza 26, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;54;357;634;139;200
3;"Katolickie Stowarzyszenie Osób Niepełnosprawnych w Starym Koniecpolu, Stary Koniecpol ul. Częstochowska 150, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;11;103;232;55;60
4;"Szkoła Podstawowa w Łysinach, Łysiny ul. Szkolna 14, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;10;57;120;21;26
5;"Remiza OSP w Kuźnicy Grodziskiej, Kuźnica Grodziska ul. Centralna 128, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;8;50;167;22;19
6;"Szkoła Podstawowa w Rudnikach, Rudniki 1A, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;4;60;96;12;15
