"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SPIECHOWICZ Mariusz Michał - KW BEZPARTYJNI SAMORZĄDOWCY";"SMELA Krzysztof - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAJER Ryszard Bogdan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FAJER Monika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LASECKI Jarosław Wacław - KWW PAKT OBYWATELSKI LASECKI"
1;"Zespół Szkół Nr 1, ul. Zamkowa 6, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;127;663;510;135;420
2;"Zespół Szkół Nr 2, ul. 3 Maja 33, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;51;358;221;111;220
3;"Szkoła Podstawowa Nr 3, ul. Bohaterów Bitwy pod Mokrą 4, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;54;401;342;88;264
4;"Szkoła Podstawowa Nr 1 im. Władysława Sebyły, ul. Krzysztofa Kamila Baczyńskiego 2, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;33;172;195;45;140
5;"Szkoła Podstawowa Nr 2 im. Adama Mickiewicza, ul. Szkolna 1, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;60;421;374;108;286
6;"Przychodnia Rejonowa Nr 1, ul. Stanisława Staszica 28, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;73;363;344;145;229
7;"Publiczna Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich z siedzibą w Lgocie, Lgota ul. Południowa 138, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;23;90;125;35;39
8;"Szkoła Podstawowa w Libidzy, Libidza ul. Stefana Olszyńskiego 2, 42-125 Kamyk";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;24;107;149;42;59
9;"Zespół Szkolno-Przedszkolny w Kamyku, ul. Szkolna 5, 42-125 Kamyk";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;55;389;484;116;209
10;"Szkoła Podstawowa w Białej, Biała ul. Częstochowska 73, 42-125 Kamyk";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;58;291;272;92;168
11;"Zespół Szkolno-Przedszkolny im. Marii Konopnickiej w Łobodnie, Łobodno ul. Henryka Sienkiewicza 69, 42-125 Kamyk";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;73;300;328;101;192
12;"Publiczna Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich w Kłobucku, ul. Wincentego Witosa 21, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;29;124;139;41;100
13;"Świetlica Wiejska, Gruszewnia ul. Kłobucka 59, 42-125 Kamyk";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;13;91;84;13;35
14;"Ochotnicza Straż Pożarna w Nowej Wsi, Nowa Wieś ul. Lipowa 75, 42-125 Kamyk";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;7;78;87;18;12
15;"Szpital Rejonowy w Kłobucku, ul. 11 Listopada 5E, 42-100 Kłobuck";240601;"gm. Kłobuck";"kłobucki";"śląskie";1;1;1;6;12;1;4
1;"Dom Kultury w Krzepicach, ul. Częstochowska 26, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;38;198;268;88;152
2;"Zespół Szkół Liceum Ogólnokształcące w Krzepicach, ul. Ryły 26, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;45;274;365;98;163
3;"Remiza OSP w Krzepicach, ul. Kuków 79, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;7;37;99;33;40
4;"Szkoła Podstawowa Nr 2 w Krzepicach, ul. Skłodowskiej 21, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;36;181;260;67;119
5;"Budynek b. Szkoły Podstawowej w Dankowicach Drugich, Dankowice Drugie 30, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;21;119;140;34;41
6;"Szkoła Podstawowa w Starokrzepicach, ul. Oleska 250, 42-161 Starokrzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;39;302;319;70;122
7;"Szkoła Podstawowa w Zajączkach Pierwszych, Zajączki Pierwsze 50, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;25;96;215;32;77
8;"Remiza OSP w Zajączkach Drugich, Zajączki Drugie ul. Główna 140, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;46;180;313;62;96
9;"Szpital Rejonowy im. dr. Anki w Krzepicach, ul. Szkolna 1, 42-160 Krzepice";240602;"gm. Krzepice";"kłobucki";"śląskie";1;1;0;2;1;1;3
1;"Gminny Ośrodek Kultury w Lipiu, ul. Częstochowska 95, 42-165 Lipie";240603;"gm. Lipie";"kłobucki";"śląskie";1;1;56;315;502;123;208
2;"Zespół Szkolno-Przedszkolny w Parzymiechach, ul. Parkowa 2, 42-164 Parzymiechy";240603;"gm. Lipie";"kłobucki";"śląskie";1;1;41;256;504;95;155
3;"Zespół Szkolno-Przedszkolny w Lindowie, Lindów 42, 42-165 Lipie";240603;"gm. Lipie";"kłobucki";"śląskie";1;1;25;113;285;73;63
4;"Remiza Ochotniczej Straży Pożarnej w Rębielicach Szlacheckich, Rębielice Szlacheckie 87, 42-165 Lipie";240603;"gm. Lipie";"kłobucki";"śląskie";1;1;7;67;200;31;48
5;"Świetlica Wiejska w Natolinie, Natolin 35, 42-165 Lipie";240603;"gm. Lipie";"kłobucki";"śląskie";1;1;16;84;112;24;40
1;"Zespół Szkolno-Przedszkolny w Miedźnie (stołówka), ul. Szkolna 1, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;36;214;298;57;123
2;"Zespół Szkolno-Przedszkolny w Miedźnie (sala gimnastyczna), ul. Szkolna 1, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;43;206;297;84;124
3;"Zespół Szkolno-Przedszkolny w Miedźnie (sala gimnastyczna w Szkole Podstawowej), ul. Szkolna 1, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;35;126;302;59;84
4;"Zespół Szkolno-Przedszkolny w Ostrowach nad Okszą (hala sportowa), Ostrowy nad Okszą ul. Szkolna 6, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;33;160;318;58;73
5;"Zespół Szkolno-Przedszkolny w Ostrowach nad Okszą (sala nr 7-mała sala gimnastyczna), Ostrowy nad Okszą ul. Szkolna 6, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;32;151;379;70;120
6;"Zespół Szkolno-Przedszkolny w Mokrej, Mokra 194, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;24;98;169;57;60
7;"Świetlica (sala 2), Władysławów ul. Turystyczna 122, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;15;53;124;26;41
8;"Świetlica, Władysławów ul. Turystyczna 122, 42-120 Miedźno";240604;"gm. Miedźno";"kłobucki";"śląskie";1;1;10;51;87;21;24
1;"Szkoła Podstawowa w Opatowie, ul. Szkolna 5, 42-152 Opatów";240605;"gm. Opatów";"kłobucki";"śląskie";1;1;43;193;251;85;99
2;"Szkoła Podstawowa w Opatowie, ul. Szkolna 5, 42-152 Opatów";240605;"gm. Opatów";"kłobucki";"śląskie";1;1;11;65;106;29;53
3;"Szkoła Podstawowa w Iwanowicach Dużych, Iwanowice Duże ul. Częstochowska 63, 42-152 Opatów";240605;"gm. Opatów";"kłobucki";"śląskie";1;1;19;111;227;64;76
4;"Szkoła Podstawowa w Waleńczowie, ul. Szkolna 19, 42-151 Waleńczów";240605;"gm. Opatów";"kłobucki";"śląskie";1;1;36;227;216;81;122
5;"Szkoła Podstawowa w Wilkowiecku, Wilkowiecko ul. Szkolna 1, 42-152 Opatów";240605;"gm. Opatów";"kłobucki";"śląskie";1;1;29;162;193;74;133
6;"Szkoła Podstawowa w Złochowicach, Złochowice ul. Wesoła 3, 42-151 Waleńczów";240605;"gm. Opatów";"kłobucki";"śląskie";1;1;36;228;206;79;86
7;"Remiza OSP w Zwierzyńcu Pierwszym, Zwierzyniec Pierwszy ul. Jasna 5, 42-152 Opatów";240605;"gm. Opatów";"kłobucki";"śląskie";1;1;15;89;144;49;32
1;"Hala Sportowa, ul. Ogrodowa 11, 42-140 Panki";240606;"gm. Panki";"kłobucki";"śląskie";1;1;41;245;218;62;145
2;"Szkoła Podstawowa, ul. Tysiąclecia 17, 42-140 Panki";240606;"gm. Panki";"kłobucki";"śląskie";1;1;53;245;296;106;172
3;"Szkoła Podstawowa, Aleksandrów 31, 42-140 Panki";240606;"gm. Panki";"kłobucki";"śląskie";1;1;19;149;192;71;94
4;"Szkoła Podstawowa, Konieczki 64, 42-140 Panki";240606;"gm. Panki";"kłobucki";"śląskie";1;1;38;202;287;110;73
1;"Gminny Zespół Szkolno-Przedszkolny Nr 1, ul. Jana Długosza 7, 42-110 Popów";240607;"gm. Popów";"kłobucki";"śląskie";1;1;56;274;307;86;146
2;"Gminny Zespół Szkolno-Przedszkolny Nr 3, Rębielice Królewskie ul. Szkolna 1, 42-110 Popów";240607;"gm. Popów";"kłobucki";"śląskie";1;1;25;97;180;43;67
3;"Gminny Zespół Szkolno-Przedszkolny Nr 2, Wąsosz Górny ul. Witosa 11, 42-110 Popów";240607;"gm. Popów";"kłobucki";"śląskie";1;1;29;109;217;58;79
4;"Gminny Zespół Szkolno-Przedszkolny Nr 4, Więcki ul. Szkolna 1, 42-110 Popów";240607;"gm. Popów";"kłobucki";"śląskie";1;1;27;87;223;43;58
5;"Gminny Zespół Szkolno-Przedszkolny Nr 5, Zawady ul. Szkolna 8, 42-110 Popów";240607;"gm. Popów";"kłobucki";"śląskie";1;1;30;145;61;251;254
6;"Świetlica Wiejska w Nowej Wsi, Nowa Wieś 41, 42-110 Popów";240607;"gm. Popów";"kłobucki";"śląskie";1;1;15;59;122;32;43
7;"Oddział Zewnętrzny w Wąsoszu Górnym Aresztu Śledczego w Częstochowie, Wąsosz Górny ul. Powstańców 150, 42-110 Popów";240607;"gm. Popów";"kłobucki";"śląskie";1;1;3;29;13;14;21
1;"Szkoła Podstawowa w Przystajni, ul. Szkolna 9, 42-141 Przystajń";240608;"gm. Przystajń";"kłobucki";"śląskie";1;1;90;413;452;133;259
2;"Gminny Ośrodek Kultury, Sportu i Rekreacji w Przystajni, ul. Targowa 5, 42-141 Przystajń";240608;"gm. Przystajń";"kłobucki";"śląskie";1;1;29;154;209;62;74
3;"Szkoła Podstawowa w Borze Zajacińskim, Bór Zajaciński 78, 42-142 Bór Zajaciński";240608;"gm. Przystajń";"kłobucki";"śląskie";1;1;22;115;220;44;75
4;"Strażnica OSP w Ługach-Radłach, ul. Leśna 1A, 42-142 Ługi-Radły";240608;"gm. Przystajń";"kłobucki";"śląskie";1;1;13;112;202;26;68
5;"OSP w Kuźnicy Starej, Kuźnica Stara 45b, 42-141 Przystajń";240608;"gm. Przystajń";"kłobucki";"śląskie";1;1;9;45;92;35;42
6;"OSP w Podłężu Szlacheckim, Podłęże Szlacheckie 26a, 42-141 Przystajń";240608;"gm. Przystajń";"kłobucki";"śląskie";1;1;13;50;91;19;31
1;"Szkoła Podstawowa we Wręczycy Wielkiej, ul. Szkolna 11, 42-130 Wręczyca Wielka";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;88;686;489;152;347
2;"Szkoła Podstawowa w Grodzisku, Grodzisko ul. Kłobucka 1, 42-130 Wręczyca Wielka";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;34;232;239;99;130
3;"Szkoła Podstawowa w Borowem, Borowe ul. Długa 75, 42-133 Węglowice";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;59;210;291;113;139
4;"Zespół Szkolno-Przedszkolny w Kalei, Kalej ul. Szkolna 1, 42-130 Wręczyca Wielka";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;60;354;391;159;207
5;"Szkoła Podstawowa w Węglowicach, Węglowice 3, 42-133 Węglowice";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;70;386;487;166;208
6;"Szkoła Podstawowa w Kulejach, Kuleje ul. Szkolna 1, 42-134 Truskolasy";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;55;237;232;95;129
7;"Remiza OSP w Hutce, Hutka ul. Dolna 2, 42-134 Truskolasy";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;18;83;118;48;50
8;"Szkoła Podstawowa w Truskolasach, ul. Szkolna 3, 42-134 Truskolasy";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;89;509;688;238;230
9;"Świetlica wiejska we Wręczycy Małej, Wręczyca Mała ul. Długa 31, 42-130 Wręczyca Wielka";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;17;103;129;43;56
10;"Publiczna szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich im. św. Jana Pawła II w Bieżeniu, Bieżeń ul. Szkolna 2, 42-133 Węglowice";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;34;99;156;61;56
11;"Remiza OSP w Szarlejce, Szarlejka ul. Łukaszewicza 180, 42-130 Wręczyca Wielka";240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";1;1;40;175;179;70;70
1;"OSP, ul. Sokoła 13, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;67;290;357;117;301
2;"Siedziba Zespołu Pieśni i Tańca ""HALKA"", ul. Stalmacha 12, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;30;177;235;81;186
3;"Oblackie Centrum Młodzieży NINIWA-sala gimnastyczna, ul. Posmyk 5, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;11;56;95;29;39
4;"Basen Kryty, ul. Powstańców Śląskich 42, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;68;244;412;101;292
5;"Państwowa Szkoła Muzyczna I stopnia im. J. Garści, pl. Plac Konrada Mańki 9, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;38;156;112;64;176
6;"Miejski Dom Kultury, ul. Plebiscytowa 9, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;38;112;146;58;150
7;"Szkoła Podstawowa Nr 4, ul. płk. Stanisława Wilimowskiego 8, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;70;220;309;90;277
8;"Przedszkole Miejskie Nr 1, ul. Słoneczna 13, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;57;255;265;82;356
9;"Miejsko-Powiatowa Biblioteka Publiczna im. J. Lompy, ul. Sportowa 3, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;123;508;571;195;567
10;"Przedszkole Miejskie Nr 8, ul. Uchodźców 34, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;74;356;423;143;398
11;"Przedszkole Miejskie Nr 4, ul. Wawrzyńca Hajdy 20, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;64;255;242;120;248
12;"Szkoła Podstawowa Nr 3, ul. Zwycięstwa 32, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;40;153;170;60;141
13;"Szkoła Podstawowa Nr 2, ul. Droniowicka 45, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;73;341;435;152;340
14;"Dom Pomocy Społecznej „Dom Kombatanta"", ul. Dr E. Cyrana 10, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;2;5;23;9;2
15;"Zakład Karny w Herbach Oddział Zewnętrzny w Lublińcu, ul. Sobieskiego 6, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;16;46;26;31;30
16;"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Grunwaldzka 9, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;1;6;8;2;4
17;"Wojewódzki Szpital Neuropsychiatryczny im. dr Emila Cyrana, ul. Grunwaldzka 48, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;12;18;63;30;17
18;"Dom Pomocy Społecznej, ul. Kochcicka 14, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;1;6;38;5;4
19;"Dom Pomocy Społecznej „ZAMECZEK"", ul. 74-go Górnośląskiego Pułku Piechoty 2, 42-700 Lubliniec";240701;"m. Lubliniec";"lubliniecki";"śląskie";1;1;1;4;3;9;0
1;"Zespół Placówek Oświatowych-świetlica szkolna, ul. Poznańska 2, 42-283 Boronów";240702;"gm. Boronów";"lubliniecki";"śląskie";1;1;50;247;348;100;159
2;"Zespół Placówek Oświatowych-mała sala gimnastyczna, ul. Poznańska 2, 42-283 Boronów";240702;"gm. Boronów";"lubliniecki";"śląskie";1;1;77;210;423;86;128
1;"Urząd Gminy, ul. Nowa 1a, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;63;147;206;80;208
2;"Szkoła Podstawowa, Glinica ul. Asfaltowa 6, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;30;114;175;45;110
3;"Hala Sportowa, Sieraków Śląski ul. Aleja Parkowa 2, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;35;187;231;93;128
4;"Szkoła Podstawowa, Wędzina ul. Szkolna 23, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;10;52;95;26;22
5;"Szkoła Podstawowa, Zborowskie ul. Główna 33, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;25;80;143;60;115
6;"Budynek Wielofunkcyjny, Dzielna ul. Szkolna 3, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;8;20;34;22;37
7;"Przedszkole, Jeżowa ul. Asfaltowa 29, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;24;38;80;14;42
8;"Szkoła Podstawowa, Molna ul. Tylna 1, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;9;45;34;16;46
9;"Dzienny Dom Seniora+, Panoszów ul. Tysiąclecia 2, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;20;43;96;22;44
10;"Zakład Karny w Kluczborku Oddział Zewnętrzny w Sierakowie Śląskim, Sieraków Śląski ul. Cegielniana 13, 42-793 Ciasna";240703;"gm. Ciasna";"lubliniecki";"śląskie";1;1;24;91;60;93;91
1;"Gminny Ośrodek Kultury, ul. Lubliniecka 31, 42-284 Herby";240704;"gm. Herby";"lubliniecki";"śląskie";1;1;73;414;369;142;281
2;"Szkoła Podstawowa, Olszyna ul. Szkolna 4, 42-284 Herby";240704;"gm. Herby";"lubliniecki";"śląskie";1;1;23;63;184;62;75
3;"Szkoła Podstawowa, ul. Szkolna 2, 42-714 Lisów";240704;"gm. Herby";"lubliniecki";"śląskie";1;1;64;288;456;141;274
4;"Szkoła Podstawowa, Hadra ul. Szkolna 29, 42-714 Lisów";240704;"gm. Herby";"lubliniecki";"śląskie";1;1;14;89;111;40;74
5;"OSP, Kalina ul. Józefa Lompy 6A, 42-284 Herby";240704;"gm. Herby";"lubliniecki";"śląskie";1;1;17;65;80;34;54
6;"Zakład Karny w Herbach, ul. Krótka 28, 42-284 Herby";240704;"gm. Herby";"lubliniecki";"śląskie";1;1;14;106;49;59;71
1;"Wiejski Dom Spotkań w Droniowicach, Droniowice ul. Ogrodowa 7, 42-700 Lubliniec";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;12;45;71;23;50
2;"budynek byłej szkoły, Jawornica ul. Szkolna 3, 42-700 Lubliniec";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;13;76;126;30;45
3;"Gminne Centrum Kultury i Informacji w Kochanowicach, ul. Lubliniecka 5, 42-713 Kochanowice";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;46;221;419;154;224
4;"Zespół Szkolno-Przedszkolny w Kochcicach, Kochcice ul. Parkowa 45, 42-713 Kochanowice";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;65;174;363;121;171
5;"Publiczna Szkoła Podstawowa w Lubecku, Lubecko ul. Lipska 21, 42-700 Lubliniec";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;17;95;129;58;98
6;"Dom Spotkań, Lubockie ul. Szkolna 13, 42-713 Kochanowice";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;20;50;121;33;52
7;"Dom Spotkań, Harbułtowice 21, 42-700 Lubliniec";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;9;41;47;17;22
8;"Szkolne Schronisko Młodzieżowe, Pawełki ul. Główna 14, 42-713 Kochanowice";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;5;36;55;12;21
9;"Samodzielny Publiczny Wojewódzki Szpital Chirurgii Urazowej im. dr. Janusza Daaba w Pikarach Śląskich Oddział Rehabilitacyjny, Kochcice ul. Zamkowa 1, 42-713 Kochanowice";240705;"gm. Kochanowice";"lubliniecki";"śląskie";1;1;3;25;37;4;11
1;"Urząd Gminy w Koszęcinie, ul. Powstańców Śląskich 10, 42-286 Koszęcin";240706;"gm. Koszęcin";"lubliniecki";"śląskie";1;1;83;236;514;120;275
2;"Szkoła Podstawowa w Koszęcinie, ul. Sobieskiego 7, 42-286 Koszęcin";240706;"gm. Koszęcin";"lubliniecki";"śląskie";1;1;113;359;492;145;370
3;"Szkoła Podstawowa w Strzebiniu, Strzebiń ul. Lompy 9, 42-288 Koszęcin";240706;"gm. Koszęcin";"lubliniecki";"śląskie";1;1;69;244;437;114;191
4;"Dom Strażaka w Strzebiniu, Strzebiń ul. 1 Maja 29a, 42-288 Koszęcin";240706;"gm. Koszęcin";"lubliniecki";"śląskie";1;1;53;134;299;81;127
5;"Szkoła Podstawowa, Sadów ul. Powstańców Śląskich 72, 42-700 Lubliniec";240706;"gm. Koszęcin";"lubliniecki";"śląskie";1;1;43;182;385;126;212
6;"Szkoła Podstawowa, Rusinowice ul. Lompy 18, 42-700 Lubliniec";240706;"gm. Koszęcin";"lubliniecki";"śląskie";1;1;64;178;444;110;139
1;"Gminna Biblioteka Publiczna w Pawonkowie, ul. Zawadzkiego 7, 42-772 Pawonków";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;42;138;255;108;149
2;"Świetlica, Łagiewniki Wielkie ul. Strażacka 2, 42-772 Pawonków";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;22;47;103;46;72
3;"Zespół Szkolno-Przedszkolny, Lisowice ul. Mickiewicza 22, 42-700 Lubliniec";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;61;142;312;99;138
4;"Szkoła Podstawowa, Kośmidry ul. Szkolna 3, 42-772 Pawonków";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;25;75;152;42;97
5;"Szkoła Filialna, Łagiewniki Małe ul. Lubliniecka 30, 42-772 Pawonków";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;25;83;94;56;49
6;"Szkoła Filialna, Gwoździany ul. Lubliniecka 5, 42-772 Pawonków";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;24;60;70;44;54
7;"Świetlica, Draliny ul. Wiejska 3a, 42-700 Lubliniec";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;7;13;56;11;18
8;"Świetlica, Koszwice ul. Strażacka 3a, 42-772 Pawonków";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;12;30;42;25;25
9;"Świetlica, Skrzydłowice ul. Wyzwolenia 7, 42-772 Pawonków";240707;"gm. Pawonków";"lubliniecki";"śląskie";1;1;18;39;55;24;25
1;"Miejsko-Gminny Ośrodek Kultury, ul. Górna 5, 42-289 Woźniki";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;48;173;328;76;169
2;"Miejsko-Gminny Ośrodek Kultury, ul. Górna 5, 42-289 Woźniki";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;53;159;293;100;195
3;"Szkoła Podstawowa, ul. Szkolna 5, 42-289 Woźniki";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;32;101;204;49;57
4;"Szkoła Podstawowa, Psary ul. Główna 89, 42-287 Lubsza";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;52;169;260;62;194
5;"Szkoła Podstawowa, Kamienica ul. Częstochowska 42, 42-287 Lubsza";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;26;101;230;34;63
6;"Szkoła Podstawowa, ul. Szkolna 1, 42-287 Lubsza";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;34;119;197;78;81
7;"OSP, Piasek ul. Strażacka 2, 42-287 Lubsza";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;11;27;77;20;42
8;"Budynek Szkoły Podstawowej prowadzonej przez Stowarzyszenie, Kamieńskie Młyny ul. Szkolna 10, 42-287 Lubsza";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;26;82;190;30;65
9;"Budynek, ul. Asfaltowa 103, 42-289 Woźniki";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;18;66;88;39;36
10;"OSP, Babienica ul. Główna 31, 42-287 Lubsza";240708;"gm. Woźniki";"lubliniecki";"śląskie";1;1;35;122;265;70;87
1;"Szkoła Podstawowa nr 7, ul. Pińczycka 2, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;32;162;239;69;171
2;"Przedszkole nr 2, ul. Pułaskiego 7A, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;51;249;334;88;211
3;"Szkoła Podstawowa nr 1, ul. Leśna 1, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;22;203;199;72;194
4;"Szkoła Podstawowa nr 1, ul. Leśna 1, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;50;189;211;57;206
5;"Przedszkole nr 2, ul. Pułaskiego 7A, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;19;110;156;52;160
6;"Szkoła Podstawowa nr 4, ul. Jedwabna 93, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;44;237;298;99;248
7;"Zespół Szkolno-Przedszkolny nr 4, ul. Traugutta 43, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;40;239;362;86;272
8;"Ochotnicza Straż Pożarna, ul. Pogodna 4, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;28;89;196;41;138
9;"Środowiskowy Dom Samopomocy, ul. Millenium 19C, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;45;279;298;104;219
10;"Szkoła Podstawowa nr 2, ul. Jaworznicka 34, 42-300 Myszków";240901;"m. Myszków";"myszkowski";"śląskie";1;1;39;241;216;46;207
