"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PRZYBYTNIAK Leszek Janusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KARCZEWSKI Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"LECHOWSKI Krzysztof Grzegorz - KWW KRZYSZTOFA LECHOWSKIEGO"
13;"Świetlica w Jakubowie, Jakubów ul. Stawowa 1, 26-400 Przysucha";142306;"gm. Przysucha";"przysuski";"mazowieckie";1;1;45;110;13
14;"Świetlica w Kozłowcu, Kozłowiec 24, 26-400 Przysucha";142306;"gm. Przysucha";"przysuski";"mazowieckie";1;1;48;150;24
1;"Świetlica Wiejska w Rusinowie, ul. Strażacka 7, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;103;320;82
2;"Niepubliczna Szkoła Podstawowa w Nieznamierowicach, Nieznamierowice 3, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;30;170;120
3;"Zespół Szkół Ogólnokształcących w Rusinowie, ul. Szkolna 47, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;25;96;24
4;"Świetlica Wiejska w Przystałowicach Małych, Przystałowice Małe 30, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;59;271;66
5;"Strażnica OSP w Zychorzynie, Zychorzyn 79, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;28;177;55
6;"Świetlica Wiejska w Grabowej, Grabowa 31A, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;23;173;34
7;"Świetlica Wiejska w Krzesławicach, Krzesławice 57, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;46;144;34
8;"Świetlica Wiejska w Brogowej, Brogowa 33A, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;26;118;35
9;"Świetlica Wiejska w Gałkach, Gałki 14B, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;9;105;68
10;"Świetlica Wiejska w Woli Gałeckiej, Wola Gałecka 2B, 26-411 Rusinów";142307;"gm. Rusinów";"przysuski";"mazowieckie";1;1;10;110;42
1;"Urząd Gminy w Wieniawie-sala konferencyjna, ul. Kochanowskiego 88, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;284;594;84
2;"Świetlica w Kochanowie Wieniawskim, Kochanów Wieniawski 64A, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;26;94;8
3;"Świetlica w Kłudnie, Kłudno 5, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;44;148;25
4;"Ośrodek Społeczno-Kulturalny w Skrzynnie, Skrzynno ul. Młynarska 26, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;121;429;49
5;"Świetlica w Żukowie, Żuków 48A, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;20;95;17
6;"Świetlica wiejska w Komorowie, Komorów 29A, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;39;105;9
7;"Świetlica w Sokolnikach Suchych, Sokolniki Suche 60, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;30;134;23
8;"Budynek po byłej Publicznej Szkole Podstawowej w Brudnowie, Brudnów 37, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;60;283;27
9;"Świetlica w Koryciskach, Koryciska 38, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;36;92;11
10;"Świetlica w Pogroszynie, Pogroszyn 15C, 26-432 Wieniawa";142308;"gm. Wieniawa";"przysuski";"mazowieckie";1;1;22;84;7
