"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GOGACZ Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIETRAS Artur Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RAJCHEL Jan Bogdan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Przedszkole Miejskie Nr 1, ul. 3 Maja 24b, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;569;189;648
2;"Zespół Szkół Nr 2, ul. Fryderyka Chopina 6, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;532;157;615
3;"Szkoła Podstawowa Nr 4, ul. Kosmonautów 11, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;528;184;441
4;"Przedsiębiorstwo Gospodarki Komunalnej w Lubartowie Sp. z o. o., ul. Parkowa 6, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;386;123;497
5;"Lubartowski Ośrodek Kultury w Lubartowie, ul. Rynek II 1, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;308;121;322
6;"Szkoła Podstawowa Nr 1, ul. Legionów 3, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;310;137;399
7;"Miejska Biblioteka Publiczna, ul. Lubelska 36, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;339;115;350
8;"II Liceum Ogólnokształcące, ul. Lubelska 68, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;441;159;400
9;"Regionalne Centrum Edukacji Zawodowej, ul. 1 Maja 82, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;507;129;453
10;"Szkoła Podstawowa Nr 3 w Lubartowie, ul. 1 Maja 66 - 74, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;441;175;502
11;"Szkoła Podstawowa Nr 3, ul. 1 Maja 66 - 74, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;492;219;560
12;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Lubartowie, ul. Cicha 14, 21-100 Lubartów";60801;"m. Lubartów";"lubartowski";"lubelskie";1;1;50;6;15
1;"Zespół Szkolno-Przedszkolny, ul. Szkolna 31, 21-143 Abramów";60802;"gm. Abramów";"lubartowski";"lubelskie";1;1;512;133;119
2;"Świetlica wiejska, Ciotcza 29A, 21-143 Abramów";60802;"gm. Abramów";"lubartowski";"lubelskie";1;1;134;37;22
3;"Świetlica wiejska, Dębiny 114, 21-143 Abramów";60802;"gm. Abramów";"lubartowski";"lubelskie";1;1;98;33;21
4;"Świetlica wiejska, Glinnik 73, 21-143 Abramów";60802;"gm. Abramów";"lubartowski";"lubelskie";1;1;128;53;31
5;"Szkoła Podstawowa, Wielkie 66, 21-143 Abramów";60802;"gm. Abramów";"lubartowski";"lubelskie";1;1;204;56;52
6;"Szkoła Podstawowa, Wielkolas 27C, 21-143 Abramów";60802;"gm. Abramów";"lubartowski";"lubelskie";1;1;158;48;45
7;"Świetlica wiejska, Wolica 66, 21-143 Abramów";60802;"gm. Abramów";"lubartowski";"lubelskie";1;1;184;55;32
1;"Świetlica wiejska, Wola Skromowska 56, 21-150 Kock";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;246;74;73
2;"Lokal byłej Szkoły Podstawowej, Sułoszyn 49, 21-150 Kock";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;143;46;44
3;"Gminna Biblioteka Publiczna, ul. Kościelna 4, 21-136 Firlej";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;502;197;373
4;"Remiza OSP, Serock 89, 21-136 Firlej";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;142;49;73
5;"Szkoła Podstawowa, Przypisówka 18, 21-136 Firlej";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;114;29;61
6;"Remiza OSP, Łukówiec 50, 21-136 Firlej";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;169;50;83
7;"Filia Biblioteki Publicznej, Sobolew Kolonia 18A, 21-136 Firlej";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;140;45;39
8;"Szkoła Podstawowa, Nowy Antonin 72, 21-136 Firlej";60803;"gm. Firlej";"lubartowski";"lubelskie";1;1;166;39;50
1;"Budynek, ul. Kościelna 1, 21-146 Jeziorzany";60804;"gm. Jeziorzany";"lubartowski";"lubelskie";1;1;270;57;87
2;"Szkoła Podstawowa, Przytoczno 25, 21-146 Jeziorzany";60804;"gm. Jeziorzany";"lubartowski";"lubelskie";1;1;348;115;131
3;"Strażnica OSP, Krępa 89, 21-146 Jeziorzany";60804;"gm. Jeziorzany";"lubartowski";"lubelskie";1;1;225;44;48
1;"Lokal Szkoły Podstawowej, Samoklęski 6A, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;218;96;114
2;"Lokal remizo-świetlicy, Syry 53, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;137;45;35
3;"Lokal remizo-świetlicy, Starościn 4, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;205;56;103
4;"Lokal remizo-świetlicy, Wólka Krasienińska 21A, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;87;25;89
5;"Lokal byłej szkoły Podstawowej, ul. Grobelna 1, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;233;90;192
6;"Lokal Biblioteki Gminnej, ul. Grobelna 1, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;228;91;153
7;"Lokal świetlicy wiejskiej, Kierzkówka 12B, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;123;56;78
8;"Lokal świetlicy wiejskiej, Kozłówka 46, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;196;123;174
9;"Lokal świetlicy wiejskiej, Siedliska 123, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;173;60;110
10;"Świetlica Wiejska w Ciemnie, Ciemno 62 B, 21-132 Kamionka";60805;"gm. Kamionka";"lubartowski";"lubelskie";1;1;76;25;22
1;"Dom Pomocy Społecznej im. M. Rataja, ul. Tadeusza Kościuszki 1A, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;419;116;175
2;"Szkoła Podstawowa, ul. Przechodnia 11, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;488;143;290
3;"Remiza strażacka, Górka 131, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;230;44;42
4;"Strażnica OSP, Talczyn 53A, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;184;26;40
5;"Świetlica Wiejska, Annopol 16A, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;122;13;20
6;"Strażnica OSP, Białobrzegi 26, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;303;41;68
7;"Zespół Szkół im. Jana Pawła II, Poizdów 1, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;240;37;43
8;"Dom Pomocy Społecznej w Kocku, ul. Tadeusza Kościuszki 1D, 21-150 Kock";60806;"gm. Kock";"lubartowski";"lubelskie";1;1;24;1;4
1;"Szkoła Podstawowa w Łucce-Kolonii, Łucka-Kolonia 125, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;75;19;73
2;"Szkoła Podstawowa, Łucka-Kolonia 125, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;320;129;302
3;"Szkoła Podstawowa, Łucka-Kolonia 125, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;143;63;77
4;"Gminna Biblioteka Publiczna, Skrobów-Kolonia 104, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;207;87;138
5;"Szkoła Podstawowa, Wólka Rokicka 90, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;173;77;56
6;"Szkoła Podstawowa, Nowodwór 60A, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;289;131;217
7;"Gminna Biblioteka Publiczna, Lisów 32B, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;242;120;246
8;"Świetlica Wiejska w Woli Lisowskiej, Wola Lisowska 14A, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;188;88;132
9;"Szkoła Podstawowa, Szczekarków 124, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;235;75;127
10;"Szkoła Podstawowa, Annobór 69, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;198;58;82
11;"Szkoła Podstawowa, Brzeziny 168, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;214;66;91
12;"Świetlica wiejska, Chlewiska 24A, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;126;22;34
13;"Świetlica Wiejska w Baranówce, Baranówka 22, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;103;52;59
14;"Gminna Biblioteka Publiczna w Rokitnie, Rokitno 144, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;153;60;132
15;"Świetlica Wiejska w Skrobowie-Kolonii, Skrobów-Kolonia 104I, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;242;143;181
16;"Szkoła Podstawowa w Wandzinie, Wandzin 13, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;168;60;103
17;"Dom Pomocy Społecznej, Łucka 71, 21-100 Lubartów";60807;"gm. Lubartów";"lubartowski";"lubelskie";1;1;45;1;2
1;"Zespół Szkół Ogólnokształcących w Michowie, ul. Szkolna II 2B, 21-140 Michów";60808;"gm. Michów";"lubartowski";"lubelskie";1;1;447;150;280
2;"Zespół Szkół Ogólnokształcących w Michowie, ul. Szkolna II 2 B, 21-140 Michów";60808;"gm. Michów";"lubartowski";"lubelskie";1;1;404;98;122
3;"Szkoła Podstawowa w Katarzynie, Katarzyn 114, 21-140 Michów";60808;"gm. Michów";"lubartowski";"lubelskie";1;1;297;68;58
