"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KURZAWA Agnieszka - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRODZKI Tomasz Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Klub w Dobrej, ul. Graniczna 31, 72-003 Dobra";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;632;2133
2;"Publiczna Szkoła Podstawowa w Dołujach, ul. Daniela 18, 72-002 Dołuje";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;414;1373
3;"Publiczna Szkoła Podstawowa, ul. Kolorowa 27, 72-006 Mierzyn";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;401;2087
4;"Klub w Wołczkowie, Wołczkowo ul. Lipowa 11A, 72-003 Dobra";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;358;1143
5;"Publiczna Szkoła Podstawowa, ul. Kolorowa 27, 72-006 Mierzyn";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;411;1440
6;"Publiczna Szkoła Podstawowa, ul. Górna 3, 71-218 Bezrzecze";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;407;1520
7;"Świetlica w Buku, Buk 42, 72-003 Dobra";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;60;127
8;"Publiczna Szkoła Podstawowa, ul. Górna 3, 71-218 Bezrzecze";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;245;1261
9;"Publiczna Szkoła Podstawowa, ul. Kolorowa 27, 72-006 Mierzyn";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;370;1016
10;"Klub w Wąwelnicy, Wąwelnica 5a, 72-002 Dołuje";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;48;150
11;"Klub w Stolcu, Stolec 9, 72-003 Dobra";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;40;62
12;"Publiczna Szkoła Podstawowa w Rzędzinach, Rzędziny 6, 72-003 Dobra";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;53;55
13;"Świetlica w Łęgach, Łęgi ul. Na Świdwie 5b, 72-003 Dobra";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;57;140
14;"Świetlica w Grzepnicy, Grzepnica 8c, 72-003 Dobra";321101;"gm. Dobra (Szczecińska)";"policki";"zachodniopomorskie";1;1;87;340
1;"Zespół Placówek Oświatowych, Kołbaskowo 57, 72-001 Kołbaskowo";321102;"gm. Kołbaskowo";"policki";"zachodniopomorskie";1;1;413;926
2;"Szkoła Podstawowa, Będargowo 1, 72-005 Przecław";321102;"gm. Kołbaskowo";"policki";"zachodniopomorskie";1;1;458;1044
3;"Szkoła Podstawowa, Przecław 27A, 72-005 Przecław";321102;"gm. Kołbaskowo";"policki";"zachodniopomorskie";1;1;248;469
4;"Szkoła Podstawowa, Przecław 27A, 72-005 Przecław";321102;"gm. Kołbaskowo";"policki";"zachodniopomorskie";1;1;260;1212
5;"Szkoła Podstawowa, Przecław 27C, 72-005 Przecław";321102;"gm. Kołbaskowo";"policki";"zachodniopomorskie";1;1;246;1114
