"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRAWCZYK Krystian Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"MAJDA Anna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GALEMBA Leszek Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"BILSKA Barbara - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa Nr 2, ul. Józefa Poniatowskiego 22, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;71;424;300;105
2;"Środowiskowy Dom Samopomocy w Kole, ul. Stary Rynek 15, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;50;229;263;54
3;"Szkoła Podstawowa Nr 3, ul. Toruńska 68, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;34;277;203;55
4;"Szkoła Podstawowa Nr 3, ul. Toruńska 68, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;57;362;300;68
5;"Szkoła Podstawowa Nr 3, ul. Toruńska 68, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;78;477;422;80
6;"Szkoła Podstawowa Nr 5, ul. Kolejowa 5, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;79;614;497;127
7;"Szkoła Podstawowa Nr 5, ul. Kolejowa 5, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;54;522;463;104
8;"Państwowa Szkoła Muzyczna, ul. Henryka Sienkiewicza 11, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;43;423;322;65
9;"Miejski Dom Kultury, ul. Juliusza Słowackiego 5, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;65;495;325;105
10;"Miejski Ośrodek Sportu i Rekreacji, ul. Szkolna 2B, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;48;433;273;72
11;"Szkoła Podstawowa Nr 1, ul. Szkolna 2A, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;64;527;296;96
12;"Szkoła Podstawowa Nr 1, ul. Szkolna 2A, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;47;455;308;83
13;"Dom Pomocy Społecznej w Kole, ul. Józefa Poniatowskiego 21, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;2;15;23;5
14;"Dom Pomocy Społecznej dla Dorosłych, ul. Blizna 55, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;0;1;18;0
15;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Kole, ul. Józefa Poniatowskiego 25, 62-600 Koło";300901;"m. Koło";"kolski";"wielkopolskie";1;1;4;17;17;1
1;"Gminny Ośrodek Kultury i Biblioteka Publiczna w Babiaku, ul. Poznańska 2, 62-620 Babiak";300902;"gm. Babiak";"kolski";"wielkopolskie";1;1;74;366;599;145
2;"Szkoła Podstawowa w Babiaku, ul. Poznańska 5, 62-620 Babiak";300902;"gm. Babiak";"kolski";"wielkopolskie";1;1;25;133;269;60
3;"Zespół Szkół w Bogusławicach, Bogusławice 1A, 62-620 Babiak";300902;"gm. Babiak";"kolski";"wielkopolskie";1;1;32;178;480;63
4;"Zespół Szkół w Brdowie, Brdów ul. Adama Mickiewicza 8, 62-620 Babiak";300902;"gm. Babiak";"kolski";"wielkopolskie";1;1;53;252;548;110
5;"Środowiskowy Dom Samopomocy w Dębnie Królewskim, Dębno Królewskie 53, 62-620 Babiak";300902;"gm. Babiak";"kolski";"wielkopolskie";1;1;40;126;236;58
1;"Świetlica wiejska w Rdutowie, Rdutów 44, 62-652 Chodów";300903;"gm. Chodów";"kolski";"wielkopolskie";1;1;14;77;137;17
2;"Świetlica wiejska w Kaleni-Parcel, Kaleń-Parcel 27, 62-652 Chodów";300903;"gm. Chodów";"kolski";"wielkopolskie";1;1;33;101;285;69
3;"Świetlica wiejska w Czerwonce, Czerwonka 2a, 62-652 Chodów";300903;"gm. Chodów";"kolski";"wielkopolskie";1;1;27;76;239;40
4;"Sala Narad Urzędu Gminy Chodów, Chodów 18, 62-652 Chodów";300903;"gm. Chodów";"kolski";"wielkopolskie";1;1;19;102;199;40
1;"Miejsko-Gminny Ośrodek Kultury i Biblioteka Publiczna, ul. 3 Maja 4, 62-660 Dąbie";300904;"gm. Dąbie";"kolski";"wielkopolskie";1;1;45;357;536;83
2;"Szkoła Podstawowa w Karszewie, Kupinin 1, 62-660 Dąbie";300904;"gm. Dąbie";"kolski";"wielkopolskie";1;1;29;137;371;52
3;"Strażnica OSP w Tarnówce Wiesiołowskiej, Tarnówka Wiesiołowska 14, 62-660 Dąbie";300904;"gm. Dąbie";"kolski";"wielkopolskie";1;1;13;66;147;23
