"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWAK Jacek Marian - KW BEZPARTYJNI SAMORZĄDOWCY";"BRYMORA Cezary Edward - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SKURKIEWICZ Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"DĄBROWSKI Jarosław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MNICH Beata - KOMITET WYBORCZY WYBORCÓW BEATA MNICH"
1;"Remiza OSP w Białobrzegach, Białobrzegi 18 a, 27-312 Chotcza";140901;"gm. Chotcza";"lipski";"mazowieckie";1;1;19;60;149;18;13
2;"Remiza OSP w Chotczy, Chotcza-Józefów 55B, 27-312 Chotcza";140901;"gm. Chotcza";"lipski";"mazowieckie";1;1;23;128;300;38;10
3;"Publiczna Szkoła Podstawowa w Chotczy Szkoła Filialna w Tymienicy, Tymienica Stara 1, 27-312 Chotcza";140901;"gm. Chotcza";"lipski";"mazowieckie";1;1;25;81;241;35;22
1;"Remiza Strażacka w Antoniowie, Antoniów 36, 27-310 Ciepielów";140902;"gm. Ciepielów";"lipski";"mazowieckie";1;1;5;38;162;30;9
2;"Publiczna Szkoła Podstawowa w Bąkowej, Bąkowa 107, 27-310 Ciepielów";140902;"gm. Ciepielów";"lipski";"mazowieckie";1;1;12;39;129;41;6
3;"Publiczna Szkoła Podstawowa w Ciepielowie, ul. Lekarska 1, 27-310 Ciepielów";140902;"gm. Ciepielów";"lipski";"mazowieckie";1;1;23;155;181;34;1
4;"Publiczna Szkoła Podstawowa w Ciepielowie, pl. Zwycięstwa 37, 27-310 Ciepielów";140902;"gm. Ciepielów";"lipski";"mazowieckie";1;1;45;262;614;111;22
5;"Dom Ludowy w Wielgiem, Wielgie 213, 27-310 Ciepielów";140902;"gm. Ciepielów";"lipski";"mazowieckie";1;1;24;115;260;43;9
6;"Dzienny Ośrodek Fizjoterapii w Pcinie, Pcin 39, 27-310 Ciepielów";140902;"gm. Ciepielów";"lipski";"mazowieckie";1;1;13;55;156;27;5
7;"Remiza Strażacka w Łaziskach, Łaziska 99, 27-310 Ciepielów";140902;"gm. Ciepielów";"lipski";"mazowieckie";1;1;10;21;138;22;4
1;"Publiczna Szkoła Podstawowa w Lipsku, ul. Zwoleńska 16, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;52;457;411;60;20
2;"Zespół Szkół Ogólnokształcących i Technicznych im. Jana Pawła II w Lipsku, ul. Zwoleńska 12, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;45;272;395;72;20
3;"Lipskie Centrum Kultury w Lipsku, ul. Rynek 2, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;57;389;425;96;19
4;"Budynek byłego Przedszkola w Śląsku, Śląsko 41, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;18;80;174;39;9
5;"Zespół Placówek Oświatowych w Długowoli, Walentynów 103, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;10;73;115;37;2
6;"Zespół Placówek Oświatowych w Krępie Kościelnej, Krępa Kościelna 48, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;27;114;281;52;8
7;"Specjalny Ośrodek Szkolno-Wychowawczy im. Kawalerów Orderu Uśmiechu w Hucie, Huta 3, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;1;19;75;6;2
8;"Budynek byłej Szkoły Podstawowej w Lipie-Miklas, Lipa-Miklas 109, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;27;133;237;48;10
9;"Młodzieżowy Ośrodek Socjoterapii w Solcu na Wisłą Filia w Szymanowie, Szymanów 3, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;12;92;172;49;7
10;"Publiczna Szkoła Podstawowa w Woli Soleckiej Pierwszej, Wola Solecka Pierwsza 173, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;18;116;202;37;7
11;"Dom Pomocy Społecznej w Lipsku, ul. 1 Maja 79, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;2;4;8;5;1
12;"Budynek Świetlicy Wiejskiej przy OSP Maruszów, Walentynów 94, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;18;122;176;34;4
13;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Lipsku, ul. Jędrzeja Śniadeckiego 2, 27-300 Lipsko";140903;"gm. Lipsko";"lipski";"mazowieckie";1;1;3;18;41;3;0
1;"Zespół Szkół w Rzeczniowie, Rzeczniów 1b, 27-353 Rzeczniów";140904;"gm. Rzeczniów";"lipski";"mazowieckie";1;1;48;219;482;76;21
2;"SPZPOZ Pracownia Fizjoterapii, Pawliczka 31, 27-353 Rzeczniów";140904;"gm. Rzeczniów";"lipski";"mazowieckie";1;1;15;41;145;25;6
3;"Szkoła Podstawowa w Grabowcu, Grabowiec ul. Wąchocka 20A, 27-353 Rzeczniów";140904;"gm. Rzeczniów";"lipski";"mazowieckie";1;1;29;142;389;55;16
4;"Filia Gminnej i Powiatowej Biblioteki Publicznej w Pasztowej Woli, Pasztowa Wola-Kolonia 27, 27-353 Rzeczniów";140904;"gm. Rzeczniów";"lipski";"mazowieckie";1;1;15;74;150;32;6
