"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZAK Rafał Zdzisław - KW BEZPARTYJNI SAMORZĄDOWCY";"RÓŻAŃSKI Mirosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAĆKOWIAK Grzegorz Przemysław - KW PRAWO I SPRAWIEDLIWOŚĆ"
52;"Lubuska Wojewódzka Komenda Ochotniczych Hufców Pracy, ul. Ludwika Zamenhofa 1, 65-186 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;167;506;208
53;"Uniwersytet Zielonogórski Budynek Dydaktyczny A - 2, ul. Profesora Zygmunta Szafrana 2, 65-516 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;135;593;181
54;"Zespół Edukacyjny Nr 3 Szkoła Podstawowa nr 21, ul. Osiedle Pomorskie 13, 65-547 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;166;599;286
55;"Zespół Edukacyjny Nr 3 Szkoła Podstawowa nr 21, ul. Osiedle Pomorskie 13, 65-547 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;181;758;300
56;"Dzienny Dom ""Senior-WIGOR"", ul. Osiedle Pomorskie 28, 65-548 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;251;994;267
57;"Społeczna Szkoła Podstawowa nr 1 STO, ul. Władysława IV 1, 65-229 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;97;463;190
58;"Publiczna Szkoła Podstawowa nr 7, ul. Zielonogórska 5, 65-256 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;149;677;229
59;"Szkoła Podstawowa nr 6, ul. św. Kingi 1, 65-215 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;98;487;165
60;"Szkoła Podstawowa nr 6, ul. św. Kingi 1, 65-215 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;96;430;153
61;"Miejskie Przedszkole nr 6, ul. Stanisława Wyspiańskiego 16, 65-036 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;170;595;265
62;"Miejskie Przedszkole nr 34, ul. Bohaterów Westerplatte 11a, 65-034 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;166;584;228
63;"Szkoła Podstawowa nr 15, ul. Lisia 37, 65-093 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;129;492;198
64;"Szkoła Podstawowa nr 15, ul. Lisia 37, 65-093 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;96;348;165
65;"Miejskie Przedszkole nr 17, ul. dr Pieniężnego 22, 65-054 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;124;425;162
66;"Uniwersytet Zielonogórski Rektorat, ul. Licealna 9, 65-417 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;93;427;165
67;"Centrum Kształcenia Zawodowego i Ustawicznego nr 3 „Ekonomik”, ul. Długa 5, 65-401 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;111;424;169
68;"Społeczne Liceum Ogólnokształcące ""Szkoła Myślenia Twórczego"", ul. Generała Józefa Sowińskiego 27, 65-419 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;176;430;181
69;"Zespół Edukacyjny Nr 2 Szkoła Podstawowa nr 17, ul. Leopolda Staffa 10, 65-436 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;186;642;214
70;"Zespół Edukacyjny Nr 2 Szkoła Podstawowa nr 17, ul. Leopolda Staffa 10, 65-436 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;138;614;241
71;"III Liceum Ogólnokształcące, ul. Strzelecka 9, 65-452 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;224;836;315
72;"Miejskie Przedszkole nr 13, ul. Jęczmienna 1, 65-012 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;232;935;307
73;"Niepubliczny Punkt Przedszkolny, ul. Łężyca-Budowlanych 5/18, 65-001 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;218;775;153
74;"Dom Pomocy Społecznej w Zielonej Górze, ul. Aleja Juliusza Słowackiego 29, 65-326 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;4;10;14
75;"Dom Pomocy Społecznej dla Kombatantów w Zielonej Górze, ul. Lubuska 11, 65-265 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;11;19;34
76;"Szpital Uniwersytecki w Zielonej Górze, ul. Zyty 26, 65-046 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;38;87;64
77;"Areszt Śledczy w Zielonej Górze, ul. Łużycka 2, 65-601 Zielona Góra";86201;"m. Zielona Góra";"Zielona Góra";"lubuskie";1;1;48;148;21
