"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZELIGA Sławomir Kazimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"BOGDANOWICZ Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LATAWIEC Jarosław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BREJZA Ryszard Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WEGNER Łukasz Mikołaj - KWW EUROPEJSKA LEWICA"
15;"Wiejski Ośrodek Kultury, Wałdowo 20, 89-405 Wałdowo";41302;"gm. Sępólno Krajeńskie";"sępoleński";"kujawsko-pomorskie";1;1;30;184;35;156;27
16;"Świetlica wiejska, Niechorz 20A, 89-400 Sępólno Krajeńskie";41302;"gm. Sępólno Krajeńskie";"sępoleński";"kujawsko-pomorskie";1;1;13;95;24;81;16
17;"Świetlica wiejska, Włościbórz 66, 89-400 Sępólno Krajeńskie";41302;"gm. Sępólno Krajeńskie";"sępoleński";"kujawsko-pomorskie";1;1;33;90;19;57;16
18;"Świetlica wiejska, Komierowo 21, 89-400 Sępólno Krajeńskie";41302;"gm. Sępólno Krajeńskie";"sępoleński";"kujawsko-pomorskie";1;1;15;44;10;43;9
1;"Szkoła Podstawowa w Przepałkowie, Przepałkowo 7, 89-412 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;20;121;28;100;20
2;"Sala wiejska w Wielowiczu, Wielowicz 26, 89-412 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;27;117;25;96;18
3;"Szkoła Podstawowa im. Janusza Korczaka w Sośnie, ul. Kamińskiego 1, 89-412 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;32;161;39;156;36
4;"Szkoła Podstawowa im. Mieczysława Droboszewskiego w Wąwelnie, Wąwelno ul. Szkolna 1, 89-413 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;28;237;37;103;47
5;"Sala Wiejska w Skoraczewie, Skoraczewo 36, 89-413 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;27;115;24;69;13
6;"Sala wiejska w Dziednie, Dziedno 11A, 89-412 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;14;64;12;27;6
7;"Sala wiejska w Rogalinie, Rogalin 40, 89-412 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;13;121;15;54;14
8;"Sala wiejska w Mierucinie, Mierucin 36, 89-413 Sośno";41303;"gm. Sośno";"sępoleński";"kujawsko-pomorskie";1;1;10;80;17;31;11
1;"Przedszkole Gminne Niezapominajka, ul. Gdańska 13, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;58;261;58;410;38
2;"Szkoła Podstawowa Nr 1 im. Polskich Noblistów, ul. Aleja 600-lecia 4, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;30;254;36;293;35
3;"Szkoła Podstawowa Nr 2 im. Kornela Makuszyńskiego, ul. Wyzwolenia 19, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;26;157;33;166;33
4;"Szkoła Podstawowa Nr 2 im. Kornela Makuszyńskiego, ul. Wyzwolenia 19, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;23;144;29;200;24
5;"Szkoła Podstawowa Nr 1 im. Polskich Noblistów, ul. Aleja 600-lecia 4, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;36;158;23;163;17
6;"Szkoła Podstawowa im. Marii Konopnickiej, Pęperzyn 33, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;16;215;34;120;8
7;"Szkoła Podstawowa z Oddziałami Integracyjnymi im. ks. J. Twardowskiego w Jastrzębcu, Jastrzębiec 17, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;18;77;21;78;18
8;"Szkoła Podstawowa im. E. J. Orzelskich, Runowo Krajeńskie 58, 89-421 Runowo Krajeńskie";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;48;289;74;221;54
9;"Świetlica Wiejska, Witunia ul. Wincentego Witosa 13, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;34;177;58;217;47
10;"Szkoła Podstawowa, Zakrzewek 25, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;9;97;15;45;14
11;"Szkoła Podstawowa im. Ziemi Krajeńskiej, ul. Szkolna 1, 89-422 Sypniewo";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;21;126;32;88;13
12;"OSP, ul. Strażacka 6, 89-422 Sypniewo";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;64;175;47;262;43
13;"Świetlica Wiejska, Suchorączek 20, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;15;53;8;49;7
14;"Świetlica Wiejska, Nowy Dwór 10, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;6;62;16;56;13
15;"Świetlica Wiejska, Lubcza 15, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;27;79;20;62;10
16;"Dom Pomocy Społecznej w Suchorączku, Suchorączek 51, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;1;8;3;1;1
17;"NOVUM-MED sp. z o. o. w Więcborku, ul. Mickiewicza 26, 89-410 Więcbork";41304;"gm. Więcbork";"sępoleński";"kujawsko-pomorskie";1;1;0;12;0;8;0
1;"Szkoła Podstawowa Nr 1, ul. Plac 1 Maja 8, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;56;173;44;324;30
2;"Zespół Szkół, ul. Polna 1, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;45;143;31;369;33
3;"Miejsko-Gminny Ośrodek Pomocy Społecznej, ul. Mogileńska 3, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;20;92;21;179;25
4;"Biblioteka Publiczna Miasta i Gminy Barcin, ul. Wojska Polskiego 4a, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;32;114;18;245;24
5;"Zespół Szkół, ul. Polna 1, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;22;123;25;218;20
6;"Przedszkole Nr 2, ul. Artylerzystów 3, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;30;100;23;236;24
7;"Zespół Szkół, ul. Artylerzystów 13, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;24;108;22;215;28
8;"Zespół Szkół, ul. Artylerzystów 13, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;34;139;13;267;35
9;"Szkoła Podstawowa, ul. 11 Listopada 5, 88-192 Piechcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;34;119;31;189;33
10;"Szkoła Podstawowa, ul. 11 Listopada 5, 88-192 Piechcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;32;133;27;220;22
11;"Biblioteka Publiczna Miasta i Gminy Barcin Filia w Piechcinie, ul. 11 Listopada 1c, 88-192 Piechcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;40;148;53;147;28
12;"Świetlica wiejska, Krotoszyn 61, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;8;76;16;76;19
13;"Świetlica wiejska, Knieja 125, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;18;93;22;121;21
14;"Świetlica wiejska, Barcin-Wieś 106, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;51;145;38;231;32
15;"Szkoła Podstawowa, Mamlicz 72, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;36;115;29;140;24
16;"Świetlica wiejska, Sadłogoszcz 58, 88-192 Piechcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;16;50;16;95;12
17;"Świetlica wiejska, Młodocin 57, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;10;60;11;41;9
18;"Świetlica wiejska, Wolice 31, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;26;94;36;234;21
19;"Świetlica wiejska, Kania 27, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;28;102;21;91;22
20;"Świetlica wiejska, Złotowo 6, 88-190 Barcin";41901;"gm. Barcin";"żniński";"kujawsko-pomorskie";1;1;19;37;4;51;11
1;"Szkoła Podstawowa, ul. Leszka Białego 6, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;26;235;43;236;37
2;"Gminny Ośrodek Kultury, ul. Żnińska 19, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;17;136;35;168;13
3;"Budynek Muzeum Archeologicznego, Biskupin 26, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;12;69;14;49;19
4;"Świetlica Wiejska, Pniewy 4A, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;8;70;12;90;17
5;"Szkoła Podstawowa, Laski Wielkie 25, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;32;170;46;181;22
6;"Oddział Zamiejscowy Szkoły Podstawowej w Gąsawie, Szelejewo 19, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;35;179;33;112;14
7;"Świetlica Wiejska, Łysinin 31A, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;18;78;6;76;11
8;"Świetlica Wiejska, Gogółkowo 11A, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;5;94;20;67;9
9;"Świetlica Wiejska, Godawy 13A, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;9;95;13;36;9
10;"Świetlica Wiejska, Obudno 30, 88-410 Gąsawa";41902;"gm. Gąsawa";"żniński";"kujawsko-pomorskie";1;1;7;87;14;45;9
1;"Szkoła Podstawowa, ul. Szkolna 8, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;40;219;41;256;39
2;"Miejsko-Gminny Ośrodek Kultury, ul. Powstańców Wielkopolskich 16, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;30;207;30;243;42
3;"Miejsko-Gminny Ośrodek Kultury, ul. Powstańców Wielkopolskich 16, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;5;120;28;118;26
4;"Zespół Szkół Niepublicznych, ul. 3 Maja 30, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;36;240;53;254;35
5;"Budynek Gminy Janowiec Wielkopolski (Świetlica wiejska), Juncewo 27, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;15;124;41;100;18
6;"Szkoła Podstawowa, Świątkowo 59, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;10;126;28;85;14
7;"Szkoła Podstawowa, Żerniki 32, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;5;59;5;52;8
8;"Szkoła Podstawowa, Żerniki 32, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;9;66;6;28;4
9;"Biblioteka Publiczna im. Stefanii Popiołek, ul. Gnieźnieńska 3a, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;10;45;16;66;11
10;"Zespół Szkół Niepublicznych (sala gimnastyczna), ul. 3 Maja 30, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;12;58;22;69;16
11;"Szkoła Podstawowa (sala gimnastyczna), ul. Szkolna 8, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;26;103;22;145;24
12;"Budynek Gminy Janowiec Wielkopolski Niepubliczna Szkoła Podstawowa, Sarbinowo Drugie 11, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;14;117;25;118;20
13;"Budynek Gminy Janowiec Wielkopolski Niepubliczna Szkoła Podstawowa, Laskowo 26, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;33;109;37;101;27
14;"Świetlica wiejska w Tonowie, Tonowo 39B, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;10;65;5;32;14
15;"Świetlica wiejska w Brudzyniu, Brudzyń 11, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;12;78;18;42;24
16;"Dom Pomocy Społecznej w Tonowie, Tonowo 52, 88-430 Janowiec Wielkopolski";41903;"gm. Janowiec Wielkopolski";"żniński";"kujawsko-pomorskie";1;1;1;10;4;5;0
1;"Zespół Szkół w Łabiszynie, ul. Nadnotecka 2, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;34;183;46;281;50
2;"Zespół Szkół w Łabiszynie, ul. Poznańska 12, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;40;215;42;283;57
3;"Zespół Szkół w Łabiszynie, ul. Poznańska 9, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;69;223;47;335;41
4;"Łabiszyński Dom Kultury, ul. Parkowa 1, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;19;115;22;148;12
5;"Zespół Szkół w Lubostroniu, Lubostroń 13A, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;27;163;34;155;38
6;"Świetlica Środowiskowa, Jabłówko 17A, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;14;149;31;83;18
7;"Niepubliczna Szkoła Podstawowa, Nowe Dąbie 56, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;48;188;73;249;46
8;"Świetlica Środowiskowa, Władysławowo 45, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;46;144;56;257;29
9;"Świetlica Środowiskowa, Jeżewo 26A, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;12;67;16;86;13
10;"Szkoła Filialna, Ojrzanowo 40, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;45;127;41;121;29
11;"Świetlica Środowiskowa, Załachowo 14, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;35;125;24;132;23
12;"Łabiszyński Dom Kultury, ul. Parkowa 1, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;19;76;24;97;12
13;"Świetlica Środowiskowa, Smogorzewo 100A, 89-210 Łabiszyn";41904;"gm. Łabiszyn";"żniński";"kujawsko-pomorskie";1;1;14;30;18;54;7
1;"Gminny Dom Kultury w Rogowie, ul. Kościelna 4a, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;25;229;42;390;39
2;"Szkoła Podstawowa w Rogowie, ul. Szkolna 7, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;22;173;43;302;37
3;"Świetlica Kółka Rolniczego w Czewujewie, Czewujewo 44, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;18;179;43;150;25
4;"Świetlica wiejska w Lubczu, Lubcz 22, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;16;96;14;90;17
5;"Szkoła Podstawowa z Oddziałami Integracyjnymi w Gościeszynie, Gościeszyn 20, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;17;112;20;59;15
6;"Świetlica wiejska w Złotnikach, Złotniki 14, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;16;94;16;113;14
7;"Świetlica wiejska w Skórkach, Skórki 12, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;6;84;5;58;8
8;"Świetlica wiejska w Mięcierzynie, Mięcierzyn 49A, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;19;134;25;105;14
9;"Świetlica wiejska w Cegielni, Cegielnia 23A, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;18;113;20;96;20
10;"Świetlica wiejska w Grochowiskach Szlacheckich, Grochowiska Szlacheckie 9A, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;18;115;23;69;9
11;"Świetlica wiejska w Niedźwiadach, Niedźwiady 20, 88-420 Rogowo";41905;"gm. Rogowo";"żniński";"kujawsko-pomorskie";1;1;18;101;14;62;8
1;"Szkoła Podstawowa Nr 5, ul. 1 Stycznia 17, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;30;161;41;297;52
2;"Przedszkole Miejskie Nr 1, ul. Browarowa 16, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;26;277;32;308;37
3;"Zespół Szkół Technicznych, ul. Browarowa 14, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;25;228;38;305;32
4;"Spółdzielnia Mieszkaniowa, ul. Kopernika 5A, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;16;162;37;245;24
5;"Szkoła Podstawowa Nr 2, ul. Wandy Pieniężnej 19, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;19;194;27;208;31
6;"Szkoła Podstawowa Nr 2, ul. Wandy Pieniężnej 19, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;38;218;55;342;42
7;"Zespół Szkół Specjalnych, ul. Mickiewicza 32, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;31;220;65;361;51
8;"Zespół Szkół Ekonomiczno-Handlowych, ul. Śniadeckich 18, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;31;185;33;228;35
9;"Szkoła Podstawowa Nr 1, ul. Szkolna 4, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;25;168;26;229;31
10;"Przedszkole Miejskie Nr 2, Budynek A, ul. Klemensa Janickiego 10, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;42;242;56;339;57
11;"Przedszkole Miejskie Nr 2, Budynek B, ul. Jasna 5, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;28;197;49;320;32
12;"Miejski Ośrodek Sportu, ul. Gnieźnieńska 7, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;60;239;78;367;45
13;"Budynek Gminy Żnin, Niepubliczna Szkoła Podstawowa, Gorzyce 60, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;41;208;46;136;34
14;"Budynek Gminy Żnin (świetlica wiejska), Brzyskorzystewko 10, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;14;179;32;115;17
15;"Miejska i Powiatowa Biblioteka Publiczna, ul. Sienkiewicza 4, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;32;217;27;149;43
16;"Szkoła Podstawowa, Januszkowo 20, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;41;295;89;216;47
17;"Budynek Gminy Żnin (świetlica wiejska), Jadowniki Rycerskie 18A, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;29;183;31;160;29
18;"Budynek Gminy Żnin (świetlica wiejska), Podgórzyn 5, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;30;138;25;134;17
19;"I Liceum Ogólnokształcące, ul. Sienkiewicza 1, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;7;52;18;35;3
20;"Budynek Gminy Żnin (świetlica wiejska), Cerekwica 6B, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;24;251;33;197;22
21;"Szkoła Podstawowa, Słębowo 1, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;37;252;46;162;34
22;"Budynek Gminy Żnin, Niepubliczna Szkoła Podstawowa, Brzyskorzystew 61A, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;15;68;14;56;14
23;"Budynek Gminy Żnin (świetlica wiejska), Białożewin 7, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;17;134;26;86;11
24;"Budynek Gminy Żnin, Niepubliczna Szkoła Podstawowa, Bożejewice 22, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;31;159;39;169;23
25;"Świetlica wiejska, Wenecja 26, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;12;81;16;111;6
26;"Pałuckie Centrum Zdrowia sp. z o. o. w Żninie, ul. Szpitalna 30, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;1;17;2;13;3
27;"Dom Pomocy Społecznej w Podobowicach, Podobowice 49, 88-400 Żnin";41906;"gm. Żnin";"żniński";"kujawsko-pomorskie";1;1;1;32;2;11;4
