"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TOMASZEWSKI Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUNIN Artur Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
18;"Szkoła Podstawowa Specjalna nr 168, ul. Plantowa 7, 91-104 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;404;907
19;"Szkoła Podstawowa nr 56 im. Bronisława Czecha, ul. Turoszowska 10, 91-025 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;556;1188
20;"Szkoła Podstawowa nr 56 im. Bronisława Czecha, ul. Turoszowska 10, 91-025 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;443;950
21;"Zespół Szkół Rzemiosła im. Jana Kilińskiego, ul. Żubardzka 26, 91-032 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;594;1490
22;"Szkoła Podstawowa nr 122, ul. Jesionowa 38, 91-363 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;668;1469
23;"Szkoła Podstawowa nr 122, ul. Jesionowa 38, 91-363 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;478;1539
24;"XLII Liceum Ogólnokształcące im. Ireny Sendlerowej, ul. Stawowa 28, 91-358 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;627;1472
25;"XLII Liceum Ogólnokształcące im. Ireny Sendlerowej, ul. Stawowa 28, 91-358 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;294;920
26;"XXX Liceum Ogólnokształcące im. Ks. Biskupa Ignacego Krasickiego, ul. gen. Józefa Sowińskiego 50/56, 91-485 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;569;1765
27;"Szkoła Podstawowa nr 206 im. Łódzkich Włókniarek, ul. Łozowa 9, 91-496 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;561;1406
28;"Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego, ul. Syrenki 19A, 91-496 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;428;934
29;"Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego, ul. Syrenki 19A, 91-496 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;524;1364
30;"Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego, ul. Syrenki 19A, 91-496 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;444;855
31;"Przedszkole Miejskie nr 231, ul. Syrenki 19A, 91-496 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;385;758
32;"Szkoła Podstawowa nr 206 im. Łódzkich Włókniarek, ul. Łozowa 9, 91-496 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;551;1540
33;"Szkoła Podstawowa nr 166 im. Akademii Pana Kleksa w Łodzi, ul. Szamotulska 1/7, 91-037 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;616;1564
34;"Zespół Szkół Samochodowych, ul. Bolesława Limanowskiego 124A, 91-041 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;407;1042
35;"Zespół Szkół Samochodowych, ul. Wojciecha Kilara 3/5, 91-335 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;358;873
36;"Zespół Szkół Ekonomiczno-Turystyczno-Hotelarskich im. Władysława Grabskiego, ul. Drewnowska 171, 91-008 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;187;387
37;"Zespół Szkół Ekonomiczno-Turystyczno-Hotelarskich im. Władysława Grabskiego, ul. Drewnowska 171, 91-008 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;219;551
38;"Szkoła Podstawowa nr 35 im. Mariana Piechala, ul. Generała Tadeusza Kutrzeby 4, 91-013 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;428;1155
39;"Szkoła Podstawowa nr 35 im. Mariana Piechala, ul. Generała Tadeusza Kutrzeby 4, 91-016 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;300;683
40;"Szkoła Podstawowa nr 54 im. Kornela Makuszyńskiego, ul. Wróbla 5, 91-050 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;429;927
41;"Szkoła Podstawowa nr 54 im. Kornela Makuszyńskiego, ul. Wróbla 5, 91-050 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;317;548
42;"Zespół Szkół Ponadpodstawowych nr 5 im. Króla Bolesława Chrobrego, ul. Drewnowska 88, 91-008 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;121;448
43;"Szkoła Podstawowa nr 24, ul. Ciesielska 14A, 91-308 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;319;639
44;"Szkoła Podstawowa nr 24, ul. Ciesielska 14A, 91-308 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;418;1184
45;"Szkoła Podstawowa nr 55 im. Eugeniusza Lokajskiego, ul. Antoniego Mackiewicza 9, 91-349 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;512;1390
46;"Szkoła Podstawowa nr 65 im. Juliusza Słowackiego, ul. Pojezierska 10, 91-322 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;328;906
47;"Szkoła Podstawowa nr 65 im. Juliusza Słowackiego, ul. Pojezierska 10, 91-322 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;499;1319
48;"Przedszkole Miejskie nr 202, ul. Sędziowska 8/10, 91-304 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;384;995
49;"Przedszkole Miejskie nr 149, ul. Murarska 42, 91-469 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;911;396
50;"Szkoła Podstawowa nr 101, ul. Wspólna 5/7, 91-464 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;448;1264
51;"Szkoła Podstawowa nr 101, ul. Wspólna 5/7, 91-464 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;342;897
52;"Przedszkole Miejskie nr 176, ul. Blacharska 21, 91-470 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;376;882
53;"Szkoła Podstawowa nr 45 im. Jana Matejki, ul. Bojowników Getta Warszawskiego 3, 91-431 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;200;621
54;"XIII Liceum Ogólnokształcące im. Marii Piotrowiczowej, ul. Eliasza Chaima Majzela 4, 91-430 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;456;995
55;"Szkoła Podstawowa nr 30 im. rtm. Witolda Pileckiego, ul. Rysownicza 1/3, 91-855 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;568;1209
56;"Zespół Szkół Przemysłu Spożywczego im. Powstańców Wielkopolskich, ul. Franciszkańska 137, 91-845 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;326;962
