"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TOMASZEWSKI Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUNIN Artur Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
206;"Zarząd Lokali Miejskich w Łodzi, ul. Aleja T. Kościuszki 47, 90-514 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;276;861
207;"Szkoła Podstawowa nr 173 im. Żołnierzy Dywizji Kościuszkowskiej, ul. Henryka Sienkiewicza 46, 90-009 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;442;1421
208;"Miejski Ośrodek Pomocy Społecznej w Łodzi, ul. Jana Kilińskiego 102/102a, 90-012 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;44;113
209;"Miejski Ośrodek Pomocy Społecznej w Łodzi, ul. Jana Kilińskiego 102/102a, 90-012 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;202;504
210;"Związek Młodzieży Chrześcijańskiej Polska YMCA Ognisko w Łodzi, ul. Stanisława Moniuszki 4A, 90-111 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;136;357
211;"Związek Młodzieży Chrześcijańskiej Polska YMCA Ognisko w Łodzi, ul. Stanisława Moniuszki 4A, 90-111 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;370;973
212;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 111, ul. Stefana Jaracza 44/46, 90-252 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;408;846
213;"Biblioteka Otwarta, ul. Prezydenta Gabriela Narutowicza 8/10, 90-135 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;139;390
214;"Ośrodek Szkolenia Kierowców Krzysztof Kołodziejczak, ul. płk. dr. St. Więckowskiego 13, 90-721 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;299;600
215;"Szkoła Podstawowa nr 23 im. Marii Bohuszewiczówny, ul. Gdańska 16, 90-707 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;298;758
216;"IV Liceum Ogólnokształcące im. Emilii Sczanieckiej, ul. Pomorska 16, 91-416 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;407;854
217;"Szkoła Podstawowa nr 175 im. Henryka Ryla, ul. Pomorska 27, 90-202 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;188;379
218;"Szkoła Podstawowa nr 70 im. Stanisława Wyspiańskiego, ul. Rewolucji 1905 r. 22, 90-207 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;210;616
219;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 111, ul. Stefana Jaracza 44/46, 90-252 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;416;1119
220;"XII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego, al. Karola Anstadta 7, 91-409 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;238;532
221;"Szkoła Podstawowa nr 1 im. Adama Mickiewicza, ul. dr. Seweryna Sterlinga 24, 90-212 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;141;401
222;"Polsko-Amerykański Ośrodek Kształcenia Zawodowego, ul. Harcmistrza Aleksandra Kamińskiego 17/19, 90-229 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;218;656
223;"Szkoła Podstawowa nr 94 w Łodzi, ul. Zacisze 7/9, 90-228 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;229;647
224;"VIII Liceum Ogólnokształcące im. Adama Asnyka, ul. Pomorska 105, 91-402 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;378;1150
225;"MPK-Łódź Sp. z o. o., ul. Tramwajowa 8, 90-132 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;321;934
226;"XXIX Liceum Ogólnokształcące im. hm. Janka Bytnara ""Rudego"", ul. Aleksandra Zelwerowicza 38/44, 90-148 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;271;876
227;"XXIX Liceum Ogólnokształcące im. hm. Janka Bytnara ""Rudego"", ul. Aleksandra Zelwerowicza 38/44, 90-148 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;185;665
228;"Szkoła Podstawowa nr 79 im. Łódzkich Olimpijczyków, ul. Pomorska 138, 91-404 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;445;1300
284;"Specjalistyczny Psychiatryczny Zespół Opieki Zdrowotnej w Łodzi im. dr. J. Babińskiego, ul. Aleksandrowska 159, 91-229 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;67;81
285;"Wojewódzki Zespół Zakładów Opieki Zdrowotnej Centrum Leczenia Chorób Płuc i Rehabilitacji w Łodzi, ul. Okólna 181, 91-520 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;70;69
286;"Wojewódzki Specjalistyczny Szpital im. dr. Wł. Biegańskiego w Łodzi, ul. Kniaziewicza 1/5, 91-347 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;49;49
287;"Miejskie Centrum Medyczne im. dr Karola Jonschera w Łodzi, ul. Przyrodnicza 7/9, 91-480 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;13;28
288;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji w Łodzi, ul. Północna 42, 91-425 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;28;37
289;"6 Dom Pomocy Społecznej w Łodzi, ul. Złotnicza 10, 91-836 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;35;22
290;"Dom Pomocy Społecznej „Pogodna Jesień” w Łodzi, ul. Dojazdowa 5/7, 91-503 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;24;19
291;"Dom Pomocy Społecznej „Dom Kombatanta” im. majora Eugeniusza Gedymina Kaszyńskiego „Nurta” w Łodzi, ul. Przyrodnicza 24/26, 91-480 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;22;14
292;"Dom Pomocy Społecznej w Łodzi, ul. Rojna 15, 91-142 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;28;6
293;"Stowarzyszenie „Hospicjum Łódzkie”, ul. Pojezierska 45/51, 91-338 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;9;12
294;"Areszt Śledczy w Łodzi, ul. Smutna 21, 91-729 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;79;585
304;"Dom Opieki Fundacji Ambrozja, ul. Stanisława Dubois 117, 93-465 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;6;10
305;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im. Wojskowej Akademii Medycznej Uniwersytetu Medycznego w Łodzi Centralny Szpital Weteranów, ul. Stefana Żeromskiego 113, 90-549 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;69;100
306;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im. Wojskowej Akademii Medycznej Uniwersytetu Medycznego w Łodzi Centralny Szpital Weteranów, pl. gen. Józefa Hallera 1, 90-647 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;26;48
307;"Wojewódzki Specjalistyczny Szpital im. M. Pirogowa w Łodzi, ul. Wólczańska 191/195, 90-531 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;37;38
308;"Wojewódzki Specjalistyczny Szpital im. M. Pirogowa w Łodzi Ośrodek Szpitalny im. M. Madurowicza, ul. Wileńska 37, 94-029 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;29;54
309;"2 Dom Pomocy Społecznej w Łodzi, ul. 28 Pułku Strzelców Kaniowskich 32, 90-640 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;22;13
310;"Dom Pomocy Społecznej ""Włókniarz"" im. Jana Pawła II w Łodzi, ul. Krzemieniecka 7/9, 94-017 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;33;24
311;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny nr 1 im. Norberta Barlickiego Uniwersytetu Medycznego w Łodzi, ul. dr. Stefana Kopcińskiego 22, 90-153 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;22;75
312;"Centrum Medyczne im. dr L. Rydygiera sp. z o. o., ul. dr. Seweryna Sterlinga 13, 90-217 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;4;11
319;"Uniwersytet Medyczny w Łodzi Dom Studencki nr 1 (Medyk), ul. Patrice Lumumby 5, 91-404 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;27;90
320;"Politechnika Łódzka Osiedle Akademickie Obiekt C 15, ul. Aleje Politechniki 3a, 93-590 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;12;73
321;"Uniwersytet Łódzki VII Dom Studenta, ul. Strajku Łódzkich Studentów w 1981 r. 3, 91-404 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;12;97
322;"Państwowa Wyższa Szkoła Filmowa, TV i Teatralna im. L. Schillera w Łodzi Dom Studenta PWSFTviT, ul. Piotrkowska 189/191, 90-447 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;3;42
