"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZAJDA Paweł Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"NITEK-PŁAŻYŃSKA Natalia - KW PRAWO I SPRAWIEDLIWOŚĆ";"KULECKI Łukasz Kazimierz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"CZARNOBAJ Leszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Społeczne Przedszkole ""Promyczek"", ul. Kazimierza Wielkiego 2, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;55;192;72;530
2;"Społeczne Przedszkole ""Promyczek"", ul. Kazimierza Wielkiego 2, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;83;351;84;704
3;"Zespół Szkół Ogólnokształcących Nr 1, ul. Konarskiego 12, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;81;241;70;604
4;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Staszica 27, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;66;274;81;559
5;"Szkoła Podstawowa Nr 2 im. mjra Henryka Sucharskiego sala gimnastyczna, ul. Mickiewicza 3, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;66;263;47;414
6;"Szkoła Podstawowa z Oddziałami Mistrzostwa Sportowego, ul. Mickiewicza 56B, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;53;254;16;567
7;"Szkoła Podstawowa z Oddziałami Mistrzostwa Sportowego, ul. Mickiewicza 56B, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;42;189;43;399
8;"Szkoła Podstawowa Nr 6 im. dr Władysława Gębika, ul. Grunwaldzka 54, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;70;217;52;465
9;"Społeczne Przedszkole ""Bajka"", ul. Kasprowicza 20F, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;46;266;62;597
10;"Zespół Szkół Ogólnokształcących Nr 2, ul. Słoneczna 2, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;76;257;73;577
11;"Hala Widowiskowo-Sportowa, ul. Wiejska 1A, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;90;262;53;468
12;"Szkoła Podstawowa nr 5 im. Zjednoczonej Europy, ul. Kamienna 18, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;88;264;75;630
13;"Szkoła Podstawowa nr 5 im. Zjednoczonej Europy, ul. Kamienna 18, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;66;228;48;553
14;"Miejski Ośrodek Pomocy Społecznej, ul. Grudziądzka 6, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;44;266;37;512
15;"Kwidzyńskie Centrum Kultury, ul. 11 Listopada 13, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;64;200;53;327
16;"Szkoła Podstawowa nr 5 im. Zjednoczonej Europy, ul. gen. Józefa Hallera 4, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;49;191;42;364
17;"Zespół Szkół Ponadgimnazjalnych Nr 1, ul. Słowiańska 17, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;65;193;55;463
18;"Kwidzyńskie Centrum Kultury-Kinoteatr, ul. Katedralna 18, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;61;179;53;375
19;"Szkoła Podstawowa Nr 4 im. Adama Mickiewicza, ul. Warszawska 13, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;75;284;51;563
20;"Zespół Szkół Nr 2 im. Marii Skłodowskiej Curie, ul. Żwirki i Wigury 1, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;58;156;60;470
21;"Budynek Zakładu Utylizacji Odpadów sp. z o. o, ul. Owcza 7, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;117;303;87;779
22;"„Zdrowie” Sp. z o. o. Niepubliczny Zakład Opieki Zdrowotnej w Kwidzynie, ul. gen. Józefa Hallera 31, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;1;3;0;9
23;"Dom Pomocy Społecznej w Kwidzynie, ul. Malborska 18, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;5;19;2;20
24;"Zakład Karny w Kwidzynie, ul. Lotnicza 1, 82-500 Kwidzyn";220701;"m. Kwidzyn";"kwidzyński";"pomorskie";1;1;30;37;51;315
1;"Szkoła Podstawowa w Gardei, ul. Sportowa 1, 82-520 Gardeja";220702;"gm. Gardeja";"kwidzyński";"pomorskie";1;1;113;381;112;427
2;"Szkoła Podstawowa w Czarnem Dolnem, Czarne Dolne ul. Szkolna 7/9, 82-520 Gardeja";220702;"gm. Gardeja";"kwidzyński";"pomorskie";1;1;58;314;67;249
3;"Szkoła Podstawowa im. mjr. Henryka Dobrzańskiego w Wandowie, Wandowo 60, 82-520 Gardeja";220702;"gm. Gardeja";"kwidzyński";"pomorskie";1;1;50;169;35;187
4;"Szkoła Podstawowa w Trumiejach, Trumieje 12, 82-520 Gardeja";220702;"gm. Gardeja";"kwidzyński";"pomorskie";1;1;25;126;37;112
5;"Świetlica Wiejska w Morawach, Morawy 3A, 82-520 Gardeja";220702;"gm. Gardeja";"kwidzyński";"pomorskie";1;1;29;147;40;188
6;"Szkoła Podstawowa w Otłowcu, Otłowiec 26, 82-520 Gardeja";220702;"gm. Gardeja";"kwidzyński";"pomorskie";1;1;46;148;47;212
7;"Szkoła Podstawowa w Cyganach, Cygany 27, 82-520 Gardeja";220702;"gm. Gardeja";"kwidzyński";"pomorskie";1;1;14;91;22;86
1;"Szkoła Podstawowa w Janowie, Janowo 42, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;24;78;22;87
2;"Świetlica kulturalno-oświatowa w Pastwie, Pastwa 25, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;31;136;39;118
3;"Szkoła Podstawowa w Korzeniewie, Korzeniewo ul. Kwidzyńska 20, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;33;109;23;165
4;"Szkoła Podstawowa w Nowym Dworze, Nowy Dwór 13, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;45;197;73;293
5;"Świetlica kulturalno-oświatowa w Marezie, Mareza ul. Długa 5, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;59;182;54;384
6;"Dwór w Górkach, Górki 4, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;19;113;21;217
7;"Szkoła Podstawowa im. gen. Augusta Emila Fieldorfa ps. ""NIL"" w Rakowcu, Rakowiec ul. Szkolna 2, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;85;207;86;545
8;"Szkoła Podstawowa im. Janusza Korczaka w Liczu, Licze ul. Lipowa 34, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;29;153;42;117
9;"Zielona Szkoła w Brachlewie, Brachlewo 42, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;36;133;41;162
10;"Szkoła Podstawowa im. Marii Kotlarz w Tychnowych, Tychnowy ul. Kwidzyńska 19, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;70;286;83;351
11;"Świetlica kulturalno-oświatowa w Gurczu, Gurcz 27a/2, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;14;49;21;57
12;"Świetlica kulturalno-oświatowa w Pawlicach, Pawlice 2b, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;14;38;9;59
13;"Świetlica kulturalno-oświatowa w Podzamczu, Podzamcze 17, 82-500 Kwidzyn";220703;"gm. Kwidzyn";"kwidzyński";"pomorskie";1;1;19;39;19;53
1;"Szkoła Podstawowa Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Grunwaldzka 6, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;24;122;27;151
2;"Budynek lekcyjny Szkoły Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Grunwaldzka 6, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;30;152;25;279
3;"Przedszkole Niepubliczne ""Miś Uszatek"" Beata Lewandowska w Prabutach, ul. Mikołaja Kopernika 2, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;22;140;37;167
4;"Przedszkole Niepubliczne ""Bratek"" w Prabutach, ul. Adama Mickiewicza 3, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;25;108;26;193
5;"Sala gimnastyczna Szkoły Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Grunwaldzka 6, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;25;150;23;162
6;"Szkoła Podstawowa Nr 2 im. Obrońców Westerplatte w Prabutach (budynek główny-pokój nauczycielski), ul. Obrońców Westerplatte 11, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;28;131;20;216
7;"Sala gimnastyczna Szkoły Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;32;103;23;148
8;"Budynek Nauczania Początkowego przy Szkole Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;28;143;35;226
9;"Hala Sportowa przy Szkole Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;41;141;42;310
10;"Budynek Nauczania Początkowego przy Szkole Podstawowej nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;49;196;45;312
11;"Szkoła Podstawowa w Obrzynowie, Obrzynowo 37, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;27;235;37;117
12;"Szkoła Podstawowa im. Kresowian w Rodowie, Rodowo 14, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;28;145;39;120
13;"Świetlica Wiejska w Sypanicy, Sypanica 36A, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;24;103;33;94
14;"Budynek po Szkole Podstawowej w Kołodziejach, Kołodzieje 35, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;23;113;15;91
15;"Szkoła Podstawowa im. Adama Mickiewicza w Trumiejkach, Trumiejki 42, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;15;61;10;51
16;"Świetlica Wiejska w Laskowicach, Laskowice 20A, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;7;38;5;47
17;"Świetlica Wiejska w Grodźcu, Grodziec 17/1B, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;8;43;21;27
18;"Szpital Specjalistyczny w Prabutach, ul. Kuracyjna 30, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;3;12;2;12
19;"NZOZ ""Centrum Psychiatrii"" Sp. z o. o., ul. Kuracyjna 30, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;7;20;3;25
20;"Zakład Opieki Leczniczej w Prabutach, ul. Kuracyjna 37, 82-550 Prabuty";220704;"gm. Prabuty";"kwidzyński";"pomorskie";1;1;0;2;2;5
1;"Specjalny Ośrodek Szkolno-Wychowawczy w Barcicach, Barcice 66, 82-420 Ryjewo";220705;"gm. Ryjewo";"kwidzyński";"pomorskie";1;1;23;104;27;190
2;"Szkoła Podstawowa w Ryjewie, ul. Grunwaldzka 63, 82-420 Ryjewo";220705;"gm. Ryjewo";"kwidzyński";"pomorskie";1;1;61;247;77;473
3;"Gminny Ośrodek Kultury w Ryjewie, ul. Grunwaldzka 70, 82-420 Ryjewo";220705;"gm. Ryjewo";"kwidzyński";"pomorskie";1;1;37;166;53;284
4;"Szkoła Podstawowa w Straszewie, Straszewo 55, 82-420 Ryjewo";220705;"gm. Ryjewo";"kwidzyński";"pomorskie";1;1;29;95;46;146
5;"Filia Gminnego Ośrodka Kultury w Ryjewie, Benowo 58, 82-420 Ryjewo";220705;"gm. Ryjewo";"kwidzyński";"pomorskie";1;1;13;73;9;66
