"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TRELA Jacek Szczęsny - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SPRAWKA Lech Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIOTROWSKI Mirosław Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KONARSKI Mieczysław Antoni - KW RUCH NAPRAWY POLSKI";"NOWAK Marcin Andrzej - KWW MARCINA NOWAKA"
1;"Przedszkole nr 15, ul. Bohaterów Monte Cassino 7, 20-808 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;611;383;125;42;62
2;"Przedszkole nr 25, ul. Aleja Warszawska 37a, 20-803 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;749;467;112;43;63
3;"Spółdzielnia Mieszkaniowa „Transportowiec”, ul. Kolorowa 3, 20-802 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;852;415;150;37;85
4;"Przedszkole nr 43, ul. Skautów 11a, 20-055 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;363;276;73;41;45
5;"Szkoła Podstawowa nr 18 im. Macieja Rataja, ul. Aleja Jana Długosza 8, 20-054 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;578;341;100;42;56
6;"Szkoła Podstawowa nr 21 im. Królowej Jadwigi, ul. Zuchów 1, 20-047 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;668;420;133;41;77
7;"Bursa Szkolna nr 1, ul. księdza Jerzego Popiełuszki 7, 20-052 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;713;415;141;40;73
8;"Przedszkole nr 65, ul. Mariana Langiewicza 3a, 20-032 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;630;258;92;34;119
9;"I Liceum Ogólnokształcące im. Stanisława Staszica, ul. aleje Racławickie 26, 20-043 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;264;144;59;22;47
10;"Szkoła Podstawowa nr 6 im. Romualda Traugutta, ul. Czwartaków 11, 20-045 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;341;119;48;20;92
11;"Bursa Szkolna nr 3, ul. Weteranów 3, 20-038 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;242;100;35;12;56
12;"Szkoła Podstawowa nr 25 im. Władysława Broniewskiego, ul. Sieroca 17, 20-089 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;618;320;117;49;55
13;"IV Liceum Ogólnokształcące im. Stefanii Sempołowskiej, ul. Szkolna 4, 20-124 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;363;327;93;31;44
14;"Szkoła Podstawowa nr 25 im. Władysława Broniewskiego, ul. Sieroca 17, 20-089 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;432;260;94;24;35
15;"Szkoła Podstawowa nr 19 im. Józefa Czechowicza, ul. Szkolna 6, 20-124 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;136;125;37;13;13
16;"Urząd Miasta Lublin, ul. Wieniawska 14, 20-071 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;233;135;33;17;25
17;"II Liceum Ogólnokształcące im. Hetmana Jana Zamoyskiego, ul. Ogrodowa 16, 20-075 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;369;194;70;25;27
18;"Szkoła Podstawowa nr 24 im. Partyzantów Lubelszczyzny, ul. Niecała 1, 20-080 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;307;214;76;22;44
19;"Instytut Informatyki UMCS, ul. Akademicka 9, 20-033 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;262;158;43;15;24
20;"V Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, ul. Lipowa 7, 20-020 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;228;111;32;14;25
21;"Centrum Kultury w Lublinie, ul. Peowiaków 12, 20-007 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;486;276;91;19;47
22;"Młodzieżowy Dom Kultury nr 2, ul. Bernardyńska 14a, 20-109 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;187;149;44;17;32
23;"XXIX Liceum Ogólnokształcące im. cc majora Hieronima Dekutowskiego ps. „Zapora”, ul. Lipowa 25, 20-020 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;419;279;77;23;50
24;"III Liceum Ogólnokształcące im. Unii Lubelskiej, pl. Plac Wolności 4, 20-005 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;178;154;47;22;19
25;"III Liceum Ogólnokształcące im. Unii Lubelskiej, pl. Plac Wolności 4, 20-005 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;151;171;40;9;19
26;"Szkoła Muzyczna I i II st. im. Tadeusza Szeligowskiego, ul. Prezydenta Gabriela Narutowicza 32a, 20-016 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;331;173;76;26;26
27;"Szkoła Podstawowa nr 7 im. ks. Jana Twardowskiego, ul. Plażowa 9, 20-620 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;202;128;37;16;22
