"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KUCHARSKI Sylwester Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"MATYSIAK Józef Adam - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"AMBROZIK Rafał Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"FĄK Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SKIBA Rafał - KWW POROZUMIENIE OBYWATELSKIE"
9;"Publiczne Przedszkole w Chorzęcinie, Chorzęcin 75, 97-200 Tomaszów Mazowiecki";101609;"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";1;1;57;116;238;52;26
10;"Dom Ludowy w Cekanowie, Cekanów ul. Władysława Jagiełły 2/4, 97-200 Tomaszów Mazowiecki";101609;"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";1;1;25;54;75;10;15
11;"Dom Ludowy w Łazisku, Łazisko 158, 97-200 Tomaszów Mazowiecki";101609;"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";1;1;62;129;239;39;37
12;"Dom Ludowy w Sługocicach, Sługocice 146, 97-200 Tomaszów Mazowiecki";101609;"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";1;1;27;64;87;12;18
13;"Dom Ludowy w Swolszewicach Małych, Swolszewice Małe ul. Trzciniec 44, 97-200 Tomaszów Mazowiecki";101609;"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";1;1;39;90;93;16;25
1;"Gminna Hala Sportowa, ul. Rokicińska 6, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;59;258;291;71;81
2;"Budynek użyteczności publicznej w Ujeździe, ul. Kościelna 24, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;18;95;131;23;14
3;"Świetlica Wiejska w Olszowej, Olszowa 11A, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;50;112;276;62;15
4;"Świetlica Wiejska w Bukowie, Buków 6, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;49;172;301;54;40
5;"Gminny Ośrodek Kultury w Ujeździe, Osiedle Niewiadów 43, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;36;144;271;55;49
6;"Gminny Ośrodek Kultury w Ujeździe, Osiedle Niewiadów 43, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;25;146;276;38;66
7;"Świetlica Wiejska w Skrzynkach, Skrzynki 69, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;22;67;84;17;26
8;"Świetlica Wiejska w Zaosiu, Zaosie 34A, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;26;82;142;28;26
9;"Świetlica Wiejska w Sangrodzu, Sangrodz ul. Wspólna 4, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;27;60;96;32;10
10;"Świetlica Wiejska w Przesiadłowie, Przesiadłów 31, 97-225 Ujazd";101610;"gm. Ujazd";"tomaszowski";"łódzkie";1;1;27;98;150;39;13
1;"Gminny Dom Kultury w Żelechlinku (parter), pl. Plac Tysiąclecia Państwa Polskiego 2, 97-226 Żelechlinek";101611;"gm. Żelechlinek";"tomaszowski";"łódzkie";1;1;6;116;156;34;9
2;"Dom Inicjatyw Twórczych w Żelechlinku, pl. Plac Tysiąclecia Państwa Polskiego 10, 97-226 Żelechlinek";101611;"gm. Żelechlinek";"tomaszowski";"łódzkie";1;1;25;162;320;37;8
3;"Świetlica Wiejska w Radwance, Radwanka 1, 97-226 Żelechlinek";101611;"gm. Żelechlinek";"tomaszowski";"łódzkie";1;1;13;72;269;33;10
4;"Dom Ludowy w Naropnej, Naropna 1, 97-226 Żelechlinek";101611;"gm. Żelechlinek";"tomaszowski";"łódzkie";1;1;16;80;150;22;15
5;"Świetlica Wiejska w Żelechlinie, Żelechlin 94, 97-226 Żelechlinek";101611;"gm. Żelechlinek";"tomaszowski";"łódzkie";1;1;8;89;168;15;6
1;"Szkoła Podstawowa Nr 4, ul. Szarych Szeregów 6, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;67;342;288;58;130
2;"Szkoła Podstawowa Nr 4, ul. Szarych Szeregów 6, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;50;412;248;73;144
3;"Przedszkole Nr 4, ul. Jarosława Iwaszkiewicza 1, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;82;458;417;91;174
4;"Klub ""OAZA"", ul. Jarosława Iwaszkiewicza 13, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;89;596;478;85;208
5;"Szkoła Podstawowa Nr 9, ul. Kazimierza Przerwy-Tetmajera 7, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;78;436;345;84;165
6;"Szkoła Podstawowa Nr 9, ul. Kazimierza Przerwy-Tetmajera 7, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;106;526;412;102;180
7;"Zespół Szkół Nr 3, ul. Działkowa 10, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;47;306;156;68;86
8;"Zespół Szkół Zawodowych Nr 2, ul. Pomologiczna 15, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;73;493;485;85;169
9;"Szkoła Podstawowa Nr 4, ul. Jasna 30, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;82;554;381;134;158
10;"Szkoła Podstawowa Nr 7, ul. Św. Maksymiliana Kolbe 30, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;94;442;490;111;119
11;"Zespół Szkół Nr 3, ul. Działkowa 10, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;60;470;295;53;147
12;"Przedszkole Nr 10, ul. Szkolna 1, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;77;380;287;97;109
13;"Szkoła Podstawowa Nr 9, ul. Kazimierza Przerwy-Tetmajera 7, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;42;318;245;46;113
14;"Liceum Ogólnokształcące im. Bolesława Prusa, ul. Henryka Sienkiewicza 10, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;86;461;384;113;136
15;"Powiatowy Urząd Pracy, ul. Aleja Niepodległości 7, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;86;439;356;102;146
16;"Zespół Sportowych Szkół Ogólnokształcących, ul. Marii Konopnickiej 5, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;72;393;283;74;135
17;"Centrum Kultury i Sztuki, ul. Władysława Stanisława Reymonta 33, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;54;345;287;60;130
18;"Zespół Szkół Zawodowych Nr 1, ul. Pomologiczna 6, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;57;274;272;55;147
19;"Miejska Biblioteka Publiczna, ul. Mszczonowska 43A, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;98;547;463;88;161
20;"Przedszkole Nr 3, ul. Mikołaja Kopernika 15, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;55;380;269;57;107
21;"Szkoła Podstawowa Nr 2, ul. Jana Kilińskiego 9, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;110;699;587;156;208
22;"Urząd Stanu Cywilnego, ul. Józefa Piłsudskiego 2, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;60;325;424;84;103
23;"FERROXCUBE POLSKA Sp. z o. o., ul. Zwierzyniecka 2, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;65;356;300;79;110
24;"Budynek usługowy, ul. Łódzka 36, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;70;353;320;70;98
25;"Przedszkole Nr 1, ul. Stefana Batorego 61/63, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;114;573;616;156;152
26;"Wojewódzki Szpital Zespolony, ul. Stanisława Rybickiego 1, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;4;9;31;2;7
27;"Dom Pomocy Społecznej, ul. Nowobielańska 92A, 96-100 Skierniewice";106301;"m. Skierniewice";"Skierniewice";"łódzkie";1;1;3;2;13;2;1
