"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWOSIELSKI Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAMĄTOW Robert Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASJANIUK Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"AUGUSTYNIAK Mirosław Jan - KWW M. AUGUSTYNIAK";"DĄBROWSKI Zbigniew - KW ZJEDNOCZENI";"ROGALSKI Bogusław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
1;"Szkoła Podstawowa Nr 1, ul. Sportowa 9, 06-200 Maków Mazowiecki";141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";1;1;170;264;47;260;11;21
2;"Szkoła Podstawowa Nr 2, ul. Generała Pułaskiego 15, 06-200 Maków Mazowiecki";141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";1;1;180;240;40;238;25;9
3;"Liceum Ogólnokształcące Nr 1, ul. Kopernika 2, 06-200 Maków Mazowiecki";141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";1;1;277;416;63;387;15;26
4;"Zespół Szkół, ul. Duńskiego Czerwonego Krzyża 3, 06-200 Maków Mazowiecki";141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";1;1;207;449;76;451;19;21
5;"Miejski Dom Kultury, ul. Stanisława Moniuszki 2, 06-200 Maków Mazowiecki";141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";1;1;233;329;69;319;12;27
6;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół Zakładów w Makowie Mazowieckim, ul. Wincentego Witosa 2, 06-200 Maków Mazowiecki";141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";1;1;5;36;1;13;2;1
7;"Dom Pomocy Społecznej w Makowie Mazowieckim, ul. Mazowiecka 2, 06-200 Maków Mazowiecki";141101;"m. Maków Mazowiecki";"makowski";"mazowieckie";1;1;4;4;2;7;3;1
1;"Biblioteka Publiczna-Centrum Kultury w Czerwonce, Czerwonka Włościańska 40, 06-232 Czerwonka Szlachecka";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;38;157;24;120;1;11
2;"Świetlica Wiejska w Budzynie, Budzyno 31, 06-200 Maków Mazowiecki";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;40;80;14;64;2;1
3;"Świetlica Wiejska w Krzyżewo Markach, Krzyżewo-Marki 2A, 06-232 Czerwonka Szlachecka";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;5;61;3;21;1;6
