"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"HAŁASIK Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"DUDEK Jacek Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"SEKUŁA Joanna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Muzeum Miasta Jaworzna, ul. Pocztowa 5, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;160;323;693
2;"Szkoła Podstawowa Nr 13, ul. Urzędnicza 11, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;159;306;565
3;"Szkoła Podstawowa Nr 13, ul. Urzędnicza 11, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;186;302;439
4;"Zespół Szkół Ponadpodstawowych Nr 3, ul. Północna 9a, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;183;301;662
5;"I Liceum Ogólnokształcące, ul. Licealna 3, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;125;333;410
6;"Szkoła Podstawowa Nr 16, ul. 3 Maja 18, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;158;369;619
7;"Szkoła Podstawowa Nr 16, ul. 3 Maja 18, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;190;416;512
8;"Szkoła Podstawowa Nr 6, ul. Lipowa 24, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;192;349;550
9;"Szkoła Podstawowa Nr 6, ul. Lipowa 24, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;217;468;589
10;"Szkoła Podstawowa Nr 6, ul. Lipowa 24, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;198;353;688
11;"Przedszkole Miejskie Nr 18, ul. Na Stoku 12, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;160;421;616
12;"Klub Środowiskowy ""Niko"", ul. Na Stoku 10, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;240;517;788
13;"ATElier Kultury, ul. Wiosny Ludów 1, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;315;679;821
14;"Szkoła Podstawowa Nr 21, ul. Zwycięstwa 30, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;158;431;596
15;"Szkoła Podstawowa Nr 14, ul. Juliana Ursyna Niemcewicza 7a, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;234;459;815
16;"Zespół Szkolno-Przedszkolny Nr 1, ul. Jana Matejki 3, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;152;323;585
17;"Zespół Szkolno-Przedszkolny Nr 1, ul. Jana Matejki 3, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;189;326;481
18;"Przedszkole Miejskie Nr 1, ul. Karola Szymanowskiego 10, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;164;260;418
19;"Szkoła Podstawowa Nr 7, ul. Ławczana 12, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;153;349;464
20;"Szkoła Podstawowa Nr 7, ul. Ławczana 12, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;139;313;504
21;"Zespół Szkół Ogólnokształcących, ul. Towarowa 61, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;151;340;638
22;"Zespół Szkół Ogólnokształcących, ul. Towarowa 61, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;194;482;757
23;"Przedszkole Miejskie Nr 12, ul. Aleksandra Fredry 16, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;193;421;818
24;"Szkoła Podstawowa Nr 15, ul. Leśna 49, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;116;258;532
25;"Przedszkole Miejskie Nr 15, ul. Azot 16, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;136;179;349
26;"Szkoła Podstawowa Nr 4, ul. Karola Olszewskiego 76, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;88;188;391
27;"Szkoła Podstawowa Nr 11, ul. Jana III Sobieskiego 61, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;146;264;470
28;"Zespół Szkolno-Przedszkolny Nr 3, ul. Koszarowa 20, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;210;401;645
29;"Dom Kultury, ul. Jagiellońska 3, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;152;279;404
30;"Szkoła Podstawowa Nr 9, ul. Stefana Batorego 48, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;235;444;583
31;"Klub Środowiskowy ""Pod Skałką"", ul. Jarosława Dąbrowskiego 17, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;201;375;562
32;"Szkoła Podstawowa Nr 3, ul. Marcina Kasprzaka 6, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;141;196;339
33;"Szkoła Podstawowa Nr 18, ul. ks. Andrzeja Mroczka 53c, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;299;478;857
34;"Szkoła Podstawowa Nr 18, ul. ks. Andrzeja Mroczka 53c, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;278;542;631
35;"Szkoła Podstawowa nr 19, ul. Kasztanowa 33, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;226;444;655
36;"Szkoła Podstawowa Nr 3, ul. Marcina Kasprzaka 6, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;96;280;371
37;"Państwowa Szkoła Muzyczna I stopnia, ul. Inwalidów Wojennych 2a, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;134;286;405
38;"II Liceum Ogólnokształcące, ul. Marii Curie-Skłodowskiej 6, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;139;307;507
39;"Zespół Szkół Ponadpodstawowych Nr 4, ul. Armii Krajowej 5, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;153;344;383
40;"Zespół Szkół Ponadpodstawowych Nr 4, ul. Armii Krajowej 5, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;167;394;508
41;"Szkoła Podstawowa Nr 17, ul. Starowiejska 15, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;193;489;758
42;"Państwowa Szkoła Muzyczna I stopnia, ul. Inwalidów Wojennych 2a, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;38;78;129
43;"Szkoła Podstawowa Nr 8, ul. Spółdzielcza 9, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;302;516;1026
44;"Szkoła Podstawowa Nr 8, ul. Spółdzielcza 9, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;185;356;619
45;"Ośrodek Rehabilitacyjno-Wychowawczy dla Dzieci Niepełnosprawnych, ul. ks. Jana Sulińskiego 41, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;75;162;199
46;"Dom Pomocy Społecznej, ul. Obrońców Poczty Gdańskiej 63, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;7;36;6
47;"SP ZOZ Szpital Wielospecjalistyczny w Jaworznie, ul. Józefa Chełmońskiego 28, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;6;22;25
48;"Dom Seniora ""Jesień na Letniej"" w Jaworznie, ul. Letnia 1D, 43-600 Jaworzno";246801;"m. Jaworzno";"Jaworzno";"śląskie";1;1;7;7;18
1;"Przedszkole Miejskie Nr 11, ul. Krzysztofa Kamila Baczyńskiego 16, 41-203 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;127;190;468
2;"Szkoła Podstawowa Nr 12 (dawny Zespół Szkół Ogólnokształcących Nr 13), ul. Krzysztofa Kamila Baczyńskiego 14, 41-203 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;194;334;806
3;"Regionalne Centrum Kształcenia Ustawicznego w Sosnowcu, ul. Stalowa 9a, 41-214 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;218;420;821
4;"Szkoła Podstawowa Specjalna Nr 30 (dawny Zespół Szkół Specjalnych Nr 2), ul. Sucha 21, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;92;175;501
5;"Uniwersytet Śląski Wydział Nauk Ścisłych i Technicznych, Instytut Informatyki (dawny Wydział Informatyki i Nauki o Materiałach), ul. Będzińska 39, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;149;321;695
