"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MALISZEWSKA Iwona Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"JAKUBOWSKI Andrzej Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SYCHOWSKI Marcin Przemysław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GAWŁOWSKI Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ŁAGOCKI Marek Adam - KWW PAKT SENAT DLA OBYWATELI";"KURIATA Jan - KWW TAK DLA SENATU RP JAN KURIATA"
7;"Świetlica Wiejska w Stepieniu, Stepień 8, 78-421 Drzonowo";321503;"gm. Biały Bór";"szczecinecki";"zachodniopomorskie";1;1;9;71;25;45;4;25
8;"Świetlica Wiejska w Grabowie, Grabowo 51, 78-425 Biały Bór";321503;"gm. Biały Bór";"szczecinecki";"zachodniopomorskie";1;1;9;28;13;62;8;12
1;"Miejska Biblioteka Publiczna w Bornem Sulinowie, ul. Szpitalna 1, 78-449 Borne Sulinowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;68;273;92;475;50;55
2;"Budynek Kulturalno-Oświatowy przy Liceum Ogólnokształcącym, ul. Aleja Niepodległości 28, 78-449 Borne Sulinowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;64;200;47;387;37;37
3;"Świetlica wiejska w Łubowie, ul. Kościuszki 32, 78-445 Łubowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;35;180;37;216;29;22
4;"Świetlica wiejska w Juchowie, Juchowo 33, 78-446 Silnowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;42;146;49;165;40;36
5;"Szkoła Podstawowa w Jeleniu, Jeleń 2, 78-446 Silnowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;22;131;19;120;13;10
6;"Świetlica wiejska w Krągach, Krągi 12, 78-446 Silnowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;19;63;14;103;15;12
7;"Świetlica wiejska w Liszkowie, Liszkowo 23, 78-445 Łubowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;11;55;16;45;9;5
8;"Świetlica wiejska w Piławie, Piława 36, 78-446 Silnowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;10;39;10;74;11;5
9;"Świetlica wiejska w Rakowie, Rakowo 14, 78-445 Łubowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;15;41;9;43;5;6
10;"Świetlica wiejska w Silnowie, Silnowo 26, 78-446 Silnowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;22;70;13;108;22;14
11;"Środowiskowy Dom Samopomocy, ul. Targowa 5, 78-449 Borne Sulinowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;50;177;37;301;50;33
12;"Dom Pomocy Społecznej w Bornem Sulinowie, ul. Szpitalna 5, 78-449 Borne Sulinowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;8;27;3;28;1;9
13;"Prywatny Dom Opieki Rezydencje Senioralne Borne w Bornem Sulinowie, ul. Bolesława Chrobrego 5, 78-449 Borne Sulinowo";321504;"gm. Borne Sulinowo";"szczecinecki";"zachodniopomorskie";1;1;3;9;1;5;1;2
1;"Dom Szkoleniowy, ul. Kolejowa 2, 78-450 Grzmiąca";321505;"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";1;1;65;261;50;341;154;56
2;"Świetlica Wiejska, Mieszałki ul. Polna 1a, 78-450 Grzmiąca";321505;"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";1;1;20;114;27;73;26;17
3;"Szkoła Podstawowa, Iwin 12a, 78-451 Przeradz";321505;"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";1;1;15;78;35;80;28;21
4;"Klub Seniora, ul. Szkolna 3, 78-452 Krosino";321505;"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";1;1;22;81;21;103;20;16
5;"Świetlica Wiejska, Wielawino 50, 78-450 Grzmiąca";321505;"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";1;1;7;73;18;40;22;8
6;"Świetlica Wiejska, Sucha 12a, 78-450 Grzmiąca";321505;"gm. Grzmiąca";"szczecinecki";"zachodniopomorskie";1;1;10;52;10;41;12;4
1;"Szkoła Podstawowa w Wierzchowie, Wierzchowo 40, 78-411 Wierzchowo";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;62;203;77;215;41;35
2;"Centrum Wiejskie ""Mój Rynek"" w Sporem, Spore 6B, 78-400 Spore";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;17;106;26;133;12;16
3;"Szkoła Podstawowa w Parsęcku, Parsęcko 69, 78-400 Parsęcko";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;48;203;60;203;27;37
4;"Świetlica w Jeleninie, Jelenino 38A, 78-400 Jelenino";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;8;63;18;34;8;14
5;"Środowiskowy Dom Samopomocy w Turowie, ul. Szkolna 1, 78-400 Turowo";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;41;185;66;194;23;29
6;"Szkoła Podstawowa w Żółtnicy, ul. Szkolna 13, 78-400 Żółtnica";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;9;91;23;120;10;22
7;"Świetlica w Gwdzie Wielkiej, ul. Szczecinecka 15, 78-422 Gwda Wielka";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;32;177;30;194;23;32
8;"Świetlica w Sitnie, Sitno 24, 78-400 Sitno";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;4;52;15;55;3;8
9;"Fundacja Brata Alberta w Skotnikach, Skotniki 1, 78-400 Skotniki";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;10;56;20;48;15;9
10;"Świetlica w Dzikach, Dziki 10, 78-400 Dziki";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;10;34;11;23;5;8
11;"Świetlica w Wilczych Laskach, Wilcze Laski 19, 78-400 Wilcze Laski";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;32;83;22;57;14;8
12;"Świetlica w Omulnej, Omulna 7A, 78-400 Omulna";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;20;54;26;60;14;25
13;"Budynek Hydroforni, Marcelin 18C, 78-422 Marcelin";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;24;70;26;104;4;10
14;"Świetlica w Mosinie, Mosina 30, 78-400 Mosina";321506;"gm. Szczecinek";"szczecinecki";"zachodniopomorskie";1;1;17;60;10;46;13;4
1;"Przedszkole Nr 14, ul. Melchiora Wańkowicza 15, 75-445 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;62;238;56;394;75;153
2;"Bursa Międzyszkolna, ul. Jana Pawła II 17, 75-452 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;75;262;79;459;61;158
3;"Żłobek Miejski Oddział ""Smyk"", ul. Ignacego Chrzanowskiego 10, 75-327 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;101;291;103;678;94;197
4;"Przedszkole Nr 37, ul. Bronisława Spasowskiego 14a, 75-451 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;98;293;68;528;88;166
5;"Politechnika Koszalińska, ul. Śniadeckich 2, 75-453 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;93;291;61;568;101;155
6;"Przedszkole Nr 15, ul. Stanisława Staszica 11, 75-449 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;71;225;58;469;68;154
7;"Szkoła Podstawowa Nr 18, ul. Stanisława Staszica 6, 75-449 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;112;353;62;701;114;204
8;"Szkoła Podstawowa Nr 18 (dawne Gimnazjum Nr 9), ul. Stanisława Staszica 6, 75-449 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;83;262;72;453;78;131
9;"Przedszkole Nr 35, ul. Rodła 10, 75-361 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;98;298;51;758;103;203
10;"Szkoła Podstawowa Nr 17, ul. Melchiora Wańkowicza 11, 75-445 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;116;348;73;552;108;195
11;"Zespół Szkół Nr 9, ul. Melchiora Wańkowicza 26, 75-446 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;87;304;73;483;89;144
12;"Zespół Państwowych Szkół Muzycznych, ul. Juliana Fałata 32, 75-434 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;73;271;70;407;84;134
13;"Zespół Szkół Nr 7, ul. Orląt Lwowskich 18, 75-522 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;60;242;76;404;87;108
14;"Szkoła Podstawowa Nr 23, ul. Sportowa 19, 75-503 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;45;104;43;247;41;91
15;"Koszalińska Biblioteka Publiczna, pl. Plac Polonii 1, 75-415 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;55;144;45;292;65;101
16;"Szkoła Podstawowa Nr 10, ul. Fryderyka Chopina 42, 75-567 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;117;312;65;621;108;173
17;"Szkoła Podstawowa Nr 10, ul. Fryderyka Chopina 42, 75-567 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;86;301;86;520;137;188
18;"Przedszkole Nr 7, ul. Marszałka Józefa Piłsudskiego 44, 75-512 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;98;288;90;523;104;136
19;"Przedszkole Nr 22, ul. Tytusa Chałubińskiego 6, 75-581 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;91;204;74;553;83;191
20;"Szkoła Podstawowa Nr 3, ul. Jabłoniowa 23, 75-679 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;125;346;85;716;109;214
21;"Centrum Edukacji Nauczycieli, ul. Ferdynanda Ruszczyca 16, 75-654 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;122;282;93;721;116;235
22;"Szkoła Podstawowa Nr 3, ul. Jabłoniowa 23, 75-679 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;157;321;101;982;116;311
23;"II Liceum Ogólnokształcące im. Wł. Broniewskiego, ul. Józefa Chełmońskiego 7, 75-631 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;91;283;59;491;93;173
24;"II Liceum Ogólnokształcące im. Wł. Broniewskiego, ul. Józefa Chełmońskiego 7, 75-631 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;75;250;87;493;71;148
25;"Szkoła Podstawowa Nr 7, ul. Wojska Polskiego 36, 75-712 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;144;350;122;641;119;180
26;"Szkoła Podstawowa Nr 6, ul. Gnieźnieńska 3, 75-736 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;157;421;104;762;129;200
27;"Archiwum Państwowe, ul. Marii Skłodowskiej-Curie 2, 75-803 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;52;163;55;314;52;88
28;"Centrum Kultury ""105"", ul. Zwycięstwa 105, 75-001 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;23;96;28;145;29;56
29;"Szkoła Podstawowa Nr 13, ul. Rzemieślnicza 9, 75-243 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;70;239;85;428;91;119
30;"Przedszkole Nr 10, ul. Rzemieślnicza 6, 75-243 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;60;183;63;302;74;87
31;"I Liceum Ogólnokształcące im. St. Dubois, ul. Komisji Edukacji Narodowej 1, 75-070 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;58;200;58;377;69;99
32;"Zespół Szkół Nr 12, ul. Bolesława Krzywoustego 5, 75-064 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;69;156;60;238;59;61
33;"Przedszkole Nr 21, ul. Połczyńska 55, 75-808 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;128;267;112;721;119;169
34;"Szkoła Podstawowa Nr 9, ul. Powstańców Wielkopolskich 23, 75-100 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;98;237;79;457;91;117
35;"Miejska Energetyka Cieplna Sp. z o. o., ul. Łużycka 25a, 75-111 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;62;204;52;334;78;109
36;"Przedszkole Nr 12, ul. Lechicka 45, 75-842 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;42;123;35;217;36;55
37;"Koszalińska Biblioteka Publiczna Filia Nr 1, ul. Wenedów 24b/8, 75-847 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;127;222;98;658;130;172
38;"Żłobek Miejski Oddział ""Jacek i Agatka"", ul. Konstytucji 3 Maja 29, 75-823 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;86;249;66;374;73;111
39;"Zachodniopomorski Zarząd Dróg Wojewódzkich, ul. Szczecińska 31, 75-122 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;97;222;68;477;66;123
40;"Szkoła Podstawowa Integracyjna Nr 21, ul. Podgórna 55, 75-335 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;66;222;44;292;82;108
41;"Szkoła Podstawowa Nr 4, ul. Podgórna 45, 75-321 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;84;269;87;490;107;133
42;"Politechnika Koszalińska, ul. Eugeniusza Kwiatkowskiego 6e, 75-343 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;94;276;42;443;107;141
43;"Przedszkole Integracyjne, ul. Władysława IV 143, 75-342 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;191;364;135;1137;210;339
44;"VI Liceum Ogólnokształcące, ul. Stanisława Dąbka 1, 75-354 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;88;275;65;500;111;180
45;"Politechnika Koszalińska, ul. Eugeniusza Kwiatkowskiego 6e, 75-343 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;89;275;64;491;100;144
46;"Koszalińska Biblioteka Publiczna Filia Nr 12, ul. Spokojna 48B, 75-233 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;93;296;67;472;86;149
47;"Szkoła Podstawowa Nr 5, ul. Franciszkańska 102, 75-255 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;96;320;64;606;113;212
48;"Zespół Szkół Nr 8, ul. Morska 108, 75-235 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;116;272;80;589;89;162
49;"Przedszkole Integracyjne, ul. Szkolna 1, 75-900 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;69;221;58;430;106;108
50;"Ośrodek Sportowy, ul. Drzewna 10, 75-900 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;55;122;52;298;55;89
51;"Szpital Wojewódzki, ul. Tytusa Chałubińskiego 7, 75-581 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;9;28;9;49;6;9
52;"Specjalistyczny Zespół Gruźlicy i Chorób Płuc, ul. Niepodległości 44 - 48, 75-252 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;3;10;2;12;2;3
53;"Oddział Zewnętrzny Aresztu Śledczego, ul. Strefowa 17, 75-202 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;17;57;40;129;7;11
54;"Areszt Śledczy, ul. Młyńska 71, 75-422 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;21;44;23;129;6;9
55;"Dom Pomocy Społecznej ""Zielony Taras"", ul. Leonida Teligi 4, 75-206 Koszalin";326101;"m. Koszalin";"Koszalin";"zachodniopomorskie";1;1;3;5;0;9;1;7
