"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"OBRĘBALSKI Marek Adam - KW BEZPARTYJNI SAMORZĄDOWCY";"MRÓZ Krzysztof Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAWIŁA Marcin Edward - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"STRAUS Patryk Piotr - KW NOWA DEMOKRACJA - TAK";"PAWELCZYK Robert Sebastian - KW POLSKA 2050";"MISZTELA Damian - KWW NASZA LEWICA"
1;"Szkoła Podstawowa Nr 5, ul. Armii Krajowej 9, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;74;383;302;7;56;129
2;"Europejskie Centrum Młodzieży Euroregionu NYSA, ul. Parkowa 5, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;140;482;648;28;137;170
3;"Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego, ul. Wrocławska 30a, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;50;288;258;14;56;66
4;"Szkoła Podstawowa Nr 2, pl. Bankowy 1, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;64;354;298;11;52;108
5;"Dolnośląski Zespół Szkół w Jaworze, ul. kard. Stefana Wyszyńskiego 1, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;63;243;245;12;40;79
6;"Miejska Biblioteka Publiczna, pl. Seniora 4, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;57;308;266;12;54;88
7;"Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Stanisława Moniuszki 10, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;58;347;289;18;59;87
8;"Szkoła Podstawowa Nr 1, ul. Stanisława Moniuszki 4, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;71;356;287;12;54;102
9;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Ignacego Paderewskiego 6, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;92;392;411;21;91;111
10;"Hufiec ZHP w Jaworze, ul. Jurija Gagarina 9A, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;66;432;306;20;70;123
11;"Oddział zamiejscowy Przedszkola Publicznego nr 4, ul. Romana Dmowskiego 5, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;88;442;379;16;57;86
12;"Szkoła Podstawowa nr 4, ul. Starojaworska 82, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;61;337;234;9;43;75
13;"Dom Pomocy Społecznej w Jaworze, pl. Seniora 3, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;2;17;2;3;1;3
14;"Jaworskie Centrum Medyczne Sp. z o. o., ul. Szpitalna 3, 59-400 Jawor";20501;"m. Jawor";"jaworski";"dolnośląskie";1;1;1;19;6;0;0;4
1;"Centrum Kulturalno-Biblioteczne Gminy Bolków, ul. Szpitalna 16, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;40;232;265;9;49;96
2;"Galeria Historyczno-Artystyczna ARS ET HISTORIA w Bolkowie, ul. Niepodległości 10, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;53;214;261;18;52;71
3;"Zakład Gospodarki Komunalnej w Bolkowie, ul. Kolejowa 5, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;64;281;266;21;32;90
4;"Przedszkole Samorządowe, ul. Henryka Sienkiewicza 39, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;24;114;117;16;28;60
5;"Świetlica Wiejska, Mysłów 44, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;17;107;63;2;14;81
6;"Świetlica Wiejska, Kaczorów ul. Nowa Wieś 1B, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;26;134;133;15;25;29
7;"Świetlica Wiejska, Lipa 67, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;26;174;69;2;16;80
8;"Szkoła Podstawowa, Sady Górne 94, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;13;81;73;8;12;30
9;"Świetlica Wiejska, Wierzchosławice 106, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;21;170;140;13;28;42
10;"Świetlica Wiejska, Stare Rochowice 53, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;18;90;46;7;12;13
11;"Świetlica Wiejska, Wolbromek 43B, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;24;76;69;4;23;37
12;"Świetlica Wiejska, Sady Dolne 37A, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;15;55;73;6;20;28
13;"Dom Pomocy Społecznej w Jaworze Filia w Bolkowie, ul. Kamiennogórska 3, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;2;9;0;3;3;3
14;"Zakład Opiekuńczo-Leczniczy w Bolkowie, ul. Wysokogórska 19, 59-420 Bolków";20502;"gm. Bolków";"jaworski";"dolnośląskie";1;1;0;1;2;0;0;0
1;"Zespół Szkolno-Przedszkolny w Męcince, Męcinka 10B, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;48;212;156;13;44;26
2;"Świetlica Wiejska, Małuszów 17, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;18;115;43;5;6;5
3;"Była Szkoła Filialna, Pomocne 51, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;34;147;83;15;28;33
4;"Zespół Szkolno-Przedszkolny w Piotrowicach, Piotrowice 139, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;57;285;178;6;31;75
5;"Świetlica Wiejska, Chroślice 9B, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;14;73;25;5;12;16
6;"Świetlica Wiejska, Sichów 9, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;24;104;50;2;16;22
7;"Świetlica Wiejska, Słup 31, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;10;64;38;6;11;15
8;"Świetlica Wiejska, Przybyłowice 19, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;13;61;36;4;14;5
9;"Świetlica Wiejska, Myślinów 38C, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;23;97;44;3;10;27
10;"Świetlica Wiejska, Chełmiec 31A, 59-424 Męcinka";20503;"gm. Męcinka";"jaworski";"dolnośląskie";1;1;16;107;47;8;10;20
1;"Zespół Szkolno-Przedszkolny w Targoszynie, Targoszyn 51, 59-407 Mściwojów";20504;"gm. Mściwojów";"jaworski";"dolnośląskie";1;1;57;262;191;9;42;47
2;"Szkoła Podstawowa w Snowidzy, Snowidza 91A, 59-407 Mściwojów";20504;"gm. Mściwojów";"jaworski";"dolnośląskie";1;1;54;237;244;18;53;65
3;"Świetlica wiejska w Mściwojowie, Mściwojów 54B, 59-407 Mściwojów";20504;"gm. Mściwojów";"jaworski";"dolnośląskie";1;1;72;270;216;20;65;57
1;"Świetlica Wiejska w Paszowicach, Paszowice 136, 59-411 Paszowice";20505;"gm. Paszowice";"jaworski";"dolnośląskie";1;1;106;460;301;15;95;116
2;"Świetlica Wiejska w Wiadrowie, Wiadrów 39A, 59-411 Paszowice";20505;"gm. Paszowice";"jaworski";"dolnośląskie";1;1;79;310;215;24;60;74
3;"Świetlica Wiejska w Zębowicach, Zębowice 43, 59-411 Paszowice";20505;"gm. Paszowice";"jaworski";"dolnośląskie";1;1;38;102;83;3;21;38
1;"Szkoła Podstawowa, Budziszów Wielki 10, 59-430 Wądroże Wielkie";20506;"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";1;1;94;421;272;22;107;106
2;"Szkoła Podstawowa, Wądroże Wielkie 169, 59-430 Wądroże Wielkie";20506;"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";1;1;80;370;314;25;81;109
3;"Dom Pomocy Społecznej w Jaworze Filia w Mierczycach, Mierczyce 34, 59-430 Wądroże Wielkie";20506;"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";1;1;0;8;3;2;4;7
1;"Niepubliczna Szkoła Podstawowa w Karpaczu, Szkoła 707, ul. Myśliwska 15c, 58-540 Karpacz";20601;"m. Karpacz";"karkonoski";"dolnośląskie";1;1;63;169;417;10;51;64
2;"Szkoła Podstawowa w Karpaczu, ul. Konstytucji 3 Maja 48a, 58-540 Karpacz";20601;"m. Karpacz";"karkonoski";"dolnośląskie";1;1;48;125;345;8;50;73
3;"Hala Widowiskowo-Sportowa, ul. Konstytucji 3 Maja 48b, 58-540 Karpacz";20601;"m. Karpacz";"karkonoski";"dolnośląskie";1;1;42;225;386;3;36;48
4;"OKW ""Krucze Skały"", ul. Wilcza 1, 58-540 Karpacz";20601;"m. Karpacz";"karkonoski";"dolnośląskie";1;1;74;205;569;15;81;95
5;"Muzeum Zabawek, ul. Kolejowa 3, 58-540 Karpacz";20601;"m. Karpacz";"karkonoski";"dolnośląskie";1;1;50;119;349;9;31;49
6;"Centrum Medyczne Karpacz SA, ul. Myśliwska 13, 58-540 Karpacz";20601;"m. Karpacz";"karkonoski";"dolnośląskie";1;1;6;18;16;1;1;5
1;"Miejska Biblioteka Publiczna Filia Wojków, ul. Wojska Polskiego 4/10, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;30;95;182;11;22;43
2;"Miejski Ośrodek Pomocy Społecznej, ul. Zamkowa 5, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;55;176;302;13;51;60
3;"Szkoła Podstawowa nr 3, ul. 1 Maja 72, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;90;290;458;23;48;98
4;"Szkoła Podstawowa nr 1 Centrum Wczesnej Profilaktyki Zdrowotnej, ul. Stanisława Staszica 18, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;92;261;409;18;55;75
5;"Miejski Ośrodek Kultury, ul. Szkolna 2, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;100;375;702;20;72;117
6;"Zespół Szkół Ogólnokształcących, ul. Szkolna 1, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;65;146;299;9;49;61
7;"Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej Jednostka Zamiejscowa „Wysoka Łąka”, ul. Sanatoryjna 27, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;7;28;17;2;5;4
8;"Powiatowe Centrum Zdrowia Spółka z o. o. w Kowarach, Szpital „Bukowiec”, ul. Sanatoryjna 15, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;7;31;16;1;8;8
9;"Dom Pomocy Społecznej, ul. Ludwika Waryńskiego 38, 58-530 Kowary";20602;"m. Kowary";"karkonoski";"dolnośląskie";1;1;3;7;11;3;0;2
1;"Przedszkole Samorządowe nr 1 w Piechowicach, ul. Kryształowa 77, 58-573 Piechowice";20603;"m. Piechowice";"karkonoski";"dolnośląskie";1;1;50;178;367;16;46;75
2;"Szkoła Podstawowa nr 1 w Piechowicach, ul. Szkolna 6, 58-573 Piechowice";20603;"m. Piechowice";"karkonoski";"dolnośląskie";1;1;71;255;449;13;63;82
3;"Szkoła Podstawowa nr 2 im. Jana Pawła II w Piechowicach, ul. Tysiąclecia 28, 58-573 Piechowice";20603;"m. Piechowice";"karkonoski";"dolnośląskie";1;1;78;256;516;9;59;77
4;"Szkoła Podstawowa nr 2 im. Jana Pawła II w Piechowicach, ul. Tysiąclecia 28, 58-573 Piechowice";20603;"m. Piechowice";"karkonoski";"dolnośląskie";1;1;37;155;250;6;45;33
1;"Budynek po byłej Szkole Podstawowej Nr 3, ul. Kolejowa 22, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;33;73;143;3;27;15
2;"Ośrodek Szkoleniowo-Wypoczynkowy Rzemieślnik, ul. Górna 21, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;57;120;264;10;38;40
3;"Miejski Ośrodek Kultury, Sportu i Aktywności Lokalnej, ul. Juliusza Słowackiego 13, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;50;135;300;13;35;59
4;"Zespół Szkół Ogólnokształcących i Mistrzostwa Sportowego, ul. Obrońców Pokoju 17, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;26;105;210;7;35;37
5;"Urząd Miejski, ul. Granitowa 2, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;70;217;477;15;65;76
6;"Szkoła Podstawowa Nr 1, ul. 1 Maja 32, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;97;291;638;21;118;132
7;"Izerskie Centrum Pulmonologii i Chemioterapii „Izer-Med” Sp. z o. o., ul. Sanatoryjna 1, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;1;10;8;0;1;3
8;"Sudecki Dom Seniora ""Słoneczna Polana"", ul. Franciszkańska 30, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;2;2;7;0;1;2
9;"Izerskie Centrum Pulmonologii i Chemioterapii „Izer-Med” Sp. z o. o., ul. Szpitalna 1, 58-580 Szklarska Poręba";20604;"m. Szklarska Poręba";"karkonoski";"dolnośląskie";1;1;2;2;0;0;0;1
1;"Świetlica Wiejska, Komarno 88, 58-508 Jelenia Góra";20605;"gm. Janowice Wielkie";"karkonoski";"dolnośląskie";1;1;49;124;220;12;43;42
2;"Centrum Informacji Turystycznej, Radomierz 60a, 58-520 Janowice Wielkie";20605;"gm. Janowice Wielkie";"karkonoski";"dolnośląskie";1;1;25;72;110;7;11;11
3;"Świetlica Wiejska, Trzcińsko 71, 58-520 Janowice Wielkie";20605;"gm. Janowice Wielkie";"karkonoski";"dolnośląskie";1;1;32;83;113;8;32;32
4;"Szkoła Podstawowa im. W. Rutkiewicz, ul. Partyzantów 4, 58-520 Janowice Wielkie";20605;"gm. Janowice Wielkie";"karkonoski";"dolnośląskie";1;1;54;147;244;9;23;48
5;"Przedszkole Publiczne „Kolorowa Kraina”, ul. Wojska Polskiego 5A, 58-520 Janowice Wielkie";20605;"gm. Janowice Wielkie";"karkonoski";"dolnośląskie";1;1;60;143;305;9;29;46
6;"Wojewódzki Szpital Rehabilitacyjny w Janowicach Wielkich, ul. Sudecka 15, 58-520 Janowice Wielkie";20605;"gm. Janowice Wielkie";"karkonoski";"dolnośląskie";1;1;12;45;46;1;6;10
1;"Urząd Gminy, ul. Długa 63, 58-521 Jeżów Sudecki";20606;"gm. Jeżów Sudecki";"karkonoski";"dolnośląskie";1;1;191;408;1085;26;105;111
2;"Punkt Biblioteczny, Dziwiszów 157, 58-508 Jelenia Góra";20606;"gm. Jeżów Sudecki";"karkonoski";"dolnośląskie";1;1;83;162;448;21;59;71
3;"Szkoła Podstawowa, Siedlęcin ul. Kościelna 5, 58-508 Jelenia Góra";20606;"gm. Jeżów Sudecki";"karkonoski";"dolnośląskie";1;1;67;242;368;9;58;56
4;"Szkoła Podstawowa, Czernica 125, 58-521 Jeżów Sudecki";20606;"gm. Jeżów Sudecki";"karkonoski";"dolnośląskie";1;1;57;203;287;13;39;47
1;"Gminny Ośrodek Kultury w Mysłakowicach, ul. Ignacego Daszyńskiego 29, 58-533 Mysłakowice";20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";1;1;109;240;520;9;90;69
2;"Szkoła Podstawowa w Mysłakowicach, ul. Sułkowskiego 1, 58-533 Mysłakowice";20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";1;1;119;337;640;22;101;87
3;"Świetlica w Łomnicy przy Gminnym Ośrodku Kultury w Mysłakowicach, Łomnica ul. Karkonoska 36, 58-508 Jelenia Góra";20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";1;1;99;353;495;12;85;70
4;"Muzeum Tajemniczy Las przy Fundacji Doliny Pałaców i Ogrodów Kotliny Jeleniogórskiej w Bukowcu, Bukowiec ul. Robotnicza 9, 58-533 Mysłakowice";20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";1;1;29;99;127;10;22;26
5;"Świetlica w Karpnikach przy Gminnym Ośrodku Kultury w Mysłakowicach (sala gimnastyczna), Karpniki ul. Rudawska 8, 58-533 Mysłakowice";20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";1;1;66;170;225;5;46;35
6;"Świetlica, Dąbrowica 45, 58-508 Jelenia Góra";20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";1;1;24;91;66;6;16;20
7;"Świetlica w Wojanowie przy Gminnym Ośrodku Kultury w Mysłakowicach, Wojanów 38, 58-508 Jelenia Góra";20607;"gm. Mysłakowice";"karkonoski";"dolnośląskie";1;1;47;125;165;4;35;22
