"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZYWACZEWSKA Kamila - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUDA Jolanta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZAJĄC Józef - KWW JÓZEFA ZAJĄCA"
4;"Szkoła Podstawowa, Zaświatycze 46, 22-220 Hanna";61902;"gm. Hanna";"włodawski";"lubelskie";1;1;97;52;105
5;"Szkoła Podstawowa, Holeszów 119/14, 22-220 Hanna";61902;"gm. Hanna";"włodawski";"lubelskie";1;1;65;44;67
1;"Dom Kultury w Dubecznie, Dubeczno ul. Szkolna 5, 22-235 Hańsk Pierwszy";61903;"gm. Hańsk";"włodawski";"lubelskie";1;1;196;75;142
2;"Świetlica w Osowie, Osowa 55, 22-235 Hańsk Pierwszy";61903;"gm. Hańsk";"włodawski";"lubelskie";1;1;110;30;64
3;"Gminny Ośrodek Kultury, ul. Osiedlowa 6, 22-235 Hańsk Pierwszy";61903;"gm. Hańsk";"włodawski";"lubelskie";1;1;422;112;259
4;"Świetlica w Kulczynie, Kulczyn 68, 22-235 Hańsk Pierwszy";61903;"gm. Hańsk";"włodawski";"lubelskie";1;1;119;36;69
1;"Centrum Kultury, Sportu i Rekreacji, Stary Brus 34, 22-244 Stary Brus";61904;"gm. Stary Brus";"włodawski";"lubelskie";1;1;274;81;151
2;"Remiza OSP, Wołoskowola 60, 22-244 Stary Brus";61904;"gm. Stary Brus";"włodawski";"lubelskie";1;1;151;45;44
3;"Remiza OSP, Hola 24, 22-244 Stary Brus";61904;"gm. Stary Brus";"włodawski";"lubelskie";1;1;57;14;27
4;"Świetlica wiejska, Dominiczyn 40, 22-244 Stary Brus";61904;"gm. Stary Brus";"włodawski";"lubelskie";1;1;128;16;36
1;"Budynek Szkoły Podstawowej, Wytyczno 143, 22-234 Urszulin";61905;"gm. Urszulin";"włodawski";"lubelskie";1;1;169;38;89
2;"Budynek Zespołu Szkół w Urszulinie (Szkoła Podstawowa), ul. Szkolna 23, 22-234 Urszulin";61905;"gm. Urszulin";"włodawski";"lubelskie";1;1;348;102;237
3;"Świetlica wiejska, Wereszczyn 40, 22-234 Urszulin";61905;"gm. Urszulin";"włodawski";"lubelskie";1;1;167;24;51
4;"Świetlica wiejska, Wola Wereszczyńska 2A, 22-234 Urszulin";61905;"gm. Urszulin";"włodawski";"lubelskie";1;1;213;41;48
5;"Gminna Biblioteka Publiczna w Urszulinie, ul. Lubelska 31, 22-234 Urszulin";61905;"gm. Urszulin";"włodawski";"lubelskie";1;1;477;103;191
1;"Świetlica wiejska w Okunince, Okuninka ul. Leśniczówka 1, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;133;54;137
2;"Świetlica wiejska w Susznie, Suszno ul. Poleska 4, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;256;156;325
3;"Świetlica wiejska w Żukowie, Żuków 27, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;108;44;69
4;"Szkoła Podstawowa w Różance, Różanka ul. Róży Marii Zamoyskiej 1, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;82;43;105
5;"Świetlica szkolna Szkoły Podstawowej, Różanka ul. Róży Marii Zamoyskiej 1, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;40;21;49
6;"Świetlica wiejska, Korolówka-Osada 12A, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;50;29;49
7;"Świetlica wiejska w Sobiborze, Sobibór 39 A, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;106;34;58
8;"Szkoła Podstawowa w Orchówku, Orchówek ul. Szkolna 35, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;195;115;200
9;"Świetlica wiejska w Korolówce, Korolówka 84a, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;96;39;70
10;"Świetlica Wiejska, Stawki 19A, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;65;26;35
11;"Świetlica Wiejska, Szuminka 36A, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;68;20;39
12;"Dom Pomocy Społecznej, Różanka ul. Parkowa 14, 22-200 Włodawa";61906;"gm. Włodawa";"włodawski";"lubelskie";1;1;59;19;9
1;"Świetlica, Uhrusk 46, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;105;36;105
2;"Urząd Gminy Wola Uhruska, ul. Parkowa 5, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;133;43;153
3;"Zespół Szkół, ul. Gimnazjalna 34, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;120;34;119
4;"Ośrodek ""Pompka"", ul. Turystyczna 5, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;91;22;101
5;"Świetlica, Stulno 89, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;147;42;84
6;"Świetlica, Piaski 27, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;101;28;64
7;"Świetlica, Siedliszcze 68B, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;53;17;50
8;"Świetlica, Bytyń 86, 22-230 Wola Uhruska";61907;"gm. Wola Uhruska";"włodawski";"lubelskie";1;1;74;33;53
1;"Urząd Gminy w Wyrykach, Wyryki-Połód 154, 22-205 Wyryki";61908;"gm. Wyryki";"włodawski";"lubelskie";1;1;329;98;47
2;"Świetlica wiejska w Suchawie, Suchawa 8B, 22-200 Włodawa";61908;"gm. Wyryki";"włodawski";"lubelskie";1;1;61;36;31
3;"Świetlica wiejska w Lubieniu, Lubień 99A, 22-205 Wyryki";61908;"gm. Wyryki";"włodawski";"lubelskie";1;1;56;22;10
4;"Filia Gminnej Biblioteki Publicznej w Horostycie, Horostyta 51, 22-205 Wyryki";61908;"gm. Wyryki";"włodawski";"lubelskie";1;1;67;28;60
5;"Szkoła Podstawowa w Kaplonosach, Kaplonosy 73, 22-205 Wyryki";61908;"gm. Wyryki";"włodawski";"lubelskie";1;1;75;25;55
6;"Świetlica OSP w Zahajkach, Zahajki 11, 22-205 Wyryki";61908;"gm. Wyryki";"włodawski";"lubelskie";1;1;62;31;25
7;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Gruźlicy i Chorób Płuc, Adampol 37, 22-200 Włodawa";61908;"gm. Wyryki";"włodawski";"lubelskie";1;1;11;3;3
1;"ELMAT (lokal obok stacji CPN), ul. Włodawska 5, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;318;112;563
2;"Budynek Szkoły Podstawowej Nr 7, ul. Synów Pułku 15, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;375;133;719
3;"Budynek Przedszkola Miejskiego nr 10, ul. Zachodnia 49, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;414;125;620
4;"Budynek Zespołu Szkolno-Przedszkolnego nr 3 z Oddziałami Integracyjnymi, ul. Rejowiecka 76, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;270;83;521
5;"Budynek Szkoły Policealnej-Medyczne Studium Zawodowe im. Władysławy Szoc, ul. Szpitalna 50, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;315;162;677
6;"Budynek II Liceum Ogólnokształcącego, ul. Szpitalna 14, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;125;58;234
7;"Budynek Zespołu Wychowania i Pomocy Psychologiczno-Pedagogicznej nr 1, ul. Trubakowska 59, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;247;92;446
8;"Budynek Przedszkola Miejskiego nr 11, ul. al. Marszałka Józefa Piłsudskiego 25a, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;355;131;671
9;"Budynek Szkoły Podstawowej nr 1 z Oddziałami Integracyjnymi, ul. Wołyńska 1, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;230;74;401
10;"Budynek Miejskiego Samodzielnego Publicznego Zakładu Opieki Zdrowotnej Przychodnia Rejonowa nr 1, ul. Wołyńska 11, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;266;103;472
11;"Budynek Chełmskiego Domu Kultury, pl. Tysiąclecia Państwa Polskiego 1, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;361;137;567
12;"Budynek, Klub ""CHAESEMUS"" Chełmskiej Spółdzielni Mieszkaniowej, ul. Starościńska 4a, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;226;83;502
13;"Budynek Językowego Przedszkola Integracyjnego ""W Kasztanowym Parku"", ul. Lubelska 4, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;241;90;450
14;"Budynek Zespołu Szkół Gastronomicznych i Hotelarskich, ul. Reformacka 13, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;212;87;470
15;"Budynek Przedszkola Miejskiego nr 5, ul. Kwiatowa 1, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;228;101;602
16;"Budynek Szkoły Podstawowej nr 2, ul. Obłońska 51, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;221;103;448
17;"Budynek I Liceum Ogólnokształcącego, ul. Stefana Czarnieckiego 8, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;157;60;230
18;"Budynek Zespołu Szkół Budowlanych i Geodezyjnych, ul. Stefana Batorego 1, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;167;54;276
19;"Budynek Miejskiego Przedsiębiorstwa Gospodarki Komunalnej Sp. z o. o., ul. Wołyńska 57, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;329;123;695
20;"Budynek Zespołu Szkół Energetycznych i Transportowych, ul. Jagiellońska 29, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;94;33;187
21;"Budynek Przedszkola Niepublicznego z Oddziałami Integracyjnymi ""Razem"", ul. Botaniczna 16, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;381;121;641
22;"Budynek Szkoły Podstawowej nr 4 z Oddziałami Integracyjnymi, ul. Prymasa Stefana Wyszyńskiego 15, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;199;62;292
23;"Budynek Państwowej Szkoły Muzycznej I i II stopnia., ul. Hrubieszowska 102, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;307;126;666
24;"Budynek Państwowej Akademii Nauk Stosowanych, ul. Wojsławicka 8b, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;187;70;421
25;"Budynek Szkoły Podstawowej nr 6, ul. Powstańców Warszawy 10, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;299;89;566
26;"Budynek Przedszkola Miejskiego nr 14, ul. Generała Stefana Grota-Roweckiego 4a, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;300;111;791
27;"Budynek Przedszkola Miejskiego nr 15, ul. Henryka Wieniawskiego 3, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;301;98;540
28;"Budynek Biblioteki Pedagogicznej, ul. Henryka Wieniawskiego 15, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;364;152;861
29;"Przedszkole Montessori ToTu, ul. Karola Szymanowskiego 8, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;269;82;537
30;"Budynek Przedszkola Miejskiego Nr 13 z Oddziałami Integracyjnymi, ul. Połaniecka 5, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;289;90;534
31;"Budynek Żłobka Miejskiego ""Chełmskie Niedźwiadki"", ul. Wolności 20, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;346;100;561
32;"Budynek Szkoły Podstawowej Nr 8, ul. Połaniecka 10, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;272;85;530
33;"Budynek Spółdzielni Mieszkaniowej ""Bazylany"", ul. Aleja 3-go Maja 6, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;278;139;657
34;"Budynek Przedszkola Miejskiego Nr 8, ul. Mikołaja Reja 54, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;105;49;220
35;"Budynek Zakładu Karnego, ul. Kolejowa 112, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;52;121;76
36;"Budynek Samodzielnego Publicznego Wojewódzkiego Szpitala Specjalistycznego, ul. Ceramiczna 1, 22-100 Chełm";66201;"m. Chełm";"Chełm";"lubelskie";1;1;90;29;66
