"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WOŹNIAK Piotr Jan - KW NOWA LEWICA";"LORENC Marcin Remigiusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"LAKWA Henryk Ryszard - KWW MNIEJSZOŚĆ NIEMIECKA"
48;"Publiczna Szkoła Podstawowa Nr 20, ul. Grudzicka 48, 45-432 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;933;352;120
49;"Młodzieżowy Dom Kultury Filia Nr 3, ul. Aleja Przyjaźni 12, 45-573 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;486;245;143
50;"Zespół Szkolno-Przedszkolny Nr 2-Publiczna Szkoła Podstawowa Nr 16, ul. Zofii Nałkowskiej 16, 45-558 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;426;227;110
51;"Zespół Szkolno-Przedszkolny Nr 2-Publiczna Szkoła Podstawowa Nr 16, ul. Zofii Nałkowskiej 16, 45-558 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;458;167;73
52;"Publiczna Szkoła Podstawowa Nr 26, ul. Groszowicka 12, 45-517 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;1182;387;326
53;"Świetlica-Malina, ul. Malownicza 2, 45-681 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;305;153;186
54;"Publiczna Szkoła Podstawowa Nr 24, ul. Wiktora Gorzołki 4, 45-627 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;363;155;141
55;"Publiczna Szkoła Podstawowa Nr 24, ul. Wiktora Gorzołki 4, 45-627 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;319;172;208
56;"Przedszkole Publiczne Nr 44, ul. Oświęcimska 94, 45-641 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;413;209;58
57;"Narodowe Centrum Polskiej Piosenki-Klub osiedlowy „Metalchem”, ul. Oświęcimska 90, 45-643 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;488;244;82
58;"Zespół Szkół Specjalnych, ul. Książąt Opolskich 21, 45-005 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;652;346;97
59;"Zespół Szkół Ogólnokształcących Nr II, ul. gen. Kazimierza Pułaskiego 3, 45-048 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;903;294;101
60;"Zespół Szkół Mechanicznych, ul. Edmunda Osmańczyka 22, 45-027 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;706;295;96
61;"Urząd Miasta Opola-Wydział Oświaty, ul. Henryka Sienkiewicza 6, 45-037 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;489;179;62
62;"Zespół Szkół Elektrycznych, ul. Tadeusza Kościuszki 39 - 41, 45-062 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;648;207;85
63;"Publiczne Liceum Ogólnokształcące Nr VIII, ul. Ozimska 48a, 45-368 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;667;239;91
64;"Miejski Ośrodek Doskonalenia Nauczycieli w Opolu w Miejskim Centrum Wspomagania Edukacji w Opolu, ul. Powstańców Śląskich 19, 45-086 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;582;208;91
65;"Publiczna Szkoła Podstawowa Nr 1, ul. Władysława Reymonta 43, 45-072 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;688;261;84
66;"Zespół Szkół Elektrycznych, ul. Tadeusza Kościuszki 39 - 41, 45-062 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;664;242;95
67;"Publiczne Liceum Ogólnokształcące Nr VIII, ul. Ozimska 48a, 45-368 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;738;348;87
68;"Przedszkole Publiczne Nr 21, ul. Wojciecha Drzymały 28, 45-342 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;328;121;43
69;"Publiczna Szkoła Podstawowa Nr 2 Budynek B, ul. 1 Maja 151, 45-356 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;586;304;89
70;"Publiczna Szkoła Podstawowa Nr 2 Budynek A, ul. Katowicka 35, 45-061 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;704;222;89
71;"Miejski Ośrodek Pomocy Rodzinie w Opolu, ul. Armii Krajowej 36, 45-071 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;590;232;74
72;"Publiczna Szkoła Podstawowa Nr 2 Budynek B, ul. 1 Maja 151, 45-356 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;460;231;83
73;"Kliniczne Centrum Ginekologii, Położnictwa i Neonatologii w Opolu, ul. Władysława Reymonta 8, 45-066 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;26;6;4
74;"Uniwersytecki Szpital Kliniczny w Opolu, ul. Aleja Wincentego Witosa 26, 45-401 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;60;41;23
75;"Szpital Wojewódzki w Opolu sp. z o. o., ul. Augustyna Kośnego 53, 45-372 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;54;41;15
76;"Wojewódzki Szpital Specjalistyczny im. św. Jadwigi w Opolu, ul. Wodociągowa 4, 45-221 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;45;24;16
77;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji w Opolu, ul. Krakowska 44, 45-075 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;6;8;2
78;"Dom Pomocy Społecznej dla Kombatantów w Opolu, ul. Chmielowicka 6, 45-758 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;12;25;13
79;"Areszt Śledczy w Opolu, ul. Sądowa 4, 45-033 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;160;29;68
80;"Oddział Zewnętrzny Aresztu Śledczego w Opolu, ul. Partyzancka 72, 45-853 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;26;10;7
81;"116 Szpital Wojskowy z Przychodnią SPZOZ w Opolu, ul. Walerego Wróblewskiego 46, 45-759 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;13;13;12
82;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Opolskie Centrum Onkologii im. prof. Tadeusza Koszarowskiego w Opolu, ul. Katowicka 66a, 45-061 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;24;19;3
83;"Zakład Opiekuńczo-Leczniczy w Opolu, ul. Prószkowska 72, 45-758 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;9;5;5
84;"Dom Seniora Pogodna Jesień, ul. Rozmarynowa 3, 45-403 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;26;11;3
85;"Dom Studenta ""Mrowisko"", ul. Katowicka 87, 45-060 Opole";166101;"m. Opole";"Opole";"opolskie";1;1;50;6;2
