"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BOGUCKA Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"MALEWSKI Bartosz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SNARSKI Sławomir Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
6;"Szpital Ogólny w Wysokiem Mazowieckiem, Oddział Rehabilitacyjny w Krzyżewie, Oddział Rehabilitacji Pulmonologicznej w Krzyżewie, Krzyżewo 30, 18-218 Sokoły";201308;"gm. Sokoły";"wysokomazowiecki";"podlaskie";1;1;19;5;5
1;"sala konferencyjna Urzędu Miejskiego w Szepietowie, ul. Główna 6, 18-210 Szepietowo";201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";1;1;224;77;169
2;"Gminny Ośrodek Kultury w Szepietowie, ul. Henryka Sienkiewicza 52, 18-210 Szepietowo";201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";1;1;329;101;280
3;"Ochotnicza Straż Pożarna w Średnicy-Maćkowiętach, Średnica-Maćkowięta 16, 18-210 Szepietowo";201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";1;1;265;79;62
4;"Ochotnicza Straż Pożarna w Dąbrowie-Moczydłach, Dąbrowa-Moczydły 34, 18-210 Szepietowo";201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";1;1;559;132;140
5;"Szkoła Podstawowa w Dąbrówce Kościelnej, Dąbrówka Kościelna 35, 18-210 Szepietowo";201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";1;1;485;106;147
6;"Szkoła Podstawowa w Wojnach-Krupach, Wojny-Krupy 11, 18-210 Szepietowo";201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";1;1;277;38;35
7;"Izba Tradycji w Wojnach-Szubach Włościańskich, Wojny-Szuby Włościańskie 1A, 18-210 Szepietowo";201309;"gm. Szepietowo";"wysokomazowiecki";"podlaskie";1;1;93;34;31
1;"Urząd Gminy Wysokie Mazowieckie, ul. Mickiewicza 1A, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;470;165;169
2;"Szkoła Podstawowa w Jabłonce Kościelnej, Jabłonka Kościelna 50, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;493;141;114
3;"Świetlica Wiejska w Starej Rusi, Stara Ruś 17A, 18-218 Sokoły";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;86;29;26
4;"Remiza OSP w Dąbrowie-Dzięcieli, Dąbrowa-Dzięciel 1A, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;112;32;43
5;"Szkoła Podstawowa w Święcku Wielkim, Święck Wielki 29B, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;114;33;26
6;"Remiza OSP w Kalinowie-Czosnowie, Kalinowo-Czosnowo 30A, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;160;29;40
7;"Świetlica Wiejska w Gołaszach-Puszczy, Gołasze-Puszcza 37A, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;118;14;39
8;"Wiejski Dom Kultury w Mazurach, Mazury 28, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;121;51;19
9;"Świetlica Wiejska w Brykach, Bryki 45A, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;81;30;20
10;"Świetlica Wiejska w Osipach-Kolonii, Osipy-Kolonia 27C, 18-200 Wysokie Mazowieckie";201310;"gm. Wysokie Mazowieckie";"wysokomazowiecki";"podlaskie";1;1;57;21;26
