"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZTORC Józef - KW BEZPARTYJNI SAMORZĄDOWCY";"SORYS Stanisław Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WIATR Kazimierz Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"POŚWIATOWSKI Mirosław Sergiusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLICH Dariusz Zbigniew - KW POLSKA JEST JEDNA"
34;"Przedszkole Publiczne Nr 31, ul. Promienna Nr 13, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;70;261;246;48;53
35;"Przedszkole Publiczne Nr 32, ul. Długa Nr 23A, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;92;474;413;93;77
36;"Szkoła Podstawowa Nr 8 im. K. K. Baczyńskiego, ul. Bitwy pod Studziankami Nr 5, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;51;254;226;42;43
37;"Szkoła Podstawowa Nr 8 im. K. K. Baczyńskiego, ul. Bitwy pod Studziankami Nr 5, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;41;243;167;29;34
38;"Szkoła Podstawowa Nr 5 im. T. Kościuszki, ul. Skowronków Nr 8, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;101;454;420;70;70
39;"Przedszkole Publiczne Nr 12, ul. Jasna Nr 6, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;65;386;375;66;61
40;"Miejska Przychodnia Lekarska Nr IV NZOZ sp. z o. o., ul. Osiedle Niepodległości Nr 3A, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;65;307;293;65;57
41;"Szkoła Podstawowa Nr 15 im. Gen. J. Bema, ul. Krupnicza Nr 8, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;62;272;265;51;44
42;"II Liceum Ogólnokształcące im. Hetmana Jana Tarnowskiego, ul. Adama Mickiewicza Nr 16, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;46;245;226;47;46
43;"Przedszkole Publiczne Nr 6, ul. Ludwika Waryńskiego Nr 19, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;76;349;298;63;47
44;"Katolicka Szkoła Podstawowa w Tarnowie, ul. Warzywna Nr 3, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;88;318;319;63;52
45;"Przedszkole Publiczne Nr 21, ul. Burtnicza Nr 11, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;101;414;452;67;81
46;"Społeczna Szkoła Podstawowa Nr 1 im. Ks. Prof. Józefa Tischnera, ul. Gumniska Nr 47, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;79;424;313;56;60
47;"Zespół Szkół Ekonomiczno-Ogrodniczych im. T. Kościuszki, ul. Sanguszków Nr 28, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;90;392;316;66;71
48;"Szkoła Podstawowa Nr 2 im. St. Konarskiego, ul. Szewska Nr 7, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;33;169;146;33;24
49;"Szkoła Podstawowa Nr 2 im. St. Konarskiego, ul. Szewska Nr 7, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;101;530;359;97;51
50;"Niepubliczna Szkoła Podstawowa im. Polskiej Marynarki Handlowej, ul. Księdza Jana Skorupki Nr 9, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;67;330;258;59;53
51;"Niepubliczna Szkoła Podstawowa im. Polskiej Marynarki Handlowej, ul. Księdza Jana Skorupki Nr 9, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;74;307;320;44;56
52;"Budynek Rady Osiedla Nr 15 ""Koszyce"", ul. Majora Władysława Raginisa Nr 2, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;113;574;450;68;74
53;"Hala Sportowa Zespołu Szkół Ogólnokształcących Nr 1, ul. Pszenna Nr 10, 33-101 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;119;719;537;134;100
54;"Zespół Szkół Ogólnokształcących Nr 1, ul. Cypriana Kamila Norwida Nr 22, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;132;738;472;83;78
55;"Zespół Szkół Ogólnokształcących Nr 1, ul. Cypriana Kamila Norwida Nr 22, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;92;498;308;82;85
56;"Szkoła Podstawowa Nr 20 z Oddziałami Sportowymi im. Polskich Olimpijczyków, ul. Zbylitowska Nr 7, 33-101 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;86;327;247;43;73
57;"Zespół Szkół Technicznych im. I. Mościckiego, ul. Eugeniusza Kwiatkowskiego Nr 17, 33-101 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;76;325;280;56;54
58;"Szkoła Podstawowa Integracyjna Nr 11 im. M. Dąbrowskiej, ul. Ignacego Mościckiego Nr 177A, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;86;469;396;81;75
59;"Przedszkole Publiczne Nr 5, ul. Zagumnie Nr 27, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;107;424;635;119;87
60;"Szkoła Podstawowa Nr 14 im. S. Jaracza, ul. Krzyska Nr 118, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;123;512;489;109;82
61;"Szkoła Podstawowa Nr 14 im. S. Jaracza, ul. Krzyska Nr 118, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;76;533;413;96;73
62;"Szkoła Podstawowa Nr 14 im. S. Jaracza, ul. Krzyska Nr 118, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;100;389;372;91;69
63;"Szkoła Podstawowa Nr 9 im. Orląt Lwowskich, ul. Marii Dąbrowskiej Nr 6, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;95;454;289;102;74
64;"Przedszkole Publiczne Nr 8 ""Pod Stokrotką"", ul. Marii Dąbrowskiej Nr 1, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;74;432;379;81;60
65;"Szkoła Podstawowa Nr 9 im. Orląt Lwowskich, ul. Marii Dąbrowskiej Nr 6, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;74;425;292;64;69
66;"Przedszkole Publiczne Nr 8 ""Pod Stokrotką"", ul. Marii Dąbrowskiej Nr 1, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;140;599;544;131;78
67;"Specjalistyczny Szpital im. E. Szczeklika w Tarnowie, ul. Szpitalna 13, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;11;24;89;14;16
68;"Szpital Wojewódzki im. Św. Łukasza, Samodzielny Publiczny Zakład Opieki Zdrowotnej w Tarnowie, ul. Lwowska 178a, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;19;33;98;12;10
69;"Dom Pomocy Społecznej w Tarnowie, ul. Czarna Droga 48, 33-101 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;7;6;17;1;6
70;"Dom Pomocy Społecznej im. Świętego Brata Alberta w Tarnowie, ul. Szpitalna 53, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;12;11;22;7;6
71;"Oddział Opieki Długoterminowej i Hospicyjnej przy Mościckim Centrum Medycznym, ul. Eugeniusza Kwiatkowskiego 15, 33-101 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;1;6;12;2;2
72;"Zakład Karny w Tarnowie Oddział Zewnętrzny w Tarnowie-Mościcach, ul. Jędrzeja Śniadeckiego 9, 33-101 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;24;94;29;38;32
73;"Zakład Karny w Tarnowie, ul. Stanisława Konarskiego 2, 33-100 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;37;284;108;124;70
74;"Dom Księży Emerytów im. św. Józefa w Tarnowie, ul. Pszenna 7, 33-101 Tarnów";126301;"m. Tarnów";"Tarnów";"małopolskie";1;1;0;0;52;3;1
