"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEJAT Magdalena Agnieszka - KW NOWA LEWICA";"GRODZKI Michał - KW PRAWO I SPRAWIEDLIWOŚĆ"
711;"Szkoła Podstawowa Nr 150, ul. gen. Wiktora Thomméego 1, 01-491 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;783;334
712;"Szkoła Podstawowa Nr 150, ul. gen. Wiktora Thomméego 1, 01-491 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1373;324
713;"Szkoła Podstawowa Nr 357, ul. Zachodzącego Słońca 25, 01-495 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1665;416
714;"Szkoła Podstawowa Nr 357, ul. Zachodzącego Słońca 25, 01-495 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1854;439
715;"Szkoła Podstawowa Nr 357, ul. Zachodzącego Słońca 25, 01-495 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1733;424
716;"Szkoła Podstawowa Nr 357, ul. Zachodzącego Słońca 25, 01-495 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;941;217
717;"Budynek Studium Wychowania Fizycznego Wojskowej Akademii Technicznej, ul. Kartezjusza 1, 01-480 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1005;304
718;"Klub Wojskowej Akademii Technicznej, ul. gen. Sylwestra Kaliskiego 25, 01-476 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1404;500
719;"Przedszkole Nr 390, ul. Secemińska 1, 01-485 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1646;605
720;"Szkoła Podstawowa Nr 321, ul. ppłk. Wacława Szadkowskiego 3, 01-493 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1538;627
721;"Szkoła Podstawowa Nr 321, ul. ppłk. Wacława Szadkowskiego 3, 01-493 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1412;595
722;"Szkoła Podstawowa Nr 364, ul. Michała Elwira Andriollego 1, 01-494 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1378;619
723;"Szkoła Podstawowa Nr 364, ul. Michała Elwira Andriollego 1, 01-494 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1026;409
724;"Szkoła Podstawowa Nr 341, ul. Oławska 3, 01-494 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1618;726
725;"Szkoła Podstawowa Nr 341, ul. Oławska 3, 01-494 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1179;498
726;"Hala Sportowa OSIR, ul. Obrońców Tobruku 40, 01-494 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1043;217
727;"Hala Sportowa OSIR, ul. Obrońców Tobruku 40, 01-494 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;872;192
728;"Szkoła Podstawowa Nr 82, ul. Stanisława Konarskiego 20, 01-464 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1380;495
729;"Szkoła Podstawowa Nr 82, ul. Stanisława Konarskiego 20, 01-464 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1014;315
730;"Szkoła Podstawowa Nr 82, ul. Stanisława Konarskiego 20, 01-464 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1053;413
731;"Bemowskie Centrum Kultury, ul. Stanisława Konarskiego 20, 01-464 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1080;423
732;"Biblioteka Publiczna, ul. gen. Tadeusza Pełczyńskiego 28C, 01-471 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1394;367
733;"Miejsce Aktywności Lokalnej Dom Sąsiedzki, ul. gen. Tadeusza Pełczyńskiego 30B, 01-471 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1357;350
734;"Ośrodek Pomocy Społecznej Dzielnicy Bemowo, ul. gen. Tadeusza Pełczyńskiego 26, 01-471 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1491;504
735;"Ośrodek Pomocy Społecznej Dzielnicy Bemowo, ul. gen. Tadeusza Pełczyńskiego 26, 01-471 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1538;359
736;"Przychodnia ZOZ, ul. gen. Meriana C. Coopera 5, 01-315 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1334;328
737;"Czytelnia nr 8 Placówka Biblioteki Publicznej w Dzielnicy Bemowo m. st. Warszawy, os. Osiedle Przyjaźń 6, 01-355 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;504;168
738;"Klub Bemowskiego Seniora, ul. Powstańców Śląskich 44, 01-381 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;978;340
739;"Szkoła Podstawowa Nr 362, ul. gen. Waleriana Czumy 8, 01-355 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1433;698
740;"Przedszkole Nr 214, ul. gen. Waleriana Czumy 6, 01-355 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1321;564
741;"Szkoła Podstawowa Nr 316, ul. Stanisława Szobera 1/3, 01-318 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;967;496
742;"Szkoła Podstawowa Nr 316, ul. Stanisława Szobera 1/3, 01-318 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1669;751
743;"Szkoła Podstawowa Nr 350, ul. Karola Irzykowskiego 1A, 01-317 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1154;488
744;"Szkoła Podstawowa Nr 350, ul. Karola Irzykowskiego 1A, 01-317 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1200;505
745;"Szkoła Podstawowa Nr 350, ul. Karola Irzykowskiego 1A, 01-317 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;600;242
746;"LXXVIII LO im. Marii Pawlikowskiej-Jasnorzewskiej, ul. Anieli Krzywoń 3, 01-391 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;827;457
747;"LXXVIII LO im. Marii Pawlikowskiej-Jasnorzewskiej, ul. Anieli Krzywoń 3, 01-391 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;940;395
748;"Szkoła Podstawowa Nr 301 Zespół Szkolno-Przedszkolny Nr 2, ul. Brygadzistów 18, 01-384 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;826;384
749;"Szkoła Podstawowa Nr 301 Zespół Szkolno-Przedszkolny Nr 2, ul. Brygadzistów 18, 01-384 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;978;456
