"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Manuela Anna - KW BEZPARTYJNI SAMORZĄDOWCY";"MIKOŁAJCZYK Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIECHOWIAK Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATECKA Ewa Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Centrum Kultury w Baranowie, rynek Rynek 20, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;97;359;133;759
2;"Zespół Szkół w Donaborowie, Szkoła Podstawowa w Donaborowie, Donaborów 91, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;27;87;35;115
3;"Zespół Szkół w Mroczeniu, Szkoła Filialna w Grębaninie, Grębanin 87, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;47;232;40;163
4;"Zespół Szkół w Mroczeniu, Szkoła Podstawowa im. Jana Pawła II w Mroczeniu, Mroczeń 140, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;63;285;99;366
5;"Zespół Szkół w Słupi pod Kępnem, Słupia pod Kępnem ul. Szkolna 5, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;86;267;93;266
6;"Zespół Szkół w Łęce Mroczeńskiej, Szkoła Podstawowa w Łęce Mroczeńskiej, Łęka Mroczeńska 55a, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;41;215;61;146
7;"Dom Ludowy w Jankowach, Jankowy 5A, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;31;139;53;132
8;"Dom Ludowy w Joance, Joanka 5A, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;11;73;11;57
9;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Kępnie, Szpital w Kępnie, Oddział Leczniczo-Rehabilitacyjny w Grębaninie, Grębanin 97, 63-604 Baranów";300801;"gm. Baranów";"kępiński";"wielkopolskie";1;1;1;25;0;15
1;"Klub ""Seniora+"", ul. Lipowa 30, 63-640 Bralin";300802;"gm. Bralin";"kępiński";"wielkopolskie";1;1;76;325;79;452
2;"Szkoła Podstawowa im. Mikołaja Kopernika, rynek Rynek 1, 63-640 Bralin";300802;"gm. Bralin";"kępiński";"wielkopolskie";1;1;54;192;59;419
3;"Zespół Szkół im. Ks. Michała Przywary i Rodziny Salomonów, Nowa Wieś Książęca 32, 63-640 Bralin";300802;"gm. Bralin";"kępiński";"wielkopolskie";1;1;21;143;59;124
4;"Dom Ludowy, Chojęcin-Parcele ul. Bukowa 4, 63-640 Bralin";300802;"gm. Bralin";"kępiński";"wielkopolskie";1;1;38;170;75;207
5;"Dom Ludowy, Tabor Wielki 4a, 63-640 Bralin";300802;"gm. Bralin";"kępiński";"wielkopolskie";1;1;36;142;60;212
6;"Dom Ludowy, Weronikopole 11a, 63-640 Bralin";300802;"gm. Bralin";"kępiński";"wielkopolskie";1;1;17;122;39;83
7;"Dom Ludowy, Mnichowice 42, 63-640 Bralin";300802;"gm. Bralin";"kępiński";"wielkopolskie";1;1;10;68;28;65
1;"Świetlica Spółdzielni Mieszkaniowej, ul. Sienkiewicza 48, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;89;475;104;762
2;"Przedszkole Samorządowe nr 5, os. Osiedle 700-lecia 9, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;104;480;135;1114
3;"Szkoła Podstawowa nr 1, ul. Sienkiewicza 21, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;32;127;50;289
4;"Urząd Miasta i Gminy, ul. Ratuszowa 1, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;78;370;111;648
5;"Szkoła Podstawowa nr 3, ul. Tysiąclecia 1, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;56;201;59;456
6;"Przedszkole Samorządowe nr 4, ul. Cicha 13, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;86;431;125;789
7;"Szkoła Podstawowa, Krążkowy 29 a, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;147;487;115;713
8;"Szkoła Podstawowa, Hanulin ul. Powstańców Wlkp. 1a, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;60;280;79;398
9;"Dom Strażaka, Rzetnia 85, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;19;114;19;86
10;"Dom Ludowy, Szklarka Mielęcka 31, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;25;88;23;68
11;"Szkoła Podstawowa, Olszowa ul. Granitowa 114, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;52;226;66;255
12;"Szkoła Podstawowa, Świba 146, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;40;197;53;266
13;"Budynek Ochotniczej Straży Pożarnej, Kierzno 19, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;40;154;38;145
14;"Szkoła Podstawowa, Myjomice ul. Jana Pawła II 5, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;63;255;66;255
15;"Szkoła Podstawowa, Mikorzyn 75, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;73;369;108;326
16;"Dom Ludowy, Osiny 57, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;52;118;31;193
