"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEDA Halina Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WÓJTOWICZ Mariusz Kazimierz - KWW MARIUSZ KAZIMIERZ WÓJTOWICZ";"TYMIŃSKI Stanisław - KW ZWIĄZKU SŁOWIAŃSKIEGO"
34;"Szkoła Podstawowa Nr 37, ul. Tysiąclecia 7, 41-933 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;544;339;162
35;"Szkoła Podstawowa Nr 23, ul. Stanisława Wojciechowskiego 6, 41-933 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;554;134;314
36;"Szkoła Podstawowa Nr 23, ul. Stanisława Wojciechowskiego 6, 41-933 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;687;293;166
37;"Szkoła Podstawowa Nr 32, ul. Szymały 124, 41-933 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;779;368;155
38;"Szkoła Podstawowa Nr 32, ul. Szymały 124, 41-933 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;722;314;145
39;"Szkoła Podstawowa Nr 32, ul. Szymały 124, 41-933 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;616;267;116
40;"Szkoła Podstawowa Nr 32, ul. Szymały 124, 41-933 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;494;208;104
41;"Państwowe Szkoły Budownictwa-Zespół Szkół, ul. Powstańców Śląskich 10, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;750;342;137
42;"V Liceum Ogólnokształcące Mistrzostwa Sportowego, ul. Powstańców Śląskich 2, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;850;267;144
43;"Szkoła Podstawowa Specjalna Nr 40, ul. Orląt Lwowskich 12b, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;731;214;126
44;"Szkoła Podstawowa Nr 46, ul. Bolesława Prusa 10, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;601;200;127
45;"Szkoła Podstawowa Nr 46, ul. Bolesława Prusa 10, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;615;224;129
46;"Zespół Szkół Gastronomiczno-Hotelarskich, ul. Stefana Żeromskiego 26, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;481;125;76
47;"Szkoła Podstawowa Nr 9, ul. Jana Matejki 15, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;606;255;111
48;"Szkoła Podstawowa Nr 9, ul. Jana Matejki 15, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;504;219;126
49;"Szkoła Podstawowa Nr 6, ul. Królowej Jadwigi 2, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;447;212;95
50;"Szkoła Podstawowa Nr 6, ul. Królowej Jadwigi 2, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;445;179;92
51;"Technikum Nr 4, ul. Katowicka 35, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;422;163;81
52;"Technikum Nr 4, ul. Katowicka 35, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;413;174;81
53;"Przedszkole Miejskie Nr 14, ul. Wilhelma Prokopa 3, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;646;242;121
54;"Szkoła Podstawowa Nr 42, ul. Chorzowska 28h, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;635;236;118
55;"Szkoła Podstawowa Specjalna Nr 2, ul. Arki Bożka 21, 41-910 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;625;278;138
56;"Szkoła Podstawowa Nr 51 z Oddziałami Integracyjnymi, ul. Łużycka 12a, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;789;298;168
57;"Szkoła Podstawowa Nr 51 z Oddziałami Integracyjnymi, ul. Łużycka 12a, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;842;355;133
58;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Wrocławska 120, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;686;147;339
59;"Szkoła Podstawowa Nr 36, ul. Henryka Siemiradzkiego 9, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;653;256;134
60;"Szkoła Podstawowa Nr 36, ul. Henryka Siemiradzkiego 9, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;547;217;133
61;"Szkoła Podstawowa Nr 36, ul. Henryka Siemiradzkiego 9, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;789;233;119
62;"Szkoła Podstawowa Nr 5, ul. Aleja Legionów 6, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;550;206;122
63;"Szkoła Podstawowa Nr 5, ul. Aleja Legionów 6, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;534;198;116
