"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEDA Halina Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WÓJTOWICZ Mariusz Kazimierz - KWW MARIUSZ KAZIMIERZ WÓJTOWICZ";"TYMIŃSKI Stanisław - KW ZWIĄZKU SŁOWIAŃSKIEGO"
70;"Szkoła Podstawowa Nr 3 im. Bohaterów Monte Cassino, ul. rtm. Witolda Pileckiego 2, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;449;252;104
71;"Dom Harcerza, ul. Wolności 350A, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;337;227;93
72;"Centrum Kształcenia Zawodowego i Ustawicznego Województwa Śląskiego w Zabrzu, ul. 3 Maja 63, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;559;355;115
73;"Szkoła Podstawowa Nr 6 im. Marii Curie-Skłodowskiej, ul. Klonowa 23, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;533;390;113
74;"Szkoła Podstawowa Nr 6 im. Marii Curie-Skłodowskiej, ul. Klonowa 23, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;675;412;137
75;"Przedszkole Nr 1, ul. Władysława Reymonta 52, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;554;353;100
76;"Szkoła Podstawowa Nr 15 im. Księdza Jana Dzierżona, ul. Czołgistów 1, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;729;359;135
77;"Zespól Szkolno-Przedszkolny Nr 16, ul. Cmentarna 7, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;391;289;127
78;"Dom Pomocy Społecznej Nr 1, ul. Jana Matejki 62, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;10;15;14
79;"Dom Pomocy Społecznej Nr 2, ul. Jaskółcza 11, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;5;30;4
80;"Dom Pomocy Społecznej Nr 3, ul. Wiktora Brysza 3, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;4;8;3
81;"Dom Pomocy Społecznej ""Słoneczny Dom"", ul. Knurowska 17, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;11;4;7
82;"Dom Pomocy Społecznej prowadzony przez Zakon Kamilianów, ul. Cisowa 6, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;12;16;11
83;"Kamiliańskie Centrum Opiekuńczo-Lecznicze, ul. Pawła Dubiela 10, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;2;11;2
84;"Oddział Zewnętrzny w Zabrzu Aresztu Śledczego w Bytomiu, ul. ks. Pawła Janika 12, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;295;38;42
85;"Szpital Miejski w Zabrzu Sp. z o. o., ul. Zamkowa 4, 41-803 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;26;26;10
86;"Śląskie Centrum Chorób Serca w Zabrzu, ul. Marii Curie-Skłodowskiej 9, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;69;36;20
87;"Szpital Specjalistyczny w Zabrzu Sp. z o. o., ul. Marii Curie-Skłodowskiej 10, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;35;8;2
88;"Samodzielny Publiczny Szpital Kliniczny Nr 1 im. prof. Stanisława Szyszko Śląskiego Uniwersytetu Medycznego w Katowicach, ul. 3 Maja 13-15, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;38;23;4
