"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Jerzy Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"CALIŃSKA-MAYER Małgorzata Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZDROJEWSKA Barbara Grażyna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
34;"Liceum Ogólnokształcące nr III, ul. Składowa 5, 50-209 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;119;241;450
35;"Liceum Ogólnokształcące nr III, ul. Składowa 5, 50-209 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;147;240;514
36;"Rada Osiedla Nadodrze, ul. Ludwika Rydygiera 43, 50-248 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;156;304;599
37;"Szkoła Podstawowa nr 93, ul. Juliana Ursyna Niemcewicza 29 - 31, 50-238 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;151;294;581
38;"Szkoła Podstawowa nr 108, ul. Bolesława Chrobrego 3, 50-254 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;175;380;674
39;"Szkoła Podstawowa nr 108, ul. Bolesława Chrobrego 3, 50-254 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;121;243;461
40;"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;153;319;637
41;"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;159;263;568
42;"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;301;317;1602
43;"Szkoła Podstawowa nr 93, ul. Juliana Ursyna Niemcewicza 29 - 31, 50-238 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;179;328;729
44;"Klub ""Iskierka"", ul. Juliana Ursyna Niemcewicza 27, 50-238 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;165;315;811
45;"Publiczna Szkoła Podstawowa Leonardo, ul. Franklina Delano Roosevelta 15, 50-236 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;188;313;595
46;"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;272;365;2005
47;"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;135;252;540
48;"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;203;257;801
49;"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;133;277;596
50;"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;158;269;983
51;"Rada Osiedla Strachocin-Swojczyce-Wojnów, ul. Swojczycka 118, 51-502 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;197;358;939
52;"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;349;209;1600
53;"Rada Osiedla Ołbin, ul. Na Szańcach 14, 50-320 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;132;196;564
54;"Liceum Ogólnokształcące nr I, ul. Księcia Józefa Poniatowskiego 9, 50-326 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;145;348;673
55;"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2), ul. Jedności Narodowej 117, 50-301 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;128;339;852
56;"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2), ul. Jedności Narodowej 117, 50-301 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;166;325;691
57;"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2), ul. Jedności Narodowej 117, 50-301 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;180;285;825
58;"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;141;276;883
59;"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;219;317;994
60;"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;206;283;1089
61;"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;154;312;761
