"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DASIOS Piotr Paris - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RUSIECKI Jarosław - KW PRAWO I SPRAWIEDLIWOŚĆ";"SOKOLNICKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMOSA Elżbieta Agnieszka - KW RUCH NAPRAWY POLSKI";"MATEREK Marek Jerzy - KW NOWA DEMOKRACJA - TAK"
24;"Dom Pomocy Społecznej, ul. gen. Józefa Bema 26, 27-200 Starachowice";261101;"m. Starachowice";"starachowicki";"świętokrzyskie";1;1;0;11;3;4;23
1;"Szkoła Podstawowa w Adamowie, Adamów ul. Kościelna 2, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;83;172;30;10;236
2;"Urząd Gminy w Brodach, ul. Stanisława Staszica 3, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;69;208;19;4;179
3;"Szkoła Podstawowa w Brodach, ul. Szkolna 77, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;70;167;19;6;166
4;"Szkoła Podstawowa w Dziurowie, Dziurów ul. Słoneczna 1, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;75;148;32;7;201
5;"Klub Rolnika w Kuczowie, Kuczów ul. Wysoka 118, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;55;164;19;4;211
6;"Szkoła Podstawowa w Lipiu, Lipie ul. Starachowicka 84, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;20;99;9;0;138
7;"Zespół Szkolno-Przedszkolny w Lubieni, Lubienia ul. Iłżecka 20, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;61;193;23;5;205
8;"Zespół Szkolno-Przedszkolny w Lubieni, Lubienia ul. Iłżecka 20, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;49;201;22;3;251
9;"Zespół Szkolno-Przedszkolny w Rudzie, Ruda ul. Widok 1, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;40;132;22;4;140
10;"Szkoła Podstawowa w Stawie Kunowskim, Staw Kunowski ul. Szkolna 6, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;52;145;13;4;152
11;"Zespół Placówek Oświatowych w Stykowie, Styków ul. Świętokrzyska 22, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;83;171;43;1;238
12;"Remiza Strażacka w Krynkach, Krynki ul. Długa 1, 27-230 Brody";261102;"gm. Brody";"starachowicki";"świętokrzyskie";1;1;84;238;35;7;245
1;"Szkoła Podstawowa w Mircu-Sala Nr 1, Mirzec Stary 10, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;84;247;35;9;378
2;"Szkoła Podstawowa w Trębowcu, Trębowiec Duży 54, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;23;112;13;3;136
3;"Szkoła Podstawowa w Osinach, Osiny 101, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;30;196;17;4;211
4;"Szkoła Podstawowa w Gadce, Gadka 100, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;61;254;25;13;289
5;"Szkoła Podstawowa w Tychowie Starym, Tychów Stary 69, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;43;156;25;3;231
6;"Szkoła Podstawowa w Małyszynie, Małyszyn Górny 71, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;66;202;22;9;196
7;"Szkoła Podstawowa w Tychowie Nowym, Tychów Nowy 87, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;31;157;13;3;187
8;"Zespół Szkolno-Przedszkolny w Jagodnem, Jagodne 138, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;40;116;17;6;118
9;"Szkoła Podstawowa w Mircu-Sala Nr 2, Mirzec Stary 10, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;50;204;19;3;262
10;"Budynek OSP w Ostrożance, Ostrożanka 32, 27-220 Mirzec";261103;"gm. Mirzec";"starachowicki";"świętokrzyskie";1;1;21;102;6;10;90
1;"Ośrodek Zdrowia w Grabkowie, Grabków 24A, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;35;132;38;6;108
2;"Publiczna Szkoła Podstawowa w Łomnie, Łomno 20, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;30;121;29;7;118
3;"Publiczna Szkoła Podstawowa w Chybicach, Chybice 50, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;62;319;43;4;373
4;"Remiza Ochotniczej Straży Pożarnej w Kałkowie, Kałków 37A, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;24;151;16;2;92
5;"Publiczna Szkoła Podstawowa w Pawłowie, Pawłów 89, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;99;402;82;15;436
6;"Publiczna Szkoła Podstawowa w Jadownikach, Jadowniki 49, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;36;270;34;9;189
7;"Spichlerz w Pokrzywnicy, Pokrzywnica 15A, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;36;89;18;2;127
8;"Publiczna Szkoła Podstawowa w Radkowicach, Radkowice-Kolonia 5, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;64;272;33;11;317
9;"Publiczna Szkoła Podstawowa w Rzepinie, Rzepin Drugi 154, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;82;418;49;12;380
10;"Publiczna Szkoła Podstawowa w Szerzawach, Szerzawy 104, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;44;191;31;6;143
11;"Budynek po szkole w Bostowie, Stary Bostów 8A, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;20;152;18;3;132
12;"Biblioteka Publiczna w Tarczku, Tarczek 98, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;37;148;15;1;109
13;"Publiczna Szkoła Podstawowa w Dąbrowie, Dąbrowa 58, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;29;181;27;2;176
14;"Świetlica środowiskowa w Nieczulicach, Nieczulice 105, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;14;108;10;4;97
15;"Publiczna Szkoła Podstawowa w Godowie, Godów 56, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;22;120;22;2;99
16;"Świetlica środowiskowa nad OSP w Brzeziu, Brzezie 28, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;37;175;35;2;194
17;"Dom Pomocy Społecznej im. Sue Ryder w Kałkowie-Godowie, Godów 88, 27-225 Pawłów";261104;"gm. Pawłów";"starachowicki";"świętokrzyskie";1;1;13;17;4;6;16
1;"Miejsko-Gminny Ośrodek Kultury w Wąchocku, ul. Kościelna 7, 27-215 Wąchock";261105;"gm. Wąchock";"starachowicki";"świętokrzyskie";1;1;145;240;36;3;310
2;"Zespół Placówek Oświatowych w Wąchocku, ul. Kościelna 10, 27-215 Wąchock";261105;"gm. Wąchock";"starachowicki";"świętokrzyskie";1;1;136;212;28;5;303
3;"Szkoła Podstawowa w Wielkiej Wsi, Wielka Wieś 354, 27-215 Wąchock";261105;"gm. Wąchock";"starachowicki";"świętokrzyskie";1;1;98;320;35;10;378
4;"Szkoła Podstawowa w Parszowie, Parszów ul. Szkolna 28, 27-215 Wąchock";261105;"gm. Wąchock";"starachowicki";"świętokrzyskie";1;1;118;247;25;6;385
5;"Wiejski Dom Kultury w Marcinkowie, Marcinków 39a, 27-215 Wąchock";261105;"gm. Wąchock";"starachowicki";"świętokrzyskie";1;1;48;87;10;5;133
6;"Wiejski Dom Kultury w Ratajach, Rataje ul. Kasztanowa 43, 27-215 Wąchock";261105;"gm. Wąchock";"starachowicki";"świętokrzyskie";1;1;36;73;14;6;136
