"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PURPUROWICZ Zbigniew - KW PRAWO I SPRAWIEDLIWOŚĆ";"PRUCNAL Janusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KALISZUK Ewa Monika - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ORZECHOWSKA Anna Maria - KW WIS";"STAROŃ Lidia Ewa - KWW LIDIA STAROŃ"
1;"Szkoła Podstawowa im. Jana Pawła II w Janowcu Kościelnym, pracownia nr 1-parter, Janowiec Kościelny 61, 13-111 Janowiec Kościelny";281101;"gm. Janowiec Kościelny";"nidzicki";"warmińsko-mazurskie";1;1;81;14;87;8;208
2;"Szkoła Podstawowa im. Jana Pawła II w Janowcu Kościelnym, pracownia nr 2-parter, Janowiec Kościelny 61, 13-111 Janowiec Kościelny";281101;"gm. Janowiec Kościelny";"nidzicki";"warmińsko-mazurskie";1;1;95;23;58;10;162
3;"Szkoła Podstawowa im. Jana Pawła II w Janowcu Kościelnym, stołówka szkolna, Janowiec Kościelny 61, 13-111 Janowiec Kościelny";281101;"gm. Janowiec Kościelny";"nidzicki";"warmińsko-mazurskie";1;1;71;31;29;5;135
4;"Świetlica Wiejska w Nowej Wsi Wielkiej, Nowa Wieś Wielka 44, 13-111 Janowiec Kościelny";281101;"gm. Janowiec Kościelny";"nidzicki";"warmińsko-mazurskie";1;1;68;12;50;2;133
5;"Świetlica Wiejska w Safronce, Safronka 23, 13-111 Janowiec Kościelny";281101;"gm. Janowiec Kościelny";"nidzicki";"warmińsko-mazurskie";1;1;33;23;35;3;117
1;"Szkoła Podstawowa (sala gimnastyczna), ul. Chorzelska 21, 13-113 Janowo";281102;"gm. Janowo";"nidzicki";"warmińsko-mazurskie";1;1;69;24;63;7;136
2;"Szkoła Podstawowa (sala nr 6), ul. Chorzelska 21, 13-113 Janowo";281102;"gm. Janowo";"nidzicki";"warmińsko-mazurskie";1;1;89;20;55;5;175
3;"Szkoła Podstawowa, Muszaki 39, 13-113 Janowo";281102;"gm. Janowo";"nidzicki";"warmińsko-mazurskie";1;1;81;29;117;6;195
4;"Świetlica wiejska, Róg 61, 13-113 Janowo";281102;"gm. Janowo";"nidzicki";"warmińsko-mazurskie";1;1;27;9;26;12;75
1;"Zespół Szkolno-Przedszkolny w Kozłowie, sala gimnastyczna, wejście A, ul. Szkolna 6, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;45;17;33;6;36
2;"Zespół Szkolno-Przedszkolny w Kozłowie, sala gimnastyczna, wejście B, ul. Szkolna 6, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;104;27;150;12;183
