"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KUBIAK Janusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOŁOS Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SZEJNFELD Adam Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PRZYBYŁ Justyna Agnieszka - KW NOWA DEMOKRACJA - TAK"
10;"Sala narad w Zakładzie Karnym w Czarnem Oddział Zewnętrzny w Złotowie, pl. Kościuszki 3, 77-400 Złotów";303101;"m. Złotów";"złotowski";"wielkopolskie";1;1;17;27;47;11
1;"Szkoła Podstawowa nr 1 w Jastrowiu, ul. Kilińszczaków 18, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;302;108;509;80
2;"Miejska Biblioteka Publiczna w Jastrowiu, ul. Wojska Polskiego 11, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;317;94;378;90
3;"Specjalny Ośrodek Szkolno-Wychowawczy w Jastrowiu, ul. Wojska Polskiego 25, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;403;126;751;110
4;"Zespół Szkół w Jastrowiu, ul. Poznańska 35, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;174;54;311;66
5;"Szkoła Podstawowa w Brzeźnicy, Brzeźnica 61, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;136;39;123;33
6;"Wiejski Dom Kultury w Sypniewie, Sypniewo ul. Mickiewicza 43, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;207;65;243;30
7;"Świetlica Wiejska, Samborsko 6, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;54;23;82;29
8;"Świetlica Wiejska, Nadarzyce 31, 64-915 Jastrowie";303102;"gm. Jastrowie";"złotowski";"wielkopolskie";1;1;68;15;24;22
1;"Krajeński Ośrodek Kultury w Krajence, ul. Rynek 1, 77-430 Krajenka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;248;86;399;67
2;"Warsztat Terapii Zajęciowej w Krajence, ul. Bydgoska 3, 77-430 Krajenka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;125;44;196;35
3;"Dom Strażaka w Krajence, ul. Floriańska 6, 77-430 Krajenka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;381;134;439;95
4;"Szkoła Podstawowa w Głubczynie, Głubczyn 23, 77-430 Krajenka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;109;61;165;46
5;"Szkoła Podstawowa w Śmiardowie Kraj., Śmiardowo Krajeńskie 68, 77-430 Krajenka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;79;29;87;29
6;"Szkoła Podstawowa w Podróżnej, Podróżna 50, 77-430 Krajenka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;93;34;91;13
7;"Szkoła Podstawowa w Dolniku, Dolnik 13, 77-430 Krajenka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;83;35;100;21
8;"Szkoła Podstawowa w Skórce, ul. Złotowska 4, 64-917 Skórka";303103;"gm. Krajenka";"złotowski";"wielkopolskie";1;1;73;54;299;53
1;"Wiejski Dom Kultury, Wielki Buczek 1A, 77-420 Lipka";303104;"gm. Lipka";"złotowski";"wielkopolskie";1;1;123;46;124;28
2;"Gminny Ośrodek Kultury, ul. IV Dywizji Piechoty 2, 77-420 Lipka";303104;"gm. Lipka";"złotowski";"wielkopolskie";1;1;223;100;269;67
3;"Gminny Ośrodek Kultury, ul. IV Dywizji Piechoty 2, 77-420 Lipka";303104;"gm. Lipka";"złotowski";"wielkopolskie";1;1;225;102;463;81
4;"Szkoła Podstawowa im. Janusza Korczaka w Łąkiem, Łąkie 89, 77-420 Lipka";303104;"gm. Lipka";"złotowski";"wielkopolskie";1;1;87;24;84;15
5;"Sala Wiejska, Debrzno-Wieś 16C, 77-420 Lipka";303104;"gm. Lipka";"złotowski";"wielkopolskie";1;1;66;25;72;15
6;"Sala Wiejska, Kiełpin 39a, 77-420 Lipka";303104;"gm. Lipka";"złotowski";"wielkopolskie";1;1;91;18;49;12
7;"Sala Wiejska, Scholastykowo 31, 77-420 Lipka";303104;"gm. Lipka";"złotowski";"wielkopolskie";1;1;62;12;40;16
1;"Szkoła Podstawowa w Okonku, ul. Niepodległości 23, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;252;67;358;50
2;"Szkoła Podstawowa w Okonku, ul. Niepodległości 23, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;333;120;490;91
3;"Szkoła Podstawowa w Okonku, ul. Niepodległości 24, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;35;16;63;6
4;"Zespół Szkół w Lotyniu, ul. Polna 9, 64-918 Lotyń";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;230;56;227;58
5;"Świetlica Wiejska, Węgorzewo 15, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;133;31;89;22
6;"Świetlica Wiejska, Pniewo 52A, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;46;19;67;13
7;"Świetlica Wiejska, Podgaje ul. Gdańska 3, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;89;36;91;16
8;"Świetlica Wiejska, Lędyczek ul. Moniuszki 5, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;57;21;102;12
9;"Świetlica Wiejska, Borucino 46, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;41;22;91;17
10;"Świetlica Wiejska, Ciosaniec 35A, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;74;23;62;14
11;"Świetlica Wiejska, Łomczewo 8, 64-965 Okonek";303105;"gm. Okonek";"złotowski";"wielkopolskie";1;1;104;17;48;8
1;"Zespół Szkół, ul. Zwycięstwa 27, 77-416 Tarnówka";303106;"gm. Tarnówka";"złotowski";"wielkopolskie";1;1;353;133;438;80
2;"Sala wiejska, Piecewo 23, 77-416 Tarnówka";303106;"gm. Tarnówka";"złotowski";"wielkopolskie";1;1;73;34;93;14
3;"Świetlica wiejska, Bartoszkowo 17, 77-416 Tarnówka";303106;"gm. Tarnówka";"złotowski";"wielkopolskie";1;1;86;33;108;25
4;"Sala wiejska, Sokolna 24, 77-416 Tarnówka";303106;"gm. Tarnówka";"złotowski";"wielkopolskie";1;1;44;7;42;12
1;"""Dom Polski""-Centrum Idei Rodła, ul. ks. dr. Bolesława Domańskiego 18, 77-424 Zakrzewo";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;221;92;353;52
2;"Sala gimnastyczna, Stara Wiśniewka 59, 77-411 Stara Wiśniewka";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;150;57;153;54
3;"Świetlica wiejska w Śmiardowie Złotowskim, Śmiardowo Złotowskie 31d, 77-424 Zakrzewo";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;32;18;63;8
4;"Hala Sportowo-Widowiskowa, ul. Marii Magdaleny Gąszczak 29, 77-424 Zakrzewo";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;186;87;220;42
5;"Sala wiejska w Czernicach, Czernice 49, 77-424 Zakrzewo";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;46;38;66;14
6;"Sala wiejska w Drożyskach Wielkich, Drożyska Wielkie 55, 77-424 Zakrzewo";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;88;39;108;23
7;"Sala wiejska w Kujanie, Kujan 23, 77-424 Zakrzewo";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;39;14;107;22
8;"Sala wiejska w Wersku, Wersk 45, 77-424 Zakrzewo";303107;"gm. Zakrzewo";"złotowski";"wielkopolskie";1;1;27;16;51;27
1;"Szkoła Podstawowa, Radawnica ul. Szkolna 2, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;108;46;131;30
2;"Urząd Gminy, ul. Leśna 7, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;101;42;245;39
3;"Szkoła Podstawowa, Święta ul. Szkolna 12, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;284;108;543;96
4;"Szkoła Podstawowa, Kleszczyna 28, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;90;45;68;29
5;"Sala Wiejska w Sławianowie, Sławianowo 1, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;193;57;153;32
6;"Sala Wiejska w Józefowie, Józefowo 19a, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;108;47;119;33
7;"Sala Wiejska w Nowym Dworze, Nowy Dwór 2, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;74;36;84;34
8;"Sala Wiejska w Kamieniu, Kamień 46c, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;45;17;52;12
9;"Szkoła Podstawowa w Górznej, Górzna 22, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;80;45;122;28
10;"Sala Wiejska w Dzierzążenku, Dzierzążenko ul. Gajowa 28, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;71;40;249;27
11;"Sala Wiejska w Międzybłociu, Międzybłocie ul. Trzech Króli 7, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;50;43;149;23
12;"Sala Wiejska w Zalesiu, Zalesie 1a, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;53;22;82;17
13;"Sala Wiejska w Pieczynku, Pieczynek 13, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;57;24;48;10
14;"Sala Wiejska w Klukowie, Klukowo 17a, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;20;7;62;12
15;"Oddział Przedszkolny w Skicu, Skic 70A, 77-400 Złotów";303108;"gm. Złotów";"złotowski";"wielkopolskie";1;1;187;38;117;27
